Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Fasciculithus tympaniformis,Fasciculithus schaubii,Discoaster multiradiatus,Toweius eminens,Sphenolithus primus,Rhomboaster cuspis,Cruciplacolithus tenuis,Coccolithus pelagicus,Chiasmolithus bidens,Tribrachiatus orthostylus,Tribrachiatus contortus,Tribrachiatus bramlettei,Discoaster diastypus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP11              ,NP11          ,199,1215,B,  4,H,CC,  16.00,     37.2200,planks   ,Nannofossils                                 ,C              ,P                 ,                           ,                      ,                        ,               ,                   ,                  ,                       ,                     ,                    ,C                        ,                       ,                        ,C                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP10              ,NP10          ,199,1215,B,  5,H,CC,  24.00,     47.8600,planks   ,Nannofossils                                 ,C              ,P                 ,                           ,                      ,C                       ,               ,                   ,F                 ,                       ,                     ,F                   ,                         ,                       ,R                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP10              ,NP10          ,199,1215,B,  6,H,CC,   0.00,     49.4300,planks   ,Nannofossils                                 ,C              ,P                 ,                           ,                      ,F                       ,               ,                   ,F                 ,                       ,                     ,                    ,R                        ,F                      ,R                       ,F                   ,contamination
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP9               ,NP9           ,199,1215,B,  7,H,CC,   0.00,     52.5700,planks   ,Nannofossils                                 ,C              ,P                 ,F                          ,                      ,C                       ,               ,                   ,R                 ,                       ,                     ,                    ,                         ,                       ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP9               ,NP9           ,199,1215,B,  8,H,CC,   0.00,     57.0900,planks   ,Nannofossils                                 ,C              ,M                 ,F                          ,                      ,C                       ,F              ,F                  ,F                 ,R                      ,A                    ,F                   ,                         ,                       ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP9               ,NP9           ,199,1215,B,  9,X,CC,  10.00,     57.4400,planks   ,Nannofossils                                 ,C              ,M                 ,C                          ,R                     ,A                       ,               ,                   ,                  ,                       ,                     ,                    ,                         ,                       ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
