Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sentusidinium sp. A	Scriniodinium attadalense	Meiourogonyaulax maculata	Dissimulidinium lobispinosum	Batioladinium spp.	Wallodinium spp.	Tetrachacysta sp. A	Nannoceratopsis pellucida	Leptodinium eumorphum	Egmontodinium torynum	Circulodinium deflandrei	Hystrichodinium oligacanthum	Tubotuberella vlamingii	Peridictyocysta mirabilis	Liesbergia sp. A	Chlamydophorella spp.	Belodinium dysculum	Amphorula sp. A	Wanaea spp.	Pareodinia spp.	Stiphrosphaeridium anthophorum	Meiourogonyaulax stoveri	Bourkidinium spp.	Tetrachacysta sp. B	Fromea cylindrica	Systematophora areolata	Oligosphaeridium diluculum	Meiourogonyaulax diaphanis	Hystrichodinium compactum	Tanyosphaeridium spp.	Gonyaulacysta helicoidea	Apteodinium granulatum	Omatia montgomeryi	Hystrichodinium isodiametricum	Dapsilidinium pastielsii	Rigaudella aemula	Balcattia sp. A	Batioladinium reticulatum	Cymososphaeridium validum	Scriniodinium crystallinum	Exochosphaeridium arnace	Batioladinium micropodum	Yalkalpodinium scutum	Prolixosphaeridium inequiornatum	Oligosphaeridium complex	Muderongia testudinaria	Muderongia australis	Kaiwaradinium scrutillinum	Impagidinium spp.	Dingodinium cerviculum	Cribroperidinium spp.	Circulodinium colliveri	Cassiculosphaeridia magna	Batiacasphaera subtilis	Prolixosphaeridium parvispinum	Phoberocysta neocomica	Spiniferites spp.	Herendeenia postprojecta	Epitricysta vinckensis	Comment



  SR	Hauterivian      	Barremian        	2biii             	              	122	 762	C	 79	X	 1	  14.00	    838.6400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	C                       	                            	                       	                         	                	R                    	C                  	               	           	               	                              	                        	                 	                   	                 	                       	C                         	                          	                         	R                    	                        	R                     	                  	C                             	                        	                 	               	                         	                         	                          	                        	F                       	                     	                                	                        	                       	F                   	F                         	C                	F                     	F                    	F                      	F                        	                       	R                             	                      	R                	R                       	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Hauterivian      	Barremian        	2biii             	              	122	 762	C	 79	X	 1	  92.00	    839.4200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	                	F                    	C                  	               	           	               	                              	                        	                 	                   	                 	                       	F                         	                          	                         	R                    	                        	R                     	                  	R                             	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	R                       	                       	R                   	F                         	C                	F                     	R                    	C                      	R                        	F                      	F                             	                      	F                	R                       	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Hauterivian      	Barremian        	2biii             	              	122	 762	C	 79	X	 2	  71.00	    840.7100	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	                	F                    	R                  	               	           	               	                              	                        	                 	                   	                 	                       	F                         	                          	                         	                     	                        	C                     	                  	C                             	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	C                   	                          	C                	F                     	R                    	C                      	C                        	F                      	                              	R                     	                 	R                       	R                     	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Hauterivian      	Barremian        	2biii             	              	122	 762	C	 79	X	 2	  84.00	    840.8400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	+                     	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	+                	                      	                     	                       	+                        	                       	                              	                      	                 	                        	+                     	from ODP Leg 122 SR Chapter 31 Figure 3 p 514
