Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment



  IR	Holocene         	                 	Z                 	              	155	 944	A	  1	H	 1	   0.00	      0.0000	Showers  	Planktonic Foraminifers                      	A              	G                 	F                           	R                         	-                   	-                           	F                  	-                            	-                     	C                    	-                   	-                     	F                     	-                              	-                              	-                                     	C                                	C                                  	C                            	F                           	-                        	-                    	-               	from Leg 159IR p 609 Table 4

  IR	Holocene         	                 	Z                 	              	155	 944	A	  1	H	 1	  48.00	      0.4800	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	-                           	C                  	R                            	-                     	F                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	F                                  	C                            	R                           	-                        	-                    	-               	from Leg 159IR p 609 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 944	A	  1	H	 1	 130.00	      1.3000	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	-                                	-                                  	C                            	R                           	R                        	F                    	-               	from Leg 159IR p 609 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 944	A	  1	H	CC	   9.00	      3.7700	Showers  	Planktonic Foraminifers                      	F              	G                 	C                           	-                         	-                   	-                           	F                  	F                            	-                     	R                    	-                   	-                     	-                     	-                              	R                              	-                                     	C                                	F                                  	C                            	-                           	-                        	-                    	-               	from Leg 159IR p 609 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 944	A	  2	H	CC	  11.00	      9.3900	Showers  	Planktonic Foraminifers                      	F              	M                 	-                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	-                                	F                                  	C                            	-                           	-                        	-                    	-               	from Leg 159IR p 609 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 944	A	  3	H	CC	  24.00	     23.5300	Showers  	Planktonic Foraminifers                      	F              	M                 	-                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	F                   	-                     	-                     	-                              	R                              	-                                     	F                                	F                                  	C                            	R                           	-                        	-                    	-               	from Leg 159IR p 609 Table 4

