Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa ericsonii,Calcidiscus leptoporus,Coccolithus pelagicus,Syracosphaera pulchra,Braarudosphaera bigelowii,Gephyrocapsa caribbeanica,Discolithina japonica,Comment
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  3,H, 4,  16.00,     22.7600,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,C                    ,C                    ,F                     ,C                     ,T                    ,R                    ,R                        ,                         ,T                    ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  4,H, 1,  17.00,     27.7700,Spiegler ,Nannofossils                                 ,T              ,G                 ,                        ,T                    ,                     ,R                     ,                      ,T                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  4,H, 2,  12.00,     29.2200,Spiegler ,Nannofossils                                 ,T              ,G                 ,                        ,                     ,                     ,                      ,T                     ,T                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  4,H,CC,  43.00,     31.6600,Spiegler ,Nannofossils                                 ,R              ,G                 ,                        ,                     ,                     ,                      ,                      ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  5,H, 1, 130.00,     38.4000,Spiegler ,Nannofossils                                 ,T              ,G                 ,                        ,T                    ,                     ,T                     ,                      ,T                    ,                     ,T                        ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  5,H, 3,  16.00,     40.2600,Spiegler ,Nannofossils                                 ,T              ,                  ,                        ,T                    ,                     ,T                     ,                      ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  6,H, 1,  65.00,     47.2500,Spiegler ,Nannofossils                                 ,R              ,G                 ,                        ,                     ,                     ,                      ,                      ,R                    ,                     ,R                        ,R                        ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  7,X, 1,  57.00,     56.6700,Spiegler ,Nannofossils                                 ,T              ,                  ,                        ,                     ,                     ,                      ,                      ,                     ,                     ,                         ,T                        ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  7,X, 4, 138.00,     61.9800,Spiegler ,Nannofossils                                 ,R              ,G                 ,                        ,                     ,R                    ,C                     ,R                     ,F                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  7,X, 5,  88.00,     62.9800,Spiegler ,Nannofossils                                 ,R              ,G                 ,                        ,                     ,R                    ,                      ,R                     ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  7,X,CC,  62.00,     64.2200,Spiegler ,Nannofossils                                 ,T              ,G                 ,                        ,                     ,                     ,                      ,                      ,T                    ,                     ,                         ,T                        ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  8,X, 1, 137.00,     66.8700,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,F                    ,F                    ,F                     ,F                     ,F                    ,R                    ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  8,X, 3,   3.00,     68.5300,Spiegler ,Nannofossils                                 ,A              ,G                 ,                        ,                     ,F                    ,C                     ,F                     ,R                    ,R                    ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  8,X, 4,  65.00,     70.6500,Spiegler ,Nannofossils                                 ,F              ,G                 ,                        ,R                    ,R                    ,C                     ,F                     ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  8,X,CC,  39.00,     71.7500,Spiegler ,Nannofossils                                 ,F              ,G                 ,                        ,R                    ,T                    ,R                     ,R                     ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  9,X, 1,  54.00,     75.9400,Spiegler ,Nannofossils                                 ,T              ,G                 ,                        ,                     ,                     ,R                     ,T                     ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  9,X,CC,  16.00,     76.3100,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,R                    ,                     ,C                     ,R                     ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A,  9,X,CC,  31.00,     76.4600,Spiegler ,Nannofossils                                 ,T              ,G                 ,                        ,                     ,                     ,T                     ,                      ,T                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A, 16,X,CC,  36.00,    143.3600,Spiegler ,Nannofossils                                 ,R              ,G                 ,                        ,                     ,                     ,R                     ,                      ,R                    ,T                    ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN20              ,              ,141, 863,A, 18,X,CC,  38.00,    162.7800,Spiegler ,Nannofossils                                 ,R              ,M                 ,                        ,                     ,                     ,R                     ,                      ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN20              ,              ,141, 863,A, 24,X, 1,   3.00,    220.3300,Spiegler ,Nannofossils                                 ,F              ,G                 ,                        ,R                    ,                     ,F                     ,                      ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 24,X,CC,  56.00,    221.4300,Spiegler ,Nannofossils                                 ,C              ,G                 ,R                       ,R                    ,                     ,C                     ,                      ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 25,X, 2,  20.00,    230.5300,Spiegler ,Nannofossils                                 ,F              ,G                 ,R                       ,                     ,                     ,F                     ,F                     ,F                    ,                     ,T                        ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 25,X,CC,  38.00,    231.3200,Spiegler ,Nannofossils                                 ,A              ,G                 ,F                       ,F                    ,                     ,C                     ,F                     ,F                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 26,X, 1,  50.00,    240.0000,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                       ,F                    ,R                    ,C                     ,F                     ,F                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 26,X,CC,  37.00,    240.9300,Spiegler ,Nannofossils                                 ,A              ,G                 ,F                       ,F                    ,                     ,C                     ,F                     ,F                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 27,X, 1,  29.00,    249.4900,Spiegler ,Nannofossils                                 ,               ,G                 ,                        ,                     ,R                    ,                      ,                      ,                     ,R                    ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 27,X,CC,  33.00,    250.4500,Spiegler ,Nannofossils                                 ,F              ,G                 ,F                       ,R                    ,R                    ,C                     ,                      ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 27,X,CC,  48.00,    250.6000,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                       ,F                    ,                     ,C                     ,F                     ,F                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 28,X, 1,  91.00,    259.7100,Spiegler ,Nannofossils                                 ,F              ,G                 ,R                       ,R                    ,R                    ,F                     ,F                     ,R                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 28,X,CC,  45.00,    260.5100,Spiegler ,Nannofossils                                 ,C              ,G                 ,R                       ,                     ,R                    ,C                     ,F                     ,F                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 29,X, 1,  53.00,    268.9300,Spiegler ,Nannofossils                                 ,F              ,G                 ,                        ,                     ,                     ,F                     ,                      ,                     ,T                    ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 29,X,CC,  44.00,    270.3000,Spiegler ,Nannofossils                                 ,R              ,G                 ,R                       ,R                    ,                     ,R                     ,                      ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 30,X, 2,  39.00,    279.9900,Spiegler ,Nannofossils                                 ,F              ,G                 ,R                       ,R                    ,                     ,F                     ,R                     ,T                    ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 31,X, 1,  22.00,    287.8200,Spiegler ,Nannofossils                                 ,R              ,G                 ,R                       ,R                    ,                     ,R                     ,                      ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NN19              ,              ,141, 863,A, 31,X,CC,  52.00,    288.7500,Spiegler ,Nannofossils                                 ,F              ,G                 ,R                       ,R                    ,R                    ,F                     ,R                     ,                     ,                     ,                         ,                         ,                     ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,
