Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Indeterminate nodosariidae	Indeterminate mollusc debris	Indeterminate echinoid debris	Gyroidinoides infracretacea	Gyroidinoides crassa	Globulina lacrima	Gavelinella complanata	Gaudryina dividens	Eggerella sp.	Dorothia zedlerae	Indeterminate fish bone fragments	Indeterminate radiolarians	Rhizammina indivisa	Rhabdammina abyssorum	Glomospirella gaultina	Glomospira serpens	Glomospira gordialis	Nuttallides truempyi	Aragonia aragonensis	Stilostomella aculeata	Clinapertina complanata	Cibicidoides micrus	Cibicidoides havanensis	Cibicidoides grimsdalei	Stilostomella subspinosa	Pullenia bulloides	Oridorsalis umbonatus	Haplophragmoides porrectus	Gyroidinoides altiformis	Globocassidulina subglobosa	Cibicidoides eocaenus	Anomalinoides spissiformis	Anomalinoides semicribratus	Alabamina dissonata	Abyssamina quadrata	Comment



  IR	                 	                 	                  	              	192	1187	A	  1	W	 1	  94.00	      0.9400	Sikora   	Benthic Foraminifers                         	C              	VG                	T                         	                            	                             	                           	                    	                 	                      	                  	             	                 	                                 	A                         	                   	                     	                      	                  	                    	F                   	                    	C                     	                       	                   	                       	C                      	R                       	T                 	C                    	T                         	T                       	F                          	R                    	R                         	R                          	T                  	T                  	middle to late Eocene - no planktic species; may be late Eocene based upon benthic fauna

  IR	                 	                 	                  	              	192	1187	A	  1	W	 1	 102.00	      1.0200	Sikora   	Benthic Foraminifers                         	F              	G                 	                          	                            	                             	                           	                    	                 	                      	                  	             	                 	                                 	A                         	                   	                     	                      	                  	                    	A                   	                    	R                     	T                      	T                  	T                      	F                      	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	middle to late Eocene - no planktic species; may be middle Eocene based upon N. truempyi fauna

  IR	                 	                 	                  	              	192	1187	A	  1	W	 1	 110.00	      1.1000	Sikora   	Benthic Foraminifers                         	R              	P                 	                          	                            	                             	                           	                    	                 	                      	                  	             	                 	                                 	                          	                   	                     	                      	                  	                    	R                   	T                   	                      	                       	                   	                       	                       	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	Thin-section #196; there are also other rare, indeterminate hyaline benthic spp.

  IR	                 	                 	                  	              	192	1187	A	  2	R	 1	  17.00	    365.6700	Sikora   	Benthic Foraminifers                         	               	                  	                          	                            	                             	                           	                    	                 	                      	                  	             	                 	C                                	                          	                   	                     	                      	                  	                    	                    	                    	                      	                       	                   	                       	                       	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	Barren of benthic forams; much reduced fish bone debris; extremely rare Mn

  IR	                 	                 	                  	              	192	1187	A	  2	R	 1	  90.00	    366.4000	Sikora   	Benthic Foraminifers                         	R              	P                 	                          	                            	                             	                           	                    	                 	                      	                  	             	                 	A                                	                          	R                  	R                    	R                     	R                 	R                   	                    	                    	                      	                       	                   	                       	                       	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	Very rare non-calcareous agglutinates

  IR	                 	                 	                  	              	192	1187	A	  2	R	 1	 117.00	    366.6700	Sikora   	Benthic Foraminifers                         	               	P                 	                          	                            	                             	                           	                    	                 	                      	                  	             	                 	A                                	R                         	                   	                     	                      	                  	                    	                    	                    	                      	                       	                   	                       	                       	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	Indeterminate; residue almost entirely made up of fish bone fragments and Mn nodules and crust

  IR	                 	                 	                  	              	192	1187	A	  2	R	 2	  21.00	    366.8900	Sikora   	Benthic Foraminifers                         	               	P                 	                          	                            	                             	                           	                    	                 	                      	                  	             	                 	A                                	                          	                   	                     	                      	                  	                    	                    	                    	                      	                       	                   	                       	                       	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	Indeterminate; residue almost entirely made up of fish bone fragments and Mn nodules and crust

  IR	                 	                 	                  	              	192	1187	A	  2	R	 2	  28.00	    366.9600	Sikora   	Benthic Foraminifers                         	C              	M                 	R                         	R                           	R                            	R                          	C                   	T                	R                     	F                 	C            	F                	                                 	                          	                   	                     	                      	                  	                    	                    	                    	                      	                       	                   	                       	                       	                        	                  	                     	                          	                        	                           	                     	                          	                           	                   	                   	middle to deep upper slope by Moullade, 1983

