Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia plesiotumida,Globigerinoides extremus,Sphaeroidinellopsis kochi,Neogloboquadrina acostaensis,Zeaglobigerina nepenthes,Dentoglobigerina altispira,Globorotalia multicamerata,Globorotalia cibaoensis,Globorotalia margaritae,Globigerinoides conglobatus,Globorotalia tumida,Sphaeroidinellopsis seminulina,Pulleniatina (S),Pulleniatina (D),Globorotalia tosaensis,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globigerinoides fistulosus,Globorotalia menardii,Globigerinoides ruber,Pulleniatina obliquiloculata,Globorotalia crassaformis,Globigerinoides ruber (pink),Globigerinoides sacculifer,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,A,  1,H,CC,  13.00,      2.8400,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                         ,                        ,                         ,                            ,                        ,                          ,                          ,                       ,                       ,                           ,                   ,                              ,                ,                ,                      ,                         ,P                            ,                          ,                     ,F                    ,                            ,R                        ,                            ,F                         ,">0.018 Ma, <0.12 Ma"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,A,  2,H,CC,  16.00,     12.7600,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                         ,                        ,                         ,                            ,                        ,                          ,                          ,                       ,                       ,                           ,                   ,                              ,                ,                ,                      ,                         ,R                            ,                          ,                     ,                     ,                            ,R                        ,A                           ,                          ,>0.12 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,A,  3,H,CC,  15.00,     22.2700,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                         ,                        ,                         ,                            ,                        ,                          ,                          ,                       ,                       ,                           ,                   ,                              ,                ,                ,                      ,                         ,                             ,                          ,                     ,                     ,A                           ,P                        ,A                           ,                          ,<0.4 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,A,  4,H,CC,  15.00,     31.7500,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                         ,                        ,                         ,                            ,                        ,                          ,                          ,                       ,                       ,                           ,                   ,                              ,                ,                ,                      ,                         ,P                            ,                          ,                     ,A                    ,                            ,P                        ,                            ,                          ,">0.4 Ma, <0.6 Ma"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
