Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Seribiscutum primitivum,Rhagodiscus splendens,Repagalum parvidentatum,Reinhardtites anthophorus,Prediscosphaera cretacea,Micula decussata,Helicolithus trabeculatus,Glaukolithus compactus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus eximius,Chiastozygus litterarius,Biscutum constans,Aspidolithus parcus expansus,Ahmuellerella octoradiata,Stradneria crenulata,Cribrosphaerella ehrenbergii,Broinsonia dentata,Aspidolithus parcus parcus,Kamptnerius magnificus,Reinhardtites levis,Neocrepidolithus watkinsii,Watznaueria supracretacea,Coccolith species B,Biscutum coronum,Placozygus sigmoides,Lucianorhabdus cayeuxii,Cretarhabdus sp. cf. C. conicus,Chiastozygus garrisonii,Bidiscus rotatorius,Arkhangelskiella specillata,Lapideacassis mariae,Placozygus fibuliformis,Prediscosphaera spinosa,Vekshinella dibrachiata,Arkhangelskiella cymbiformis,Vekshinella sp. cf. V. parma,Sollasites lowei,Coccolith species I,Prediscosphaera arkhangelskyi,Gephyrorhabdus coronadventis,Misceomarginatus pleniporus,Cretarhabdus conicus,Monomarginatus spp.,Biscutum dissimilis,Octocyclus reinhardtii,Lithraphidites carniolensis,Prediscosphaera stoveri,Biscutum magnum,Vekshinella parma,Scampanella magnifica,Octolithus multiplus,Nephrolithus corystus,Cribrosphaerella daniae,Acuturris scotus,Nephrolithus frequens miniporus,Nephrolithus frequens,Biscutum notaculum,Rhagodiscus angustus,Toweius tovae,Toweius pertusus,Toweius eminens,Sphenolithus primus,Scampanella sp.,Prinsius martinii,Prinsius bisulcus,Neochiastozygus junctus,Neochiastozygus distentus,Neochiastozygus chiastus,Markalius inversus,Heliolithus kleinpellii,Heliolithus conicus,Heliolithus cantabriae,Fasciculithus tympaniformis,Discoaster elegans,Chiasmolithus danicus,Chiasmolithus consuetus,Braarudosphaera bigelowii,Neochiastozygus cearae,Ellipsolithus bollii,Discoaster mohleri,Cruciplacolithus tenuis,Chiasmolithus bidens,Zygodiscus adamas,Ericsonia subpertusa,Biantholithus sparsus,Zygrhablithus bijugatus,Neochiastozygus concinnus,Heliolithus universus,Ellipsolithus distichus,Discoaster multiradiatus,Discoaster delicatus,Coccolithus pelagicus,Semihololithus kerabyi,Ellipsolithus macellus,Heliolithus megastypus,Discoaster nobilis,Discoaster lenticularis,Zygodiscus plectopons,Toweius callosus,Neocrepidolithus bukryi,Neococcolithes protenus,Pontosphaera versa,Neococcolithes dubius,Discoaster falcatus,Discoaster diastypus,Chiasmolithus solitus,Tribrachiatus orthostylus,Toweius magnicrassus,Sphenolithus radians,Discoaster kuepperi,Discoaster gemmeus,Pontosphaera fimbriata,Lophodolithus nascens,Chiasmolithus expansus,Micrantholithus vesper,Chiasmolithus eograndis,Ericsonia formosa,Discoaster lodoensis,Discoaster barbadiensis,Chiasmolithus grandis,Reticulofenestra prebisecta,Discoaster cruciformis,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Discoaster binodosus,Reticulofenestra hampdenensis,Reticulofenestra hillae,Pontosphaera multipora,Discoaster saipanensis,Discoaster distinctus,Reticulofenestra pseudogammation,Sphenolithus moriformis,Reticulofenestra floridana,Coccolithus eopelagicus,Blackites tenuis,Reticulofenestra umbilica,Reticulofenestra samodurovii,Discoaster tanii nodifer,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,120, 748,C, 21,R,CC,  12.00,    351.0200,Aubry    ,Nannofossils                                 ,A              ,M-P               ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,C            ,C               ,A              ,C                  ,               ,C                ,F                ,C                      ,                         ,                        ,                  ,                       ,                   ,                      ,C                          ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,C                   ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,C                       ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,120, 748,C, 22,R, 1,  37.00,    359.8700,Aubry    ,Nannofossils                                 ,A              ,G                 ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,C            ,C               ,C              ,C                  ,               ,C                ,C                ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,C                          ,                  ,                     ,F                      ,                         ,                      ,                    ,F                 ,                       ,C                   ,                 ,                    ,                     ,                       ,C                        ,                     ,R                      ,C                       ,                    ,                     ,F                     ,F                     ,F                     ,R                 ,F                      ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,120, 748,C, 22,R, 1,  40.00,    359.9000,Aubry    ,Nannofossils                                 ,A              ,G                 ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,C            ,C               ,C              ,C                  ,               ,C                ,C                ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,C                          ,                  ,                     ,F                      ,                         ,                      ,                    ,R                 ,                       ,C                   ,                 ,                    ,                     ,                       ,C                        ,                     ,R                      ,C                       ,                    ,                     ,F                     ,R                     ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP9               ,              ,120, 748,C, 23,R,CC,  25.00,    369.2500,Aubry    ,Nannofossils                                 ,A              ,G                 ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,C               ,C              ,C                  ,               ,C                ,F                ,                       ,                         ,F                       ,                  ,F                      ,                   ,                      ,C                          ,                  ,                     ,F                      ,F                        ,                      ,                    ,                  ,                       ,C                   ,                 ,                    ,                     ,                       ,C                        ,R                    ,F                      ,C                       ,R                   ,C                    ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP7               ,              ,120, 748,C, 24,R, 1,  70.00,    379.2000,Aubry    ,Nannofossils                                 ,A              ,M-P               ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,C            ,A               ,A              ,C                  ,R              ,C                ,F                ,                       ,                         ,F                       ,R                 ,                       ,                   ,                      ,A                          ,                  ,                     ,F                      ,                         ,                      ,R                   ,                  ,                       ,C                   ,R                ,                    ,                     ,C                      ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP7               ,              ,120, 748,C, 24,R,CC,  15.00,    379.8000,Aubry    ,Nannofossils                                 ,A              ,M/G               ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,C            ,C               ,C              ,C                  ,R              ,C                ,C                ,                       ,F                        ,F                       ,R                 ,                       ,                   ,                      ,C                          ,                  ,                     ,F                      ,                         ,                      ,R                   ,R                 ,                       ,C                   ,F                ,R                   ,R                    ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP6               ,              ,120, 748,C, 25,R,CC,  13.00,    389.2200,Aubry    ,Nannofossils                                 ,A              ,M/G               ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,C            ,C               ,C              ,C                  ,R              ,C                ,C                ,F                      ,F                        ,                        ,R                 ,                       ,                   ,R                     ,C                          ,                  ,                     ,F                      ,                         ,F                     ,R                   ,F                 ,F                      ,C                   ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP6               ,              ,120, 748,C, 26,R,CC,  22.00,    397.7200,Aubry    ,Nannofossils                                 ,A              ,M/G               ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,                ,                         ,                      ,                   ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,                   ,                          ,                         ,                   ,                ,F                   ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,F            ,C               ,C              ,F                  ,R              ,C                ,C                ,C                      ,R                        ,C                       ,R                 ,F                      ,F                  ,R                     ,C                          ,F                 ,F                    ,C                      ,R                        ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 2 Table 4 p 480-481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 27,R, 1,  68.00,    407.6800,Watkins  ,Nannofossils                                 ,F              ,M-P               ,                    ,                      ,                      ,                       ,                     ,F                      ,                         ,                        ,                ,                         ,                      ,F                  ,F                          ,                    ,                        ,R                ,                            ,                         ,                    ,                            ,                  ,                          ,F                     ,                   ,                          ,                         ,                   ,                ,F                   ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,F                           ,                            ,                ,                   ,R                            ,                            ,                           ,                    ,F                  ,                   ,                      ,                           ,F                      ,               ,                 ,                     ,                    ,F                    ,C                      ,                ,C                              ,C                    ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 27,R, 1,  90.00,    407.9000,Watkins  ,Nannofossils                                 ,F              ,M                 ,                    ,                      ,                      ,                       ,                     ,F                      ,                         ,                        ,                ,                         ,                      ,F                  ,F                          ,                    ,                        ,F                ,                            ,                         ,                    ,                            ,                  ,                          ,F                     ,                   ,                          ,                         ,                   ,                ,F                   ,                       ,                               ,R                      ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,F                            ,                            ,                           ,                    ,F                  ,                   ,                      ,R                          ,F                      ,F              ,                 ,                     ,                    ,F                    ,F                      ,                ,C                              ,F                    ,F                 ,R                   ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 27,R, 1, 147.00,    408.4700,Watkins  ,Nannofossils                                 ,F              ,M                 ,                    ,                      ,                      ,                       ,                     ,C                      ,                         ,R                       ,                ,                         ,                      ,R                  ,F                          ,                    ,                        ,R                ,                            ,F                        ,                    ,                            ,                  ,                          ,C                     ,R                  ,                          ,                         ,                   ,                ,                    ,                       ,R                              ,                       ,                   ,R                          ,                    ,                       ,                       ,                       ,F                           ,                            ,                ,                   ,                             ,                            ,                           ,                    ,R                  ,R                  ,                      ,R                          ,F                      ,F              ,                 ,                     ,                    ,C                    ,F                      ,                ,C                              ,C                    ,F                 ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 27,R, 2,  16.00,    408.6600,Watkins  ,Nannofossils                                 ,F              ,M                 ,                    ,                      ,                      ,                       ,                     ,                       ,                         ,                        ,R               ,                         ,                      ,F                  ,F                          ,                    ,                        ,                 ,                            ,F                        ,                    ,                            ,                  ,                          ,F                     ,R                  ,R                         ,                         ,                   ,                ,                    ,                       ,R                              ,                       ,                   ,F                          ,                    ,                       ,                       ,                       ,F                           ,                            ,                ,                   ,F                            ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,F                      ,F              ,                 ,                     ,                    ,F                    ,F                      ,R               ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 27,R, 2,  43.00,    408.9300,Watkins  ,Nannofossils                                 ,F              ,M                 ,R                   ,                      ,                      ,                       ,                     ,                       ,                         ,F                       ,R               ,                         ,R                     ,                   ,                           ,                    ,                        ,                 ,                            ,F                        ,F                   ,                            ,                  ,                          ,F                     ,F                  ,                          ,                         ,                   ,                ,F                   ,R                      ,                               ,R                      ,                   ,F                          ,                    ,                       ,                       ,                       ,R                           ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,F                      ,F              ,                 ,R                    ,                    ,F                    ,F                      ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
