Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinelloides multispinus,Heterohelix globulosa,Hedbergella aff. monmouthensis,Hedbergella sp.,Heterohelix planata,Subbotina varianta,Subbotina sp.,Chiloguembelina sp.,Acarinina mckannai,Subbotina triloculinoides,Igorina pusilla,Acarinina esnaensis,Acarinina sp.,Globanomalina pseudomenardii,Globanomalina chapmani,Subbotina velascoensis,Subbotina triangularis,Subbotina quadrata,Morozovella tadjikistanensis,Igorina convexa,Igorina albeari,Acarinina acarinata,Acarinina soldadoensis,Planorotalites australiformis,Chiloguembelina wilcoxensis,Acarinina primitiva,Subbotina patagonica,Morozovella subbotinae,Morozovella gracilis,Acarinina wilcoxensis,Acarinina pseudotopilensis,Subbotina inaequispira,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Igorina broedermanni,Acarinina pentacamerata,Acarinina angulosa,Morozovella aragonensis,Acarinina bullbrooki,Subbotina frontosa,Pseudohastigerina micra,Globigerinatheka senni,Subbotina linaperta,Subbotina angiporoides,Morozovella spinulosa,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina spinuloinflata,Acarinina collactea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,S. patagonica     ,              ,120, 748,C, 11,R,CC,  18.00,    268.1800,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,+                     ,                      ,                      ,                  ,                            ,+              ,               ,                   ,                      ,+                            ,                           ,+                  ,+                   ,                      ,                    ,+                    ,+                         ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,S. patagonica     ,              ,120, 748,C, 12,R,CC,  16.00,    278.3700,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,+                     ,                      ,                      ,                  ,                            ,+              ,               ,                   ,+                     ,+                            ,                           ,+                  ,+                   ,                      ,                    ,+                    ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P6                ,              ,120, 748,C, 14,R,CC,  12.00,    298.1200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,+                     ,+                            ,+                          ,+                  ,+                   ,+                     ,+                   ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,AP5               ,              ,120, 748,C, 15,R,CC,  15.00,    306.1500,Berggren ,Planktonic Foraminifers                      ,C              ,P                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,+                     ,                  ,                            ,               ,               ,+                  ,+                     ,+                            ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,AP5               ,              ,120, 748,C, 16,R,CC,   8.00,    315.5800,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,+                     ,+                     ,                  ,                            ,               ,               ,+                  ,+                     ,+                            ,+                          ,+                  ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
