Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinelloides multispinus,Heterohelix globulosa,Hedbergella aff. monmouthensis,Hedbergella sp.,Heterohelix planata,Subbotina varianta,Subbotina sp.,Chiloguembelina sp.,Acarinina mckannai,Subbotina triloculinoides,Igorina pusilla,Acarinina esnaensis,Acarinina sp.,Globanomalina pseudomenardii,Globanomalina chapmani,Subbotina velascoensis,Subbotina triangularis,Subbotina quadrata,Morozovella tadjikistanensis,Igorina convexa,Igorina albeari,Acarinina acarinata,Acarinina soldadoensis,Planorotalites australiformis,Chiloguembelina wilcoxensis,Acarinina primitiva,Subbotina patagonica,Morozovella subbotinae,Morozovella gracilis,Acarinina wilcoxensis,Acarinina pseudotopilensis,Subbotina inaequispira,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Igorina broedermanni,Acarinina pentacamerata,Acarinina angulosa,Morozovella aragonensis,Acarinina bullbrooki,Subbotina frontosa,Pseudohastigerina micra,Globigerinatheka senni,Subbotina linaperta,Subbotina angiporoides,Morozovella spinulosa,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina spinuloinflata,Acarinina collactea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 45,R, 1,  20.00,    578.2000,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,                              ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 46,R,CC,  26.00,    589.7700,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,45.0%                         ,                     ,55.0%                         ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 47,R, 1, 124.00,    598.2400,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,+                             ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 48,R, 1,  13.00,    606.6300,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,+                             ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 48,R, 1, 132.00,    607.8200,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,+                             ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 49,R, 1, 135.00,    617.3500,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,                              ,+              ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 50,R, 1,  87.00,    626.3700,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,+                             ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 52,R, 1,  97.00,    645.4700,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,                              ,               ,+                  ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 54,R, 3,  71.00,    667.2100,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,                              ,+              ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 55,R, 3, 138.00,    677.1400,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,+                    ,+                             ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP17              ,              ,120, 748,C, 56,R, 1,  49.00,    682.9900,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,                              ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
