Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Saccammina sp. 2,Saccammina sp. 1,Saccammina sp.,Quadrimorphina allomorphinoides,Lenticulina sp.,Gavelinella sp.,Gavelinella sandidgei,Alabamina australis,Ramulina sp.,Gyroidinoides sp.,Frondicularia striatula,Stensioeina sp. 1,Spiroplectammina grzybowskii,Quadrimorphina camerata,Pyramidina triangularis,Praebulimina carseyae,Praebulimina aspera,Pleurostomella sp.,Lagena hispida,Gyroidinoides goudkoffi,Frondicularia inversa,Dentalina sp.,Lagena sp.,Guttulina adhaerens,Marginulina texasensis,Heterolepa carlsbadensis,Lagena sp. indet.,Bathysiphon sp. ,Nodosaria septemcostata,Globorotalites spineus,Rectobolivina sp.,Quadrimorphina sp.,Praebulimina sp.,Dentalina basiplanata,Vaginulina sp.,Praebulimina kickapooensis,Nodosaria sp.,Marginulina curvatura,Ellipsoglandulina manifesta,Dentalina alternata,Notoplanulina aff. compressa,Spiroplectammina sp.,Praebulimina sp. 3,Gyroidinoides nitidus,Marginulina sp.,Lagena paucicosta,Gyroidinoides globosa,Guttulina sp.,Dorothia bulletta,Cibicides ribbingi,Oolina apiculata,Marssonella oxycona,Dentalina lorneiana,Dentalina inornata,Coryphostoma sp.,Conorboides sp.,Cibicides beaumontianus,Anomalinoides sp.,Patellina sp.,Nodosaria aff. affinis,Lenticulina sp. 1,Lenticulina macrodisca,Lagena sp. nov. (Barker),Spiroplectammina laevis,Lagena substriata,Lagena acuticosta,Fissurina sp.,Dentalina gracilis,Dentalina basitorta,Anomalina nelsoni,Spirillina sp.,Pararotalia praenaheolensis,Oolina delicata,Nodosaria aspera,Marginulina austinana,Guttulina cuspidata,Pyrulina aff. apiculata,Pullenia cretacea,Praebulimina reussi,Dentalina sororia,Bathysiphon brosgeri,?Saccammina  sp.,Gavelinella harperi,Dentalina catenula,Berthelinella sp.,Notoplanulina rakauroana,Lingulina sp 1,Gavelinella sandidgei form B,Coryphostoma midwayensis,Alabamina sp.,Gavelinella nacatochensis,Tristix excavata,Quadrimorphina spirata,Marginulinopsis striatocostata,Allomorphina sp.,Dorothia conicula,Praebulimina cushmani,Pleurostomella subnodosa,Lagena semiinterrupta,Notoplanulina n. sp. 1       ,Guttulina subsphaerica,Globulina lacrima,Fissurina sp. 1,Bolivinoides granulatus,Osangularia sp.,Globulina sp.,Foraminifer (indet. sessile form),Bolivinopsis spectabilis,Bolivinopsis rosula,Stilostomella pseudoscripta,Pseudouvigerina californica,Oolina globosa,Foraminifer (gen. et sp. Indet),Bolivinoides laevigatus,Valvulina spinosa,Uvigerina spp.,Uvigerina hispidocostata,Uvigerina havanensis,Uvigerina graciliformis,Uvigerina elongata,Turrilina robertsi/brevispira,Turrilina alsatica,Tritaxia spp.,Trifarina sp.,Tappanina selmensis,Stilostomella spp.,Stensioina beccariiformis,Spiroplectammina spectabilis,Siphotextularia sp.,Rhabdammina/Hyperammina (unspecified taxon or taxa),Rectuvigerina multicostata,Quadrimorphina spp.,Pyramidina rudita,Pullenia subcarinata,Pullenia eocaenica,Pullenia coryelli,Pullenia bulloides,Pleurostomella sp.,Plectofrondicularia sp.,Plectina elongata,Osangularia velascoensis,Osangularia mexicana,Osangularia culter,Orthomorphina sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Nuttallides truempyi,Nonion sp. 6,Nonion havanensis,Nodosaria sp.,Neoeponides hillebrandti,Neoeponides cf. lunata,Melonis affinis,Martinottiella nodulosa,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Laticarinina pauperata,Lagena sp.,Karreriella subglabra,Karreriella spp.,Karreriella chapapotensis,Karreriella bradyi,Hanzawaia spp.,Hanzawaia cushmani,Gyroidinoides spp.,Gyroidinoides soldanii,Gyroidina spp.,"Gyroidina sp. ""small""",Gyroidina lamarckiana,Glomospira charoides,Globocassidulina subglobosa,Gavelinella danica,Gaudryina cf. laevigata,Fursenkoina spp.,Fissurina spp.,Eponides sp. 31,Epistominella exigua,Eggerella sp.,Eggerella bradyi,Dentalina spp.,Cibicidoides velascoensis,Cibicidoides subspiratus,Cibicidoides sp.,Cibicidoides praemundulus,Cibicidoides pachyderma,Cibicidoides mundulus,Cibicidoides micrus,Cibicidoides laurisae,Cibicidoides eocaenus,Cibicidoides bradyi,Cassidulina cf. havanense,Buliminella grata,Bulimina trinitatensis,Bulimina trihedra,Bulimina thanetensis,Bulimina striata,Bulimina spp.,Bulimina semicostata,Bulimina navarroensis,Bulimina macilenta,Bulimina jarvisi,Bulimina elongata,Bulimina bradburyi,Bulimina alazanensis,Bolivinoides delicatulus,Bolivina spp.,Astrononion pusillum,Aragonia velascoensis,Aragonia aragonensis,Anomalinoides spp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Anomalinoides capitatus,Anomalina praeacuta,Alabamina dissonata,Alabamina creta,Abyssamina poagi,Tritaxia? sp.,Cibicidoides cicatricosus,Cassidulina ?cressa or ?crassa,Nuttalinella florealis,Vaginulina spp.,Turrilina robertsi,Valvulineria mexicana,Cassidulina havanensis,Astrononion sp. 18,Abyssamina quadrata,Trilarina sp. 18,Pullenia quinqueloba,Clinapertina complanata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C,  6,R,CC,  15.00,    220.6500,Mackensen,Benthic Foraminifers                         ,               ,                  ,                ,                ,              ,                               ,               ,               ,                     ,                   ,            ,                 ,                       ,                 ,                            ,                       ,                       ,                     ,                   ,                  ,              ,                       ,                     ,             ,          ,                   ,                      ,                        ,                 ,                ,                       ,                      ,                 ,                  ,                ,                     ,              ,                          ,             ,                     ,                           ,                   ,                            ,                    ,                  ,                     ,               ,                 ,                     ,             ,                 ,                  ,                ,                   ,                   ,                  ,                ,               ,                       ,                 ,             ,                      ,19               ,                      ,                        ,                       ,                 ,                 ,             ,                  ,                   ,                 ,              ,                           ,               ,                ,                     ,                   ,                       ,                 ,                   ,                 ,                    ,                ,                   ,                  ,                 ,                        ,              ,                            ,.0%                     ,             ,                         ,                ,                      ,                              ,                ,                 ,                     ,                        ,                     ,                             ,                      ,                 ,               ,                       ,               ,             ,                                 ,                        ,                   ,                           ,                           ,              ,                               ,                       ,1.7%             ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.9%                          ,.0%               ,.0%          ,4.3%         ,.0%                ,18.3%             ,.0%                      ,.9%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,2.6%                ,.9%               ,.0%              ,.0%               ,3.5%              ,.0%                    ,.9%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,3.5%                 ,.0%                   ,.9%                 ,.0%         ,1.7%             ,7.0%         ,.0%                     ,.0%                   ,.0%            ,.0%                    ,4.3%            ,.0%               ,23.5%           ,.0%                   ,3.5%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,1.7%              ,.0%               ,.0%                   ,2.6%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                      ,.9%                     ,.0%             ,10.4%                    ,.0%                    ,.0%                  ,.0%                ,.0%                  ,.0%                  ,.0%                ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.9%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.0%                        ,.9%                    ,.0%                ,3.5%               ,.0%            ,.0%             ,             ,2                        ,                              ,                      ,               ,1                 ,                     ,12                    ,                  ,                   ,5               ,3                   ,1                      ,Indeterminant specimens = 0%; All others = 0.9%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 10,R,CC,  10.00,    262.3400,Mackensen,Benthic Foraminifers                         ,               ,                  ,                ,                ,              ,                               ,               ,               ,                     ,                   ,            ,                 ,                       ,                 ,                            ,                       ,                       ,                     ,                   ,                  ,              ,                       ,                     ,             ,          ,                   ,                      ,                        ,                 ,                ,                       ,                      ,                 ,                  ,                ,                     ,              ,                          ,             ,                     ,                           ,                   ,                            ,                    ,                  ,                     ,               ,                 ,                     ,             ,                 ,                  ,                ,                   ,                   ,                  ,                ,               ,                       ,                 ,             ,                      ,                 ,                      ,                        ,                       ,                 ,                 ,             ,                  ,                   ,                 ,              ,                           ,               ,                ,                     ,                   ,                       ,                 ,                   ,                 ,                    ,                ,                   ,                  ,                 ,                        ,              ,                            ,.0%                     ,             ,                         ,                ,                      ,                              ,                ,                 ,                     ,                        ,                     ,                             ,                      ,                 ,               ,                       ,               ,             ,                                 ,                        ,                   ,                           ,                           ,              ,                               ,                       ,.0%              ,2.5%          ,.0%                     ,.0%                 ,.0%                    ,.0%               ,4.3%                         ,.0%               ,.0%          ,1.2%         ,.0%                ,28.8%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.0%                 ,2.5%              ,.0%              ,.0%               ,3.7%              ,.0%                    ,.0%              ,.0%                     ,.6%                 ,.0%               ,.0%              ,6.7%                 ,.0%                   ,3.1%                ,.0%         ,1.8%             ,1.8%         ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,12.9%           ,.0%                   ,.0%       ,.6%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,1.2%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                      ,6.7%                    ,.0%             ,.0%                      ,.0%                    ,.0%                  ,.0%                ,1.2%                 ,1.8%                 ,.0%                ,.0%                      ,.0%              ,1.8%                  ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,3.7%              ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,.6%                       ,1.2%                       ,3.1%                   ,.0%                ,4.9%               ,.0%            ,1.2%            ,             ,                         ,                              ,                      ,               ,7                 ,                     ,                      ,                  ,                   ,                ,                    ,                       ,Indeterminant specimens = 1.8%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 11,R,CC,  18.00,    268.1800,Mackensen,Benthic Foraminifers                         ,               ,                  ,                ,                ,              ,                               ,               ,               ,                     ,                   ,            ,                 ,                       ,                 ,                            ,                       ,                       ,                     ,                   ,                  ,              ,                       ,                     ,             ,          ,                   ,                      ,                        ,                 ,                ,                       ,                      ,                 ,                  ,                ,                     ,              ,                          ,             ,                     ,                           ,                   ,                            ,                    ,                  ,                     ,               ,                 ,                     ,             ,                 ,                  ,                ,                   ,                   ,                  ,                ,               ,                       ,                 ,             ,                      ,                 ,                      ,                        ,                       ,                 ,                 ,             ,                  ,                   ,                 ,              ,                           ,               ,                ,                     ,                   ,                       ,                 ,                   ,                 ,                    ,                ,                   ,                  ,                 ,                        ,              ,                            ,.0%                     ,             ,                         ,                ,                      ,                              ,                ,                 ,                     ,                        ,                     ,                             ,                      ,                 ,               ,                       ,               ,             ,                                 ,                        ,                   ,                           ,                           ,              ,                               ,                       ,.0%              ,1.1%          ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,3.2%         ,.0%                ,21.5%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.0%                 ,3.2%              ,.0%              ,.0%               ,.0%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,10.8%                ,.0%                   ,2.2%                ,.0%         ,4.3%             ,1.1%         ,.0%                     ,.0%                   ,.0%            ,.0%                    ,1.1%            ,.0%               ,9.7%            ,.0%                   ,2.2%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,2.2%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,1.1%          ,.0%                      ,.0%                     ,.0%             ,9.7%                     ,.0%                    ,.0%                  ,.0%                ,7.5%                 ,3.2%                 ,.0%                ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,1.1%              ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.2%                      ,.0%                        ,1.1%                   ,.0%                ,7.5%               ,.0%            ,.0%             ,             ,                         ,                              ,                      ,               ,                  ,                     ,9                     ,                  ,                   ,                ,                    ,                       ,Indeterminant specimens = 4.3%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 12,R,CC,  16.00,    278.3700,Mackensen,Benthic Foraminifers                         ,               ,                  ,                ,                ,              ,                               ,               ,               ,                     ,                   ,            ,                 ,                       ,                 ,                            ,                       ,                       ,                     ,                   ,                  ,              ,                       ,                     ,             ,          ,                   ,                      ,                        ,                 ,                ,                       ,                      ,                 ,                  ,                ,                     ,              ,                          ,             ,                     ,                           ,                   ,                            ,                    ,                  ,                     ,               ,                 ,                     ,             ,                 ,                  ,                ,                   ,                   ,                  ,                ,               ,                       ,                 ,             ,                      ,                 ,                      ,                        ,                       ,                 ,                 ,             ,                  ,                   ,                 ,              ,                           ,               ,                ,                     ,                   ,                       ,                 ,                   ,                 ,                    ,                ,                   ,                  ,                 ,                        ,              ,                            ,.0%                     ,             ,                         ,                ,                      ,                              ,                ,                 ,                     ,                        ,                     ,                             ,                      ,                 ,               ,                       ,               ,             ,                                 ,                        ,                   ,                           ,                           ,              ,                               ,                       ,3.7%             ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.9%          ,.0%                ,34.6%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.0%                 ,2.8%              ,.0%              ,.0%               ,3.7%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,1.9%                 ,.0%                   ,.0%                 ,.0%         ,2.8%             ,2.8%         ,.0%                     ,.0%                   ,.0%            ,.0%                    ,3.7%            ,.0%               ,14.0%           ,.0%                   ,3.7%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,.0%           ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                      ,.0%                     ,.0%             ,12.1%                    ,.0%                    ,.0%                  ,.0%                ,.0%                  ,3.7%                 ,.0%                ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,3.7%                      ,.0%                        ,1.9%                   ,.0%                ,.9%                ,.0%            ,.0%             ,             ,4                        ,                              ,                      ,               ,                  ,                     ,13                    ,                  ,1                  ,                ,                    ,                       ,Indeterminant specimens = 0.9%; All others = 1.9%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
