Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valensiella griphus,Taleisphaera hydra,Spiniferites spp.,Pervosphaeridium pseudhystrichodinium,Palaeohystrichophora infusoriodes,Oligosphaeridium spp.,Odontochitina spp.,Microdinium ornatum,Maghrebinia sp.,Litosphaeridium siphoniphorum,Kallosphaeridium granulatum,Florentinia spp.,Eyrea nebulosa,Exochosphaeridium sp.,Diconodinium multispinum,Cyclonephelium hughesii,Cribroperidinium edwardsii,Cribroperidinium cooksoniae,Craspedodinium sp.,Cleistosphaeridium ancoriferum,Ascodinium acrophorum,Achomosphaera triangulata,Heterosphaeridium sp.,Cribroperidinium muderongense,Kiokansium polypes,Hystrichodinium pulchrum,Chlamydophorella nyei,Cassiculosphaeridia reticulata,Chatangiella sp.,Prolixosphaeridium sp.,Tanyosphaeridium salpinx,Xenascus cf. ceratioides,Isabelidinium spp.,Kleithriasphaeridium tubulosum,?Maduradinium sp.,Conosphaeridium striatoconus,Trithyodinium sp.,Tehamadinium sp.,Xenascus ceratioides,Trithyrodinium suspectum,Spiniferites sp.,Oligosphaeridium pulcherrimum,Kallosphaeridium? helbyi,Isabelidinium sp. ,Hystrichosphaeridium tubiferum,Cyclonephelium crassimarginatum,Circulodinium distinctum longispinatum,Chlamydophorella discreta,Canningia reticulata,Callaoisphaeridium asymmetricum,Spiniferites ramosus,Odontochitina sp.,Odontochitina operculata,Nelsoniella aceras,Kiokansium sp. cf. K. polypes,Isabelidinium korojonense,Isabelidinium cooksoniae,Isabelidinium belfastense,Heterosphaeridium heteracanthum,Fromea sp.,Cyclonephelium compactum,Cyclonephelium brevispinatum,Cleistosphaeridium sp.,Circulodinium distinctum,Chatangiella victoriensis,Chatangiella tripartita,Canninginopsis colliveri,Bulbodinium seitzii,Trichodinium castanea,Spinidinium? clavus,Spinidinium sp.,Odontochitina cribropoda,Laciniadinium firmum,Canningia sp.,Areoligera sp. cf. A. senonensis,Trithyrodinium fragile,Tanyosphaeridium variecalamus,Spinidinium lanterna,Pierceites schizocystis,Odontochitina porifera,Laciniadinium williamsii,Isabelidinium microarmum,Isabelidinium acuminatum,Hystrichokolpoma sp. ,Florentinia sp. cf. F. mantellii,Eurydinium eyrense,Eschariasphaeridia sp.,Dinogymnium westralium,Chatangiella verrucosa,Chatangiella spectabilis,Chatangiella biapertura,Areoligera sp.,Areoligera senonensis,Alterbidinium minus,Achomosphaera sp.,Heterosphaeridium conjunctum,Eurydinium tempestivum,Eucladinium spinosissimum,Dinogymnium sp.,Diconodinium sp.,Diconodinium arcticum,Deflandrea sp.,Oligosphaeridium sp.,Nelsoniella sp. ,Chatangiella granulifera,Chatangiella ditissima,Amphidiadema denticulata,Cleistosphaeridium multifurcatum,Areoligera coronata,Apteodinium maculatum,Chatangiella serratula,Canningia senonica,Alterbidinium sp.,Achomosphaera ramulifera,Talimudinium scissurum,Spinidinium uncinatum,Palaeoperidinium parvum,Gillinia hymenophora,Eucladinium madurense,Diconodinium sp. cf. D. arcticum,Oligosphaeridium complex,Cyclonephelium paucimarginatum,Canningia kukebaiensis,Leptodinium sp. ,Kallosphaeridium? ringnesiorum,Eurydinium ingramii,Dinogymnium curvatum,Dinogymnium albertii,Pterodinium cingulatum,Isabelidinium magnum,Isabelidinium cretaceum oviforme,Exochosphaeridium phragmites,Trithyrodinium sp.,Nelsoniella tuberculata,Isabelidinium cretaceum cretaceum,Dinogymnium digitus,Cleistosphaeridium flexuosum,Batiacasphaera sp.,Amphidiadema sp.,Tanyosphaeridium xanthiopyxides,Nelsoniella semireticulata,Abratopdinium kerguelense,Kallosphaeridium sp.,Gonyaulacysta sp. ,Palaeohystrichophora sp.,Microdinium sp. ,Maduradinium pentagonum,Impagidinium cristatum,Platycystidia diptera,Dinogymnium undolosum,Leberidocysta chlamydata,Eucladinium gambangense,Xenikoon australis,Hystrichodinium sp. ,Canningia sp. cf. C. scabrosa,Lanternosphaeridium sp. ,Heterosphaeridium cordiforme,Cleistosphaeridium huguoniotii,Abratopdinium cardioforme,Xenikoon sp.,Trichodinium sp.,Subtilisphaera piraensis,Senegalinium sp. cf. S. ?microgranulatum,Manumiella sp.,Isabelidinium thomasii,Lejeunecysta sp. ,Elytrocysta druggii,Coronifera sp. cf. C. striolata,Amphorasphaeridium sp.,Satyrodinium haumuriense,Satyrodinium bengalense,Fromea chytra ,Cannosphaeropsis utinensis,Nematosphaeropsis sp. ,Cleistosphaeridium armatum,Isabelidinium sp. A,Endoceratium sp.,Diconodinium rhombiforme,Diconodinium psilatum,Manumiella sp. cf. M. sp. 2,Isabelidinium bakeri,Amphorosphaeridium fenestratum,Xenascus sp.,Exochosphaeridium arnace,Cordosphaeridium sp.,Subtilisphaera sp.,Impagidinium sp.,Eurydinium ellipticum,Cerodinium diebelii,Palaeocystodinium sp.,Isabelidinium pellucidum,Isabelidinium cretaceum gravidusum,Cyclopsiella sp.,Paralecaniella sp.,Alterbidinium acutulum,Palaeocystodinium sp. cf. P. scabrata,Odontochitina spinosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,Zone D            ,              ,120, 748,C, 27,R, 2,  11.00,    408.6100,Mao      ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                   ,                  ,                 ,                                     ,                                 ,                     ,                  ,                   ,               ,                             ,                           ,                ,              ,                     ,                        ,                       ,                          ,                           ,                  ,                              ,                     ,                         ,+                    ,                             ,                  ,                        ,                     ,                              ,+               ,                      ,                        ,                        ,                  ,                              ,                 ,                            ,                 ,                ,                    ,                        ,                ,                             ,                        ,+                 ,                              ,                               ,                                      ,                         ,                    ,                               ,                    ,                 ,                        ,R                 ,                             ,                         ,                        ,                         ,                               ,          ,                        ,                            ,                      ,                        ,                         ,                       ,                        ,                   ,                     ,                   ,               ,                        ,                    ,             ,                                ,                      ,                             ,                    ,                       ,                      ,                        ,                        ,                        ,                     ,                                ,                  ,                      ,                      ,                      ,                        ,                       ,              ,                     ,                   ,                 ,                            ,                      ,                         ,               ,                ,                     ,              ,                    ,R               ,                        ,                      ,+                       ,                                ,                   ,                     ,                      ,                  ,                 ,                        ,                      ,                     ,                       ,                    ,                     ,                                ,                        ,                              ,                      ,                ,                              ,                   ,                    ,                    ,                      ,                    ,                                ,                            ,                  ,+                      ,                                 ,                   ,                            ,                  ,                ,                               ,                          ,                         ,                    ,                  ,                        ,                ,                       ,                      ,                     ,                     ,                        ,                       ,                  ,                    ,                             ,                        ,                            ,                              ,                         ,            ,                ,                        ,                                        ,              ,                      ,                 ,                   ,                               ,                      ,                        ,+                      ,+             ,                          ,                      ,                          ,                   ,                ,                        ,                     ,                           ,                    ,                              ,            ,                        ,                    ,                  ,                ,F                    ,                   ,                     ,                        ,A                                 ,                ,                  ,                      ,+                                    ,+                    ,from ODP Leg 120 SR Vol 1 Chapter 20 Table 1 p 312-314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,Subzone C2        ,              ,120, 748,C, 28,R, 1,  48.00,    416.9800,Mao      ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                   ,                  ,                 ,                                     ,                                 ,                     ,                  ,                   ,               ,                             ,                           ,                ,              ,                     ,                        ,                       ,                          ,                           ,                  ,                              ,                     ,                         ,+                    ,                             ,                  ,                        ,                     ,                              ,                ,                      ,                        ,                        ,                  ,                              ,                 ,                            ,                 ,                ,                    ,                        ,                ,                             ,                        ,+                 ,                              ,                               ,                                      ,                         ,                    ,                               ,                    ,                 ,                        ,                  ,                             ,                         ,                        ,+                        ,                               ,          ,                        ,                            ,                      ,                        ,                         ,                       ,                        ,                   ,                     ,                   ,               ,                        ,                    ,             ,                                ,                      ,                             ,                    ,                       ,+                     ,                        ,                        ,                        ,                     ,                                ,                  ,                      ,                      ,                      ,                        ,                       ,              ,                     ,                   ,                 ,F                           ,                      ,                         ,               ,+               ,                     ,              ,                    ,                ,                        ,                      ,                        ,                                ,                   ,                     ,                      ,                  ,                 ,                        ,                      ,                     ,                       ,                    ,                     ,                                ,                        ,                              ,                      ,                ,                              ,                   ,                    ,                    ,                      ,                    ,                                ,                            ,                  ,                       ,                                 ,                   ,                            ,                  ,+               ,+                              ,                          ,                         ,                    ,                  ,                        ,                ,                       ,                      ,                     ,                     ,                        ,                       ,+                 ,                    ,                             ,                        ,                            ,                              ,                         ,            ,                ,                        ,                                        ,              ,                      ,                 ,                   ,                               ,                      ,+                       ,                       ,              ,                          ,                      ,                          ,                   ,                ,                        ,                     ,                           ,                    ,                              ,            ,                        ,+                   ,                  ,                ,                     ,                   ,                     ,+                       ,                                  ,                ,                  ,                      ,                                     ,                     ,from ODP Leg 120 SR Vol 1 Chapter 20 Table 1 p 312-314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,Subzone C2        ,              ,120, 748,C, 29,R, 1,   1.00,    426.0100,Mao      ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                   ,                  ,                 ,                                     ,                                 ,                     ,                  ,                   ,               ,                             ,                           ,                ,              ,                     ,                        ,                       ,                          ,                           ,                  ,                              ,                     ,                         ,R                    ,                             ,                  ,                        ,+                    ,                              ,                ,                      ,                        ,                        ,                  ,                              ,                 ,                            ,                 ,                ,                    ,+                       ,                ,                             ,+                       ,+                 ,                              ,                               ,                                      ,                         ,                    ,                               ,                    ,+                ,                        ,                  ,                             ,                         ,                        ,                         ,                               ,          ,                        ,                            ,                      ,+                       ,                         ,                       ,                        ,                   ,                     ,                   ,               ,                        ,                    ,R            ,                                ,                      ,                             ,                    ,                       ,                      ,                        ,                        ,                        ,                     ,                                ,                  ,                      ,                      ,                      ,                        ,                       ,              ,                     ,                   ,                 ,                            ,                      ,                         ,               ,                ,                     ,              ,                    ,+               ,                        ,                      ,                        ,                                ,                   ,                     ,                      ,                  ,                 ,                        ,                      ,                     ,                       ,                    ,                     ,                                ,                        ,                              ,                      ,                ,                              ,                   ,                    ,                    ,                      ,                    ,                                ,                            ,                  ,                       ,                                 ,                   ,                            ,                  ,                ,                               ,                          ,                         ,                    ,                  ,                        ,                ,                       ,                      ,                     ,                     ,                        ,                       ,                  ,                    ,                             ,                        ,                            ,                              ,                         ,            ,                ,                        ,                                        ,              ,                      ,                 ,+                  ,                               ,                      ,                        ,                       ,+             ,                          ,                      ,                          ,                   ,                ,                        ,                     ,                           ,                    ,                              ,            ,                        ,                    ,                  ,                ,                     ,                   ,                     ,                        ,                                  ,+               ,+                 ,+                     ,                                     ,                     ,from ODP Leg 120 SR Vol 1 Chapter 20 Table 1 p 312-314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,Subzone C2        ,              ,120, 748,C, 29,R, 1,  30.00,    426.3000,Mao      ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                   ,                  ,                 ,                                     ,                                 ,                     ,                  ,                   ,               ,                             ,                           ,                ,              ,+                    ,                        ,                       ,                          ,                           ,                  ,                              ,                     ,                         ,                     ,                             ,                  ,                        ,                     ,                              ,                ,                      ,                        ,                        ,                  ,                              ,                 ,                            ,                 ,                ,                    ,                        ,R               ,                             ,+                       ,F                 ,                              ,                               ,                                      ,                         ,                    ,                               ,                    ,                 ,                        ,                  ,                             ,                         ,                        ,                         ,+                              ,          ,                        ,                            ,R                     ,                        ,                         ,                       ,                        ,                   ,+                    ,                   ,               ,                        ,                    ,             ,                                ,                      ,                             ,                    ,                       ,F                     ,                        ,                        ,                        ,                     ,                                ,                  ,                      ,                      ,                      ,                        ,                       ,R             ,                     ,                   ,                 ,+                           ,+                     ,                         ,               ,+               ,+                    ,              ,                    ,                ,                        ,                      ,                        ,                                ,                   ,                     ,                      ,F                 ,                 ,                        ,                      ,                     ,                       ,                    ,                     ,                                ,+                       ,                              ,                      ,+               ,                              ,                   ,                    ,                    ,                      ,                    ,                                ,                            ,                  ,                       ,                                 ,                   ,                            ,                  ,                ,+                              ,                          ,                         ,                    ,                  ,                        ,                ,                       ,+                     ,                     ,                     ,                        ,                       ,+                 ,                    ,                             ,+                       ,                            ,                              ,                         ,            ,                ,                        ,                                        ,              ,                      ,                 ,+                  ,                               ,                      ,                        ,+                      ,+             ,                          ,                      ,                          ,                   ,                ,                        ,                     ,                           ,                    ,                              ,            ,                        ,                    ,                  ,                ,+                    ,                   ,                     ,R                       ,                                  ,+               ,                  ,                      ,                                     ,                     ,from ODP Leg 120 SR Vol 1 Chapter 20 Table 1 p 312-314
