Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia scitula	Globorotalia hirsuta	Globorotalia crassaformis hessi	Globorotalia crassaformis	Globorotalia conglomerata	Globorotalia aequilaterus	Globoconella inflata	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber (pink)	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides immaturus	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Sphaeroidinella dehiscens	Globorotalia menardii	Globorotalia tosaensis	Globorotalia inflata	Comment



  IR	Pleistocene      	Pleistocene      	                  	              	175	1075	A	  1	H	CC	  11.00	      1.0900	Christensen	Planktonic Foraminifers                      	A              	VG                	1                           	25               	                                       	7                          	-                         	3                  	1                            	1                   	                    	                               	10                       	                         	8                        	-                   	6                       	4                         	15                          	14                   	                             	-                        	3                      	                       	23                   	                         	                     	                      	-                   	       

  IR	                 	                 	                  	              	175	1075	A	  2	H	CC	  11.00	     11.2300	Christensen	Planktonic Foraminifers                      	               	                  	                            	A18              	                                       	3                          	A12                       	                   	                             	5                   	                    	                               	A7                       	                         	                         	                    	3                       	                          	A8                          	                     	                             	                         	2                      	                       	D60                  	                         	                     	                      	4                   	       

  IR	                 	                 	                  	              	175	1075	A	  3	H	CC	  16.00	     20.9100	Christensen	Planktonic Foraminifers                      	               	                  	                            	A22              	-                                      	10                         	8                         	-                  	2                            	5                   	-                   	-                              	13                       	-                        	9                        	                    	A15                     	10                        	A27                         	A32                  	-                            	-                        	-                      	                       	11                   	                         	                     	                      	3                   	       

  IR	                 	                 	                  	              	175	1075	A	  4	H	CC	  19.00	     30.2900	Christensen	Planktonic Foraminifers                      	R              	                  	                            	+                	                                       	                           	                          	1                  	                             	                    	                    	                               	                         	                         	                         	                    	                        	                          	                            	                     	                             	                         	                       	                       	                     	                         	                     	                      	                    	       

  IR	                 	                 	                  	              	175	1075	A	  5	H	CC	  16.00	     39.9500	Christensen	Planktonic Foraminifers                      	C              	G                 	6                           	A16              	6                                      	A17                        	2                         	1                  	-                            	2                   	-                   	-                              	3                        	-                        	10                       	5                   	A25                     	5                         	6                           	8                    	-                            	-                        	-                      	                       	4                    	                         	                     	1                     	                    	       

  IR	                 	Pleistocene      	                  	              	175	1075	A	  6	H	CC	  20.00	     49.4500	Christensen	Planktonic Foraminifers                      	C              	G                 	                            	35               	1                                      	4                          	2                         	-                  	                             	4                   	                    	                               	-                        	1                        	3                        	                    	                        	-                         	8                           	1                    	-                            	                         	                       	                       	4                    	                         	                     	                      	12                  	       

