Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongaster tetras tetras	Pterocanium trilobum	Phormostichoartus corbula	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Lamprocyclas hannai	Eucyrtidium calvertense	Eucyrtidium anomalum	Didymocyrtis tetrathalamus tetrathalamus	Cycladophora davisiana	Cycladophora cornutoides	Axoprunum angelinum	Amphirhopalum ypsilon	Pterocanium praetextum eucolpum	Actinomma leptodermum	Lamprocyrtis nigriniae	Acanthodesmia viniculata	Theocorythium trachelium trachelium	Lithopera bacca	Pterocanium praetextum praetextum	Comment
  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1075	A	 18	H	CC	  15.00	    163.6800	Motoyama 	Radiolarians                                 	A              	G                 	                        	+                   	+                        	+                          	1                       	+                  	                       	                    	+                                       	+                     	+                       	+                  	                     	+                              	+                    	                      	+                       	                                   	               	                                 	       

  IR	                 	Late Pliocene    	                  	P. prismatium 	175	1075	A	 19	H	CC	  25.00	    173.1700	Motoyama 	Radiolarians                                 	A              	G                 	                        	+                   	+                        	+                          	1                       	+                  	+                      	                    	+                                       	+                     	+                       	+                  	                     	+                              	+                    	                      	                        	                                   	               	                                 	       

  IR	                 	Late Pliocene    	                  	P. prismatium 	175	1075	A	 20	H	CC	  19.00	    183.1600	Motoyama 	Radiolarians                                 	A              	G                 	                        	+                   	+                        	+                          	+                       	+                  	+                      	                    	+                                       	+                     	+                       	+                  	+                    	+                              	+                    	+                     	                        	                                   	               	                                 	"bottom" of L nigriniae

  IR	                 	Late Pliocene    	                  	P. prismatium 	175	1075	A	 21	H	CC	  21.00	    192.1200	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	+                          	                        	+                  	+                      	                    	+                                       	+                     	+                       	+                  	+                    	+                              	+                    	                      	                        	                                   	               	                                 	       

  IR	                 	Late Pliocene    	                  	P. prismatium 	175	1075	A	 22	H	CC	  19.00	    201.5900	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	+                          	+                       	+                  	+                      	+                   	+                                       	+                     	+                       	+                  	+                    	                               	                     	                      	                        	                                   	               	                                 	       

