Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pyrgo spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Globobulimina affinis	Fontbotia wuellerstorfi	Epistominella exigua	Pullenia bulloides	Uvigerina auberiana	Nodosaria spp.	Gyroidinoides spp.	Valvulineria laevigata	Nonionella atlantica	Lagena spp.	Chilostomella oolina	Bolivina pseudopunctata	Globocassidulina subglobosa	Eggerella bradyi	Uvigerina peregrina	Bolivina paula	Comment



  IR	                 	                 	                  	              	172	1062	A	  1	H	CC	   8.00	      2.0500	Poli     	Benthic Foraminifers                         	R              	M                 	                  	          	                     	F                     	F          	F                   	                  	                     	                       	                    	C                 	                   	F             	                  	                      	                    	           	                    	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	  2	H	CC	  13.00	     11.6400	Poli     	Benthic Foraminifers                         	T              	M                 	                  	          	                     	                      	+          	+                   	                  	                     	+                      	                    	                  	                   	              	                  	                      	                    	           	                    	                       	                           	                	                   	              	Abundant siliceous stuff

  IR	                 	                 	                  	              	172	1062	A	  3	H	CC	   0.00	     21.3800	Poli     	Benthic Foraminifers                         	R              	M                 	                  	          	+                    	                      	           	                    	                  	                     	+                      	+                   	+                 	                   	+             	                  	                      	                    	           	                    	                       	+                          	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	  4	H	CC	   0.00	     30.8500	Poli     	Benthic Foraminifers                         	F              	M                 	                  	R         	R                    	F                     	R          	F                   	                  	                     	R                      	C                   	                  	                   	              	                  	T                     	                    	           	                    	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	  5	H	CC	  19.00	     40.5200	Poli     	Benthic Foraminifers                         	T              	M                 	                  	          	                     	                      	           	4                   	                  	                     	                       	                    	                  	                   	              	                  	                      	                    	           	                    	                       	                           	                	                   	              	Only 4 benthics

  IR	                 	                 	                  	              	172	1062	A	  6	H	CC	  17.00	     49.9800	Poli     	Benthic Foraminifers                         	F              	M                 	                  	          	R                    	F                     	F          	                    	F                 	                     	                       	                    	F                 	                   	R             	                  	                      	                    	           	                    	                       	                           	                	                   	T             	       

  IR	                 	                 	                  	              	172	1062	A	  7	H	CC	  34.00	     59.6900	Poli     	Benthic Foraminifers                         	R              	M                 	                  	+         	+                    	+                     	           	                    	                  	                     	                       	                    	                  	                   	              	+                 	                      	                    	           	                    	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	  8	H	CC	  25.00	     68.6500	Poli     	Benthic Foraminifers                         	F              	M                 	                  	          	F                    	F                     	           	F                   	T                 	                     	R                      	R                   	                  	                   	              	R                 	                      	                    	F          	T                   	                       	R                          	F               	                   	              	       

