Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus dissimilis,Sphenolithus disbelemnos,Sphenolithus conicus,Sphenolithus compactus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus pelagicus,Sphenolithus moriformis,Reticulofenestra dictyoda,Orthorhabdus serratus,Discoaster deflandrei,Discoaster druggii,Sphenolithus heteromorphus,Discoaster exilis,Triquetrorhabdulus rugosus,Discoaster kugleri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN7               ,NN7           ,199,1218,A,  4,H,CC,  18.00,     37.0300,planks   ,Nannofossils                                 ,F              ,P                 ,                       ,                        ,                    ,                      ,                           ,                          ,                      ,                     ,                       ,                         ,                     ,F                    ,                  ,                          ,A                ,F                         ,F                 ,Chiefly discoasters are preserved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN4               ,NN4           ,199,1218,A,  5,H,CC,  19.00,     46.3500,planks   ,Nannofossils                                 ,C              ,P                 ,                       ,                        ,                    ,                      ,A                          ,                          ,                      ,C                    ,F                      ,                         ,                     ,A                    ,                  ,R                         ,C                ,                          ,                  ,Below top D. deflandrei acme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN1c              ,CN1c          ,199,1218,A,  6,H,CC,   0.00,     55.3200,planks   ,Nannofossils                                 ,C              ,M                 ,R                      ,                        ,                    ,C                     ,A                          ,                          ,F                     ,C                    ,C                      ,R                        ,F                    ,C                    ,F                 ,                          ,                 ,                          ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN1a              ,CN1a          ,199,1218,A,  7,H,CC,  19.00,     65.7000,planks   ,Nannofossils                                 ,C              ,M                 ,R                      ,                        ,F                   ,C                     ,A                          ,A                         ,                      ,F                    ,C                      ,F                        ,R                    ,C                    ,                  ,                          ,                 ,                          ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN1a              ,CN1a          ,199,1218,A,  8,H,CC,  14.00,     74.1300,planks   ,Nannofossils                                 ,C              ,M                 ,F                      ,F                       ,F                   ,R                     ,A                          ,C                         ,R                     ,F                    ,                       ,                         ,                     ,                     ,                  ,                          ,                 ,                          ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
