Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina acostaensis	Globorotalia tumida tumida	Globorotalia limbata	Globorotalia crassaformis	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides ruber s.l.	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinoides conglobatus	Globigerinella siphonifera	Dentoglobigerina altispira globosa	Dentoglobigerina altispira altispira	Candeina nitida	Sphaeroidinellopsis kochi	Globorotaloides hexagona	Globorotalia scitula	Globorotalia margaritae	Globoquadrina conglomerata	Globigerinoides fistulosus	Pulleniatina primalis	Neogloboquadrina humerosa	Globorotalia tosaensis	Globorotalia menardii s.l.	Globigerinoides elongatus	Globigerinita glutinata	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globigerinella calida	Comment



  SR	Pleistocene      	                 	N22               	              	115	 705	A	  1	H	CC	  17.00	      8.3000	Vincent  	Planktonic Foraminifers                      	               	G                 	                              	+                        	+                           	+                	                            	+                         	                    	                         	                         	                       	                            	+                         	+                                 	                                 	                                 	+                          	                          	                                  	                                    	               	                         	                        	+?                  	                       	+                         	                          	                     	                         	+                     	+                         	                         	                       	+                         	+                            	+                    	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N21               	              	115	 705	A	  2	H	 4	  80.00	     13.8000	Vincent  	Planktonic Foraminifers                      	               	G                 	                              	+                        	+                           	+                	                            	                          	                    	+                        	                         	                       	                            	+                         	+                                 	+                                	+                                	+                          	+                         	                                  	                                    	               	                         	                        	+                   	                       	+                         	+?                        	+                    	+                        	+                     	                          	+                        	                       	+                         	                             	                     	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N21               	              	115	 705	A	  2	H	 5	  80.00	     15.3000	Vincent  	Planktonic Foraminifers                      	               	G                 	                              	+                        	+                           	+                	+                           	+                         	+                   	+                        	                         	                       	                            	+                         	+                                 	                                 	+                                	+                          	+                         	                                  	+                                   	               	                         	+                       	+                   	                       	+                         	+                         	                     	+                        	                      	+                         	+                        	+                      	                          	                             	                     	benthic foraminifers rare. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N21               	              	115	 705	A	  2	H	 6	  36.00	     16.3600	Vincent  	Planktonic Foraminifers                      	               	G                 	                              	+                        	+                           	+                	+                           	+?                        	+                   	+                        	                         	+                      	+?                          	+                         	+                                 	+                                	+                                	+                          	+                         	                                  	+                                   	               	+                        	+                       	+                   	                       	+                         	+                         	                     	+                        	+?                    	+                         	+                        	                       	                          	                             	                     	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N19               	              	115	 705	A	  2	H	CC	  11.00	     16.7300	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                        	+                           	+                	+?                          	+                         	+                   	+                        	                         	+                      	+?                          	+                         	+                                 	                                 	+                                	+                          	+                         	                                  	+                                   	+?             	                         	                        	                    	                       	                          	+?                        	+                    	                         	                      	                          	                         	                       	                          	                             	                     	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N19               	              	115	 705	A	  3	H	 1	  80.00	     18.8000	Vincent  	Planktonic Foraminifers                      	               	G                 	                              	+                        	+                           	+                	                            	+                         	+                   	+                        	                         	                       	                            	+                         	+                                 	+                                	                                 	+                          	+                         	+                                 	+                                   	               	+                        	+                       	+                   	+?                     	+                         	+                         	                     	                         	                      	                          	                         	                       	                          	                             	                     	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N19               	              	115	 705	A	  3	H	 2	  57.00	     20.0700	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                        	+                           	+                	                            	+                         	+                   	                         	                         	                       	+                           	+                         	+                                 	+                                	+                                	+                          	+                         	+                                 	+                                   	+?             	+                        	                        	                    	                       	                          	                          	                     	                         	                      	                          	                         	                       	                          	                             	                     	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

  SR	Late Pliocene    	                 	N19               	              	115	 705	A	  3	H	CC	   0.00	     20.2500	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                        	+                           	+                	+                           	+                         	+                   	+                        	+?                       	+?                     	+                           	+                         	+                                 	+                                	+                                	+                          	+                         	+                                 	+                                   	+?             	                         	                        	                    	                       	                          	                          	                     	                         	                      	                          	                         	                       	                          	                             	                     	planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 3. page 801.

