Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira nordenskioeldii	Thalassiosira nidulus	Rhizosolenia hebetata f. hebetata	Proboscia curvirostris	Paralia sulcata	Neodenticula seminae	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Actinocyclus curvatulus	Thalassiosira gravida vegetative	Thalassiosira gravida spore	Rhizosolenia hebetata f. semispina	Coscinodiscus asteromphalus	Thalassiosira decipiens	Pseudoeunotia doliolus	Porosira glacialis	Nitzschia grunowii	Navicula spp.	Bacterosira fragilis	Thalassiosira hyalina	Stephanopyxis turris	Rhizosolenia styliformis	Biddulphia spp.	Thalassiosira anguste-lineata	Nitzschia cylindrica	Comment



  SR	                 	                 	                  	              	152	 919	B	  3	H	 1	  42.00	     90.4200	Koc      	Diatoms                                      	F              	P                 	F                        	                      	R                      	                             	R                    	R                                	R                     	R              	                    	R                       	F                                	F                      	R                               	F                          	R                                 	                           	                       	                      	                  	                  	             	                    	                     	                    	                        	R              	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  3	H	 3	  39.00	     93.3900	Koc      	Diatoms                                      	C              	M                 	C                        	R                     	F                      	                             	R                    	R                                	F                     	               	                    	R                       	C                                	C                      	F                               	C                          	C                                 	R                          	                       	                      	R                 	                  	             	R                   	F                    	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  4	H	 6	  41.00	    107.4100	Koc      	Diatoms                                      	A              	G                 	F                        	F                     	A                      	                             	F                    	R                                	R                     	R              	                    	R                       	A                                	C                      	C                               	C                          	F                                 	R                          	                       	R                     	F                 	R                 	             	                    	R                    	F                   	                        	               	R                            	R                   	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  5	H	 2	  40.00	    110.9000	Koc      	Diatoms                                      	F              	M                 	R                        	R                     	R                      	                             	F                    	F                                	R                     	R              	                    	                        	F                                	F                      	F                               	                           	C                                 	                           	                       	                      	R                 	                  	             	                    	R                    	R                   	                        	R              	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  5	H	 3	  40.00	    112.4000	Koc      	Diatoms                                      	A              	M                 	F                        	F                     	C                      	                             	F                    	                                 	R                     	               	                    	F                       	A                                	F                      	F                               	C                          	F                                 	                           	                       	                      	                  	                  	R            	                    	                     	R                   	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  5	H	 4	  41.00	    113.9100	Koc      	Diatoms                                      	C              	M                 	F                        	                      	C                      	                             	                     	F                                	R                     	R              	                    	F                       	C                                	F                      	F                               	C                          	F                                 	                           	                       	R                     	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

