Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium pileus,Thalassiosira oestrupii,Thalassionema nitzschioides,Coscinodiscus marginatus,Cestodiscus pulchellus,Actinoptychus senarius,Thalassiothrix longissima,Rossiella paleacea,Nitzschia reinholdii,Nitzschia miocenica,Nitzschia marina,Thalassiosira praeconvexa,Hemidiscus cuneiformis,Azpeitia nodulifera,Actinocyclus ellipticus var. javanica,Actinocyclus ellipticus,Thalassiosira yabei,Coscinodiscus lewisianus,Actinocyclus moronensis,Thalassiosira convexa var. aspinosa,Asteromphalus elegans,Thalassiosira tappanae,Thalassiosira miocenica,Actinocyclus ingens,Actinocyclus ellipticus f. lanceolata,Nitzschia praedim*,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B,  1,R,CC,   0.00,    161.0500,White    ,Diatoms                                      ,R              ,P                 ,                  ,                       ,                           ,                        ,                      ,R                     ,                         ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,rR                      ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B,  2,R,CC,   0.00,    170.7600,White    ,Diatoms                                      ,R              ,P                 ,                  ,R                      ,                           ,                        ,rR                    ,R                     ,R                        ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B,  3,R,CC,   6.00,    181.5900,White    ,Diatoms                                      ,R              ,P                 ,                  ,R                      ,                           ,                        ,                      ,R                     ,                         ,                  ,                    ,                   ,                ,                         ,                      ,R                  ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B,  4,R,CC,  12.00,    193.3800,White    ,Diatoms                                      ,R              ,P                 ,                  ,R                      ,                           ,                        ,                      ,R                     ,                         ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
