Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus/rioensis,Sphenolithus spp.,Reticulofenestrid taxa,Reticulofenestra pseudoumbilicus,Discoaster in class,Discoaster brouweri,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster exilis,Discoaster calcaris,Discoaster moorei,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Discoaster hamatus/bellus,Discoaster neohamatus,Minylitha convallis,Discoaster triradiatus,Discoaster loeblichii,Discoaster adamanteus,Discoaster intercalaris,Helicosphaera carteri,Discoaster surculus,Discoaster quinqueramus,Amaurolithus primus,Discoaster asymmetricus,Amaurolithus delicatus,Discoaster pentaradiatus,Amaurolithus tricorniculatus,Triquetrorhabdulus extensus,Discoaster prepentaradiatus,Amaurolithus amplificus,Rhabdosphaera spp.,Reticulofenestra spp.,Ceratolithus acutus,Geminilithella rotula,Ceratolithus rugosus,Coccolithus radiatus,Discoaster tristellifer,Ceratolithus cristatus/telesmus,Syracosphaera spp.,Discoaster pansus,Pontosphaera sp.,Helicosphaera sellii,Discoaster tamalis,Pseudoemiliania lacunosa,Discoaster decorus,Gephyrocapsa spp. small (<4 microns),Umbilicosphaera spp.,Thoracosphaera spp.,Gephyrocapsa oceanica,Helicosphaera wallichii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 848,C,  3,H, 5,  20.00,     21.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,T                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,T                      ,F                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,C                    ,                   ,                     ,                    ,F                   ,                       ,F                              ,F                 ,                 ,F               ,R                   ,                  ,C                       ,                  ,F                                   ,C                   ,                   ,F                    ,R                      ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 848,C,  3,H, 5,  40.00,     21.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,F                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,F                              ,F                 ,                 ,                ,R                   ,                  ,A                       ,                  ,R                                   ,F                   ,                   ,C                    ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 5,  50.00,     21.5000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,F                              ,R                 ,                 ,                ,                    ,                  ,A                       ,                  ,F                                   ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 5,  60.00,     21.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,R                              ,R                 ,                 ,                ,C                   ,                  ,A                       ,                  ,F                                   ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
