Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Cretarhabdus surirellus,Watznaueria britannica,Diazomatolithus lehmanii,Cyclagelosphaera margerelii,Cyclagelosphaera deflandrei,Cretarhabdus sp.,Watznaueria supracretacea,Rucinolithus terebrodentarius,Rucinolithus irregularis,Manivitella pemmatoidea,Cruciellipsis chiastia,Assipetra infracretacea,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Prediscosphaera sp.,Parhabdolithus embergeri,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus (small taxa),Discorhabdus rotatorius,Cribrosphaerella ehrenbergii,Cretarhabdus spp.,Chiastozygus litterarius,Biscutum constans,Tegumentum stradneri,Parhabdolithus pseudoangustus,Markalius circumradiatus,Lithastrinus antiquus,Eiffellithus sp. small,Lithastrinus sp.,Reinhardtites fenestratus,Parhabdolithus splendens,Corollithion achylosum,Cretarhabdus conicus,Conusphaera mexicana,Nannoconus sp.,Zygodiscus (small taxa),Stephanolithion laffittei,Nannoconus truitti,Cretarhabdus striatus,Braarudosphaera africana,Braarudosphaera regularis,Cretarhabdus angustiforatus,Lithraphidites alatus,Tranolithus gabalus,Prediscosphaera stoveri,Prediscosphaera columnata,Tranolithus orionatus,Biscutum blackii,Prediscosphaera cretacea,Lithraphidites pseudoquadratus,Eiffellithus eximius,Pervilithus varius,Axopodorhabdus albianus,Quadrum gartneri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  6,R, 1,   3.00,     39.6300,Covington,Nannofossils                                 ,R              ,P                 ,R                   ,                       ,                      ,                        ,                           ,                           ,                ,                         ,                             ,                        ,                       ,                      ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                           ,                     ,                    ,                           ,                         ,                       ,                            ,                 ,                        ,                 ,                    ,                             ,                        ,                     ,                      ,                ,                         ,                        ,                      ,                    ,                    ,              ,                       ,                         ,                  ,                     ,                        ,                         ,                           ,                     ,                   ,                       ,                         ,                     ,                ,                        ,                              ,                    ,                  ,                       ,                ,from ODP Leg 129 SR Chapter 8 Table 2 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A, 10,R, 1,  54.00,     78.7400,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                       ,                      ,                        ,                           ,                           ,                ,                         ,                             ,                        ,                       ,                      ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                           ,                     ,                    ,                           ,                         ,                       ,                            ,                 ,                        ,                 ,                    ,                             ,                        ,                     ,                      ,                ,                         ,                        ,                      ,                    ,                    ,R             ,                       ,                         ,                  ,                     ,                        ,                         ,                           ,                     ,                   ,                       ,                         ,                     ,                ,                        ,                              ,                    ,                  ,                       ,                ,from ODP Leg 129 SR Chapter 8 Table 2 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 800,A, 11,R, 1,  11.00,     87.9100,Covington,Nannofossils                                 ,F              ,M                 ,C                   ,                       ,                      ,                        ,                           ,                           ,                ,                         ,R                            ,                        ,F                      ,R                     ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,R                      ,                             ,               ,                           ,R                    ,                    ,R                          ,                         ,                       ,                            ,                 ,                        ,                 ,                    ,                             ,                        ,                     ,R                     ,                ,                         ,                        ,                      ,                    ,                    ,              ,                       ,                         ,                  ,                     ,                        ,                         ,R                          ,                     ,                   ,                       ,R                        ,                     ,                ,                        ,                              ,                    ,                  ,                       ,?               ,from ODP Leg 129 SR Chapter 8 Table 2 backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 800,A, 11,R, 1,  30.00,     88.1000,Covington,Nannofossils                                 ,               ,                  ,40.0%               ,                       ,                      ,                        ,.5%                        ,                           ,                ,                         ,.0%                          ,.0%                     ,1.5%                   ,.5%                   ,                       ,.7%                ,11.0%             ,.3%               ,1.5%                   ,.0%                  ,1.0%            ,1.0%               ,.0%                     ,1.0%                ,.5%                    ,2.0%                         ,.0%            ,.5%                        ,.3%                  ,.0%                 ,3.5%                       ,5.0%                     ,2.5%                   ,.0%                         ,6.0%             ,.0%                     ,14.0%            ,                    ,                             ,                        ,                     ,                      ,                ,                         ,                        ,                      ,                    ,                    ,              ,                       ,                         ,                  ,                     ,                        ,                         ,                           ,                     ,                   ,                       ,                         ,                     ,                ,                        ,                              ,                    ,                  ,                       ,                ,from ODP Leg 129 SR Chapter 9 Table 2 p 192
