Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia praescitula,Globoquadrina venezuelana,Catapsydrax parvulus,Globoquadrina cf. G. venezuelana,Globigerina spp.,Globigerina bulloides,Globigerina woodi,Neogloboquadrina spp.,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globigerinella obesa,Globigerina cf. G. bulloides,Globigerina falconensis,Globigerinita uvula,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina himiensis,Neogloboquadrina asanoi,Turborotalita humilis,Tenuitella parkerae,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Globigerinita minuta,Globigerinita glutinata,Globigerina umbilicata,Globigerina quinqueloba,Globigerina clarkei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 1,  76.00,      0.7600,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 1, 134.00,      1.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,24                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,69                                ,7                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 2,  13.00,      1.6300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,1                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,2                  ,                                       ,                          ,                       ,0                    ,1                  ,91                                ,3                                 ,0                   ,1                      ,0                     ,1                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 2,  44.00,      1.9400,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
