Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Miliammina echigoensis,Dentalina frobisherensis,Planularia asanoi,Dentalina setanaensis,Pandaglandulina sp. A,Lagena gracilis,Lagena distoma,Pyrgo spp.,Lagena laevis,Nodosariidae (taxa),Lagena pliocenica,Pyrgo depressa,Lagena nebulosa,Lagena elongata,Parafrondicularia sp. A,Frondicularia sp. A,Dentalina spp.,Nodosaria sp. A ,Lagena amphora,Pyrgo murrhina,Karreriella baccata japonica,Triloculina tricarinata,Miliolid spp.,Dentalina ittai ,Dentalina communis,Silicosigmoilina abyssalica,Lagena sesquistriata,Amphicoryina sp. A,Triloculina spp.,Quinqueloculina sp. B,Lagena gracillima,Sigmoilopsis schlumbergeri,Quinqueloculina sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 2,  33.00,      1.8300,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 3,  34.00,      3.3400,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,T                      ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 4,  33.00,      4.8300,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,T         ,T            ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,              ,              ,T                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,2                    ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 5,  34.00,      6.3400,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
