Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Indeterminate spp.,Globigerina spp.,Globigerina linaperta,Acarinina soldadoensis,Pseudohastigerina wilcoxensis,Morozovella aragonensis,Acarinina primitiva,Acarinina pentacamerata,Acarinina broedermanni,Truncorotaloides rohri,Globigerina eocaena,Acarinina bullbrooki,Globigerinatheka senni,Turborotalia possagnoensis,Globigerina cryptomphala,Acarinina quetra,Catapsydrax dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,173,1067,A,  1,R, 1,  88.00,    648.8800,Urquhart ,Planktonic Foraminifers                      ,               ,                  ,                  ,                ,                     ,                      ,                             ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,R0                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,173,1067,A,  1,R, 2, 122.00,    650.7200,Urquhart ,Planktonic Foraminifers                      ,               ,                  ,                  ,                ,                     ,                      ,                             ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  1,R,CC,  21.00,    653.5300,Urquhart ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                ,R                    ,                      ,                             ,                       ,                   ,R                      ,                      ,                      ,R                  ,R                   ,                      ,                          ,R                       ,R               ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  2,R,CC,  13.00,    661.3900,Urquhart ,Planktonic Foraminifers                      ,F              ,P                 ,                  ,R               ,R                    ,                      ,                             ,                       ,R                  ,R                      ,                      ,R                     ,                   ,R                   ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  3,R,CC,  23.00,    672.5700,Urquhart ,Planktonic Foraminifers                      ,F              ,P                 ,                  ,                ,                     ,                      ,R                            ,                       ,                   ,R                      ,                      ,R                     ,                   ,R                   ,R                     ,R                         ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  4,R,CC,  18.00,    681.3700,Urquhart ,Planktonic Foraminifers                      ,F              ,P                 ,                  ,R               ,R                    ,                      ,R                            ,                       ,                   ,                       ,                      ,R                     ,                   ,                    ,R                     ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
