leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
41,369,A,LOWER PLIOCENE,MIDDLE MIOCENE,42.0,61.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4,   16,  9.7,DSDP INITIAL REPORTS
41,369,A,MIDDLE MIOCENE,,61.0,108.5,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
41,369,A,LOWER MIOCENE,,108.5,165.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
41,369,A,OLIGOCENE,,165.5,345.5,,NO AGE GIVEN,,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
41,369,A,UPPER EOCENE,,345.5,350.5,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
41,369,A,MIDDLE EOCENE,,350.5,372.2,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
41,369,A,MAESTRICHTIAN,,372.2,384.0,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
41,369,A,LOWER MAESTRICHTIAN ,UPPER CAMPANIAN,384.0,403.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   74,70.75,DSDP INITIAL REPORTS
41,369,A,CAMPANIAN,,403.0,412.5,,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
41,369,A,SANTONIAN,CONIACIAN,412.5,422.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   78,   86,   82,DSDP INITIAL REPORTS
41,369,A,ALBIAN,,422.0,450.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
41,369,A,LOWER ALBIAN,UPPER APTIAN,450.5,460.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  112,  109,DSDP INITIAL REPORTS
41,369,A,UPPER APTIAN,,460.0,488.5,,NO AGE GIVEN,,NO AGE GIVEN,  108,  112,  110,DSDP INITIAL REPORTS
