Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira oestrupii,Stephanopyxis spp.,Stephanopyxis dimorpha,Rouxia californica,Rhizosolenia styliformis,Pyxidicula zabelinae,Proboscia curvirostris,Neodenticula seminae,Thalassiosira jouseae,Aulacoseira spp.,Actinoptychus senarius,Delphineis surirella,Delphineis angustata,Proboscia barboi,Coscinodiscus marginatus,Coscinodiscus radiatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  1,H, 1, 142.00,      1.4200,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,R                 ,F                     ,+                 ,+                       ,                    ,                      ,F                   ,                     ,                ,                      ,R                   ,R                   ,                ,R                       ,T                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  2,H,CC,   4.00,      4.8000,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,R                 ,F                     ,+                 ,+                       ,                    ,                      ,F                   ,                     ,                ,                      ,R                   ,                    ,                ,R                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  3,H,CC,  12.00,      7.1800,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,R                 ,F                     ,+                 ,+                       ,                    ,                      ,F                   ,                     ,                ,R                     ,F                   ,R                   ,                ,F                       ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  4,H,CC,  14.00,     18.8200,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,F                 ,C                     ,+                 ,+                       ,                    ,T                     ,F                   ,                     ,                ,                      ,                    ,                    ,T               ,R                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  5,H,CC,  12.00,     29.7400,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,F                 ,C                     ,+                 ,+                       ,                    ,R                     ,R                   ,                     ,                ,                      ,                    ,                    ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  7,H,CC,  14.00,     40.6400,Watanabe ,Diatoms                                      ,F              ,P                 ,                       ,R                 ,F                     ,+                 ,+                       ,                    ,T                     ,R                   ,                     ,R               ,                      ,                    ,                    ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  8,H,CC,  20.00,     50.6600,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,F                 ,C                     ,+                 ,+                       ,                    ,R                     ,F                   ,                     ,                ,                      ,F                   ,R                   ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C,  9,H,CC,  50.00,     59.9700,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,F                 ,C                     ,+                 ,+                       ,                    ,R                     ,R                   ,                     ,                ,F                     ,                    ,                    ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C, 11,H,CC,  18.00,     73.6900,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,F                 ,C                     ,+                 ,+                       ,                    ,R                     ,F                   ,                     ,                ,                      ,                    ,                    ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C, 12,H,CC,  36.00,     80.7900,Watanabe ,Diatoms                                      ,C              ,M                 ,                       ,F                 ,C                     ,+                 ,+                       ,                    ,R                     ,R                   ,T                    ,R               ,                      ,                    ,                    ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1249,C, 13,H,CC,  35.00,     90.1100,Watanabe ,Diatoms                                      ,F              ,P                 ,T                      ,R                 ,F                     ,+                 ,T                       ,+                   ,R                     ,R                   ,                     ,                ,                      ,                    ,                    ,                ,                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
