Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zelkova taxa	Ulmus taxa	Tsuga taxa	Tilia taxa	Taxodiaceae taxa	Rhus taxa	Quercus (evergreen) taxa	Quercus (deciduous)  taxa	Pterocarya taxa	Pinus taxa	Picea taxa	Pasania  taxa	Myrica taxa	Metasequoia  taxa	Larix taxa	Fagus taxa	Ericaceae taxa	Engelhardia taxa	Carya taxa	Carpinus taxa	Betula taxa	Alnus taxa	Abies taxa	Liquidambar taxa	Eurya taxa	Ephedra taxa	Chenopodiaceae taxa	Castanea taxa	Carduoideae  taxa	Artemisia taxa	Juglans taxa	Cyperaceae taxa	Corylus taxa	Aesculus  taxa	Acer taxa	Nyssa  taxa	Gramineae taxa	Sciadopitys taxa	Persicaria taxa	Trapa taxa	Ilex taxa	Patrinia taxa	Cupressaceae taxa	Cichorioideae taxa	Weigela taxa	Comment



  SR	                 	                 	                  	              	127	 796	B	 10	R	 1	  68.00	    243.6800	Yamanoi  	Pollen/Spores                                	               	                  	5.0%        	1.0%      	12        	1.5%      	22.5%           	         	4.0%                    	2.0%                     	3.0%           	9         	59        	             	           	4.5%             	1.0%      	19.5%     	              	                	.5%       	6.5%         	2.0%       	13.5%     	          	                	          	1.0%        	1.0%               	.5%          	                 	7.5%          	            	               	1.5%        	.5%           	         	           	.5%           	                	.5%            	          	         	             	                 	                  	.5%         	in assemblage of 100 grains others indicated-20 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 796	B	 11	R	 1	 108.00	    253.7800	Yamanoi  	Pollen/Spores                                	               	                  	1.5%        	.5%       	15        	1.5%      	38.5%           	         	1.5%                    	4.5%                     	4.5%           	8         	59        	             	           	2.0%             	          	16.5%     	1.0%          	.5%             	.5%       	5.5%         	1.5%       	10.5%     	1         	                	          	.5%         	.5%                	.5%          	                 	4.0%          	            	               	1.5%        	              	.5%      	.5%        	1.0%          	                	.5%            	          	         	             	                 	                  	            	in assemblage of 100 grains others indicated-17 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 796	B	 12	R	 2	  95.00	    264.7500	Yamanoi  	Pollen/Spores                                	               	                  	            	2.5%      	10        	1.5%      	32.5%           	         	.5%                     	3.0%                     	1.5%           	27        	47        	             	           	2.0%             	3.0%      	16.0%     	              	1.0%            	3.0%      	4.0%         	3.5%       	11.0%     	          	2.5%            	          	            	1.0%               	             	1.5%             	6.0%          	            	.5%            	2.5%        	              	         	           	              	.5%             	               	          	         	             	                 	                  	.5%         	in assemblage of 100 grains others indicated-16 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 796	B	 14	R	 1	  53.00	    282.1300	Yamanoi  	Pollen/Spores                                	               	                  	2.0%        	2.0%      	11        	2.5%      	32.0%           	         	3.5%                    	4.5%                     	5.5%           	23        	52        	1.0%         	           	5.5%             	2.0%      	7.0%      	              	1.0%            	5.0%      	4.0%         	2.5%       	6.5%      	          	.5%             	          	            	1.5%               	             	                 	4.0%          	            	               	1.5%        	              	         	1.0%       	              	2.0%            	               	.5%       	         	             	1.0%             	1.5%              	            	in assemblage of 100 grains others indicated-14 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
