Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tuberculodinium vancampoae,Tectatodinium pellitum,Sumatradinium hispidum,Spiniferites ramosus,Spiniferites pachyderma,Spiniferites hyperacanthus,Spiniferites bulloideus,Selenopemphix nephroides,Quinquecuspis concreta,Polysphaeridium zoharyi,Operculodinium longispinigerum,Operculodinium janduchenei,Operculodinium israelianum,Operculodinium echigoense,Operculodinium centrocarpum,Nematosphaeropsis lemniscata,Multispinula quanta,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Impagidinium strialatum,Impagidinium sphaericum,Impagidinium sp. cf. I. paradoxum,Impagidinium patulum,Impagidinium paradoxum,Impagidinium aculeatum,Hystrichokolpoma rigaudiae,Dapsilidinium pastielsii,Cyst type A,Blysmatodinium argoi,Batiacasphaera spp.,Achomosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 823,A,  1,H, 4,  65.00,      5.1500,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,2.0%                      ,.0%                   ,.0%                   ,.0%                 ,.0%                    ,.0%                       ,2.7%                   ,.0%                     ,.0%                   ,.0%                    ,.0%                           ,.0%                       ,.0%                       ,.0%                      ,.0%                        ,.0%                         ,.0%                ,.0%                           ,.0%                         ,6.7%                   ,3.4%                   ,.7%                              ,20.1%               ,10.7%                 ,53.0%                 ,.0%                       ,.0%                     ,.0%        ,.0%                 ,.0%                ,.0%              ,Total count = 149; from ODP 133 SR Chapter 8 Table 2 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 823,A,  3,H, 4,  64.00,     20.4400,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,6.3%                      ,.0%                   ,.0%                   ,.0%                 ,.0%                    ,9.4%                      ,34.4%                  ,.0%                     ,.0%                   ,.0%                    ,3.1%                          ,.0%                       ,6.3%                      ,3.1%                     ,3.1%                       ,.0%                         ,.0%                ,.0%                           ,6.3%                        ,.0%                    ,.0%                    ,.0%                              ,12.5%               ,6.3%                  ,9.4%                  ,.0%                       ,.0%                     ,.0%        ,.0%                 ,.0%                ,.0%              ,Total count = 32 ; from ODP 133 SR Chapter 8 Table 2 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 823,A,  5,H, 4,  65.00,     39.4500,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,2.1%                      ,.0%                   ,.0%                   ,.0%                 ,.0%                    ,.0%                       ,2.1%                   ,.0%                     ,.0%                   ,.0%                    ,.0%                           ,.0%                       ,.0%                       ,.0%                      ,2.1%                       ,.0%                         ,.0%                ,.0%                           ,.0%                         ,16.7%                  ,2.1%                   ,.0%                              ,16.7%               ,12.5%                 ,45.8%                 ,.0%                       ,.0%                     ,.0%        ,.0%                 ,.0%                ,.0%              ,Total count = 48 ; from ODP 133 SR Chapter 8 Table 2 p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 823,A,  7,H, 4,  75.00,     58.5500,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,.0%                       ,.0%                   ,.0%                   ,.0%                 ,.0%                    ,4.6%                      ,4.6%                   ,.0%                     ,.0%                   ,.0%                    ,.0%                           ,.0%                       ,.0%                       ,4.6%                     ,.0%                        ,.0%                         ,.0%                ,.0%                           ,.0%                         ,9.1%                   ,.0%                    ,.0%                              ,9.1%                ,40.9%                 ,18.2%                 ,.0%                       ,.0%                     ,.0%        ,.0%                 ,.0%                ,.0%              ,Total count = 22 ; from ODP 133 SR Chapter 8 Table 2 p 100
