Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Porodiscus spp.	Eucyrtidium sp.	Euchitonia furcata	Didymocyrtis tetrathalamus	Dictyophimus glacilipes	Amphirhopalum ypsilon	Nephrospyris pervia (trellis-type)	Larnacantha polyacantha	Spongodiscus spp.	Saccospyris sp.	Lithomitra arachnea	Stylochlamidium  venustum	Nephrospyris pervia (perforate type)	Cycladophora davisiana davisiana	Cycladophora davisiana cornutoides	Tetrapyle octacantha	Dictyophimus bicornis	Spongaster tetras tetras	Hymeniastrum euclidis	Spongaster tetras irregularis	Comment



  SR	                 	                 	                  	              	128	 798	A	  1	H	 1	  30.00	      0.3000	Ling     	Radiolarians                                 	A              	G                 	               	               	                  	                          	                       	                     	A                                 	                       	                 	               	                   	A                        	R                                   	A                               	                                  	                    	                     	                        	                     	                             	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

  SR	                 	                 	                  	              	128	 798	A	  1	H	 3	  29.00	      3.2900	Ling     	Radiolarians                                 	R              	M                 	               	               	                  	                          	                       	                     	                                  	                       	                 	               	                   	R                        	                                    	R                               	                                  	                    	                     	                        	                     	                             	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

  SR	                 	                 	                  	              	128	 798	A	  1	H	 5	  30.00	      6.3000	Ling     	Radiolarians                                 	C              	G                 	               	               	                  	                          	                       	                     	R                                 	                       	                 	               	                   	                         	                                    	                                	                                  	F                   	                     	                        	R                    	                             	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

  SR	                 	                 	                  	              	128	 798	A	  1	H	CC	  33.00	      9.2100	Ling     	Radiolarians                                 	R              	M                 	               	               	                  	                          	                       	                     	                                  	                       	                 	               	                   	R                        	                                    	R                               	                                  	                    	                     	                        	                     	                             	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

  SR	                 	                 	                  	              	128	 798	A	  2	H	 1	  29.00	      9.5900	Ling     	Radiolarians                                 	A              	G                 	               	               	R                 	                          	                       	                     	R                                 	                       	                 	               	                   	R                        	                                    	                                	                                  	F                   	                     	                        	R                    	R                            	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

  SR	                 	                 	                  	              	128	 798	A	  2	H	 3	  31.00	     12.6100	Ling     	Radiolarians                                 	A              	G                 	               	               	                  	                          	                       	                     	A                                 	R                      	                 	               	                   	F                        	                                    	                                	                                  	                    	                     	                        	                     	                             	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

  SR	                 	                 	                  	              	128	 798	A	  2	H	CC	  21.00	     14.3100	Ling     	Radiolarians                                 	R              	M                 	               	               	                  	                          	                       	                     	R                                 	                       	                 	               	                   	R                        	                                    	                                	                                  	                    	                     	                        	                     	                             	from ODP Legs 127&128 SR Chapter 13 Table 1 p 227

