Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria simulacrum	Thalassiothrix longissima	Thalassionema nitzschioides	Pyxilla reticulata	Hemiaulus sp.	Diploneis sp.	Denticulopsis sp.	Coscinodiscus marginatus	Actinocyclus ingens	Rhaphoneis amphiceros	Coscinodiscus radiatus	Paralia sulcata	Grammatophora sp.	Stephanopyxis turris turris	Xanthiopyxis ovalis	Nitzschia denticuloides	Melosira architecturalis	Cavitatus jouseanus	Actinoptychus senarius	Actinocyclus ellipticus	Craspedodiscus sp.	Thalassionema nitzschioides  var. parva	Hemiaulus subacutus	Denticulopsis praedimorpha	Denticulopsis hustedtii	Actinocyclus ingens  var. nodus	Simonseniella barboi	Hyalodiscus sp.	Denticulopsis dimorpha	Hemidiscus cuneiformis	Triceratium kanayae	Rocella gelida	Nitzschia marina	Hemidiscus ovalis	Azpeitia tabularis	Thalassiosira leptopus	Nitzschia reinholdii	Nitzschia miocenica	Azpeitia nodulifera	Asterolampra marylandica	Actinocyclus ehrenbergii	Thalassiosira eccentrica	Nitzschia fossilis	Nitzschia cylindrica	Hemidiscus triangularus	Hemidiscus karstenii f.1	Stephanopyxis grossecellulata	Coscinodiscus rhombicus	Triceratium barbadense	Riedelia pacifica	Hemiaulus incurvus	Thalassiosira miocenica	Thalassiosira lentiginosa	Asterolampra insignis	Actinocyclus karstenii	Trinacria excavata	Thalassiosira inura	Stephanogonia sp.	Skeletonemopsis barbabadensis	Rocella vigilans	Rocella praenitida	Thalassiosira insigna	Thalassiosira convexa var. aspinosa	Thalassiosira convexa	Thalassiosira lineata	Nitzschia weaveri	Nitzschia panduriformis	Hemidiscus karstenii	Cyclotella striata	Triceratium favus	Stephanopyxis hyalomarginata	Rhizosolenia bergonii	Pseudoeunotia doliolus	Thalassionema bacillaris	Nitzschia barronii	Actinocyclus curvatulus	Rhaphoneis surirelloides	Nitzschia kerguelenis	Eunotia sp.	Thalassiosira oestrupii	Nitzschia ritscherii	Roperia tesselata	Eucampia antarctica	Comment



  IR	                 	                 	                  	              	181	1123	B	  1	H	CC	   0.00	      3.2100	diatoms  	Diatoms                                      	               	                  	                    	R                        	                           	                  	             	             	                 	                        	                   	                     	R                     	F              	                 	                           	C                  	                       	                        	                   	R                     	                       	                  	                                       	                   	                          	                       	                               	                    	               	                      	R                     	                   	              	F               	                 	R                 	R                     	                    	                   	                   	                        	                        	R                       	                  	                    	                       	                        	                             	                       	                      	                 	                  	                       	                         	                     	                      	                  	                   	                 	                             	                	                  	                     	                                   	                     	T                    	                 	                       	                    	                  	                 	                            	T                    	F                     	F                       	                  	                       	R                       	F                    	           	                       	                    	                 	T                  	       

  IR	                 	                 	                  	              	181	1123	B	  2	H	CC	  11.00	     12.7500	diatoms  	Diatoms                                      	               	                  	                    	R                        	R                          	                  	             	R            	                 	                        	                   	                     	R                     	F              	                 	R                          	R                  	                       	                        	                   	R                     	                       	                  	                                       	                   	                          	                       	                               	                    	               	                      	R                     	                   	              	F               	                 	                  	R                     	                    	                   	F                  	                        	                        	R                       	R                 	                    	                       	                        	                             	                       	                      	                 	                  	                       	                         	                     	                      	                  	                   	                 	                             	                	                  	                     	                                   	                     	T                    	                 	                       	R                   	                  	                 	                            	                     	R                     	                        	                  	                       	T                       	F                    	           	F                      	R                   	R                	T                  	       

  IR	                 	                 	                  	              	181	1123	B	  3	H	CC	  11.00	     22.6400	diatoms  	Diatoms                                      	               	                  	                    	R                        	R                          	                  	             	T            	                 	                        	                   	                     	                      	               	                 	                           	                   	                       	                        	                   	                      	                       	                  	                                       	                   	                          	                       	                               	                    	T              	                      	                      	                   	              	                	                 	                  	                      	R                   	                   	                   	                        	                        	R                       	R                 	                    	                       	                        	                             	                       	                      	                 	                  	                       	                         	                     	                      	                  	                   	                 	                             	                	                  	                     	                                   	                     	                     	                 	                       	                    	                  	                 	                            	                     	T                     	                        	                  	                       	                        	F                    	           	T                      	R                   	                 	                   	       

  IR	                 	                 	                  	              	181	1123	B	  4	H	CC	  10.00	     32.1000	diatoms  	Diatoms                                      	               	                  	                    	F                        	F                          	                  	             	             	                 	                        	T                  	                     	R                     	               	                 	T                          	                   	                       	                        	                   	                      	                       	                  	                                       	                   	                          	                       	                               	                    	               	                      	R                     	                   	              	F               	                 	R                 	R                     	F                   	                   	F                  	                        	                        	                        	T                 	                    	                       	                        	                             	                       	                      	                 	                  	                       	                         	                     	                      	                  	                   	                 	                             	                	                  	                     	                                   	                     	T                    	                 	                       	                    	                  	                 	                            	                     	T                     	                        	R                 	                       	                        	R                    	R          	                       	                    	                 	                   	       
