Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera spp.,Sphenolithus neoabies,Pseudoemiliania lacunosa,Oolithotus fragilis,Helicosphaera kamptneri,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania ovata,Cyclolithus annulus,Calcidiscus leptoporus,Thoracosphaera spp.,Thoracosphaera saxea,Thoracosphaera heimii,Syracosphaera spp.,Scyphosphaera sp. (fragment),Scyphosphaera galeana,Scapholithus fossilis,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pontosphaera spp.,Holodiscolithus spp.,Helicosphaera pavimentum,Helicosphaera hyalina,Hayaster perplexus,Coccolithus pataecus,Ceratolithus rugosus,Scyphosphaera spp.,Pontosphaera japonica,Helicosphaera sellii,Discoaster surculus,Ceratolithus cristatus,Discoaster brouweri,Scyphosphaera canescens,Helicosphaera inversa,Ceratolithus telesmus,Pontosphaera indooceanica,Discoaster spp. (6 rays),Emiliania huxleyi,Coccolithus pelagicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,CN15              ,              ,135, 836,A,  1,H, 1,  66.00,      0.6600,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,                     ,                        ,F                  ,L                      ,V                        ,A                    ,F                        ,               ,S                  ,A                     ,                   ,L                   ,F                    ,W                 ,S                           ,                     ,L                    ,W                      ,C                      ,F                ,                    ,                        ,M                    ,F                 ,                    ,                    ,                  ,F                    ,                    ,                   ,F                     ,                   ,R                      ,                     ,F                    ,S                        ,                        ,X                ,R                    ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 836,A,  2,H, 6,  30.00,      9.0000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,                     ,                        ,C                  ,A                      ,X                        ,X                    ,M                        ,               ,S                  ,C                     ,                   ,M                   ,C                    ,V                 ,S                           ,                     ,C                    ,A                      ,M                      ,M                ,                    ,S                       ,F                    ,A                 ,                    ,                    ,                  ,                     ,                    ,                   ,R                     ,                   ,                       ,                     ,                     ,R                        ,R                       ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 836,A,  2,H, 6, 120.00,      9.9000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,                     ,                        ,M                  ,L                      ,X                        ,X                    ,L                        ,               ,F                  ,L                     ,M                  ,M                   ,R                    ,A                 ,R                           ,                     ,M                    ,L                      ,F                      ,F                ,                    ,R                       ,F                    ,F                 ,R                   ,                    ,                  ,                     ,                    ,                   ,S                     ,                   ,                       ,F                    ,R                    ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 836,A,  2,H,CC,  22.00,     10.8800,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,                     ,R                       ,L                  ,C                      ,X                        ,X                    ,M                        ,               ,F                  ,A                     ,L                  ,F                   ,                     ,V                 ,S                           ,                     ,C                    ,A                      ,F                      ,C                ,R                   ,R                       ,S                    ,L                 ,R                   ,                    ,                  ,                     ,                    ,                   ,R                     ,                   ,R                      ,F                    ,                     ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
