Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Hedbergella delrioensis	Planomalina buxtorfi	Hedbergella simplex	Hedbergella costellata	Globigerinelloides bentonensis	Thalmanninella reicheli	Praeglobotruncana spp.	Thalmanninella brotzeni	Rotalipora montsalvensis thomei	Praeglobotruncana stephani	Hedbergella spp.	Whiteinella archaeocretacea	Whiteinella aprica	Praeglobotruncana oraviensis oraviensis	Dicarinella imbricata	Dicarinella hagni	Praeglobotruncana gibba	Marginotruncana marianosi	Marginotruncana pseudolinneiana	Marginotruncana coronata	Hedbergella hoelzli	Hedbergella aubertae	Falsotruncana maslakovae	Marginotruncana renzi	Marginotruncana tarfayaensis	Marginotruncana augusticarinata	Heterohelix globulosa	Globigerinelloides asper	Praeglobotruncana semsalensis	Heterohelix spp.	Marginotruncana sinuosa	Heterohelix sphenoides	Globotruncana ventricosa	Schackoina spp.	Rosita fornicata	Hedbergella flandrini	Globotruncanita elevata	Globotruncana cf. ventricosa	Marginotruncana marginata	Dicarinella concavata	Pseudotextularia nuttalli	Globotruncana mariei	Globotruncana linneiana	Globotruncana arca	Contusotruncana fornicata	Dicarinella asymetrica	Laeviheterohelix turgida	Laeviheterohelix pulchra	Marginotruncana undulata	Rugoglobigerina pilula	Globotruncana sp. cf. G. arca	Globotruncanella minuta	Globigerinelloides spp.	Globotruncana sp. cf. G. rosetta	Contusotruncana fornicata manaurensis	Globotruncana bulloides	Rugoglobigerina rugosa	Globotruncanita stuartiformis	Schackoina multispinata	Heterohelix rajagopalani	Globotruncana rosetta	Rugoglobigerina milamensis	Globotruncana cf. falsostuarti	Rugotruncana subcircumnodifer	Planoglobulina riograndensis	Gublerina acuta	Globotruncanella havanensis	Pseudotextularia elegans	Gublerina cuvillieri	Globotruncana falsostuarti	Abathomphalus mayaroensis	Rugoglobigerina spp.	Pseudotextularia intermedia	Racemiguembelina fructicosa	Globotruncanita spp.	Globotruncana spp.	Contusotruncana walfischensis	Globotruncana dupeublei	Planoglobulina acervulinoides	Globotruncanita stuarti	Globotruncanita angulata	Contusotruncana contusa	Racemiguembelina cf. fructicosa	Planoglobulina multicamerata	Comment



  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 43	X	 1	  35.00	    554.8500	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	A               	                       	                      	                        	               	                	                     	                       	+                           	                         	                     	                         	                    	                       	R                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	R                       	                     	                          	                              	                             	                            	               	                           	C                       	+                   	                          	R                        	C                   	                           	                           	                    	                  	                             	                       	+                            	+                      	                        	C                      	R                              	+                           	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 43	X	 1	 144.00	    555.9400	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	C                           	                         	                     	                         	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	C                       	+                   	                          	C                        	C                   	                           	R                          	                    	                  	                             	                       	R                            	+                      	+                       	C                      	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 44	X	 1	  60.00	    564.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	+                         	+                        	C                   	                           	                           	                    	                  	                             	+                      	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 44	X	 4	  60.00	    569.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	+                       	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	+                        	C                   	                           	+                          	+                   	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket
