Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sulcoperculina vermunti,Sulcoperculina sp.,Sulcoperculina obesa,Sulcoperculina globosa,Sulcoperculina dickersoni,Rotaliid taxa,Pseudocyclammina sp.,Nubecularia sp.,Foraminifers (planispiral taxa),Discorbid taxa,Asterorbis rooki,Marssonella sp.,Foraminifers (encrusting),Planorbulina sp.,Nonionid taxa,Textulariid taxa,Idalina antiqua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 1,   7.00,      0.0700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                      ,A                 ,                    ,C                     ,F                        ,             ,                    ,               ,                               ,              ,C               ,               ,                         ,                ,             ,                ,?              ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 1,  27.00,      0.2700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                      ,C                 ,C                   ,C                     ,C                        ,R            ,                    ,C              ,                               ,              ,C               ,               ,R                        ,                ,             ,VR              ,               ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 1,  30.00,      0.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                      ,C                 ,C                   ,C                     ,C                        ,             ,F                   ,F              ,                               ,              ,C               ,               ,                         ,1               ,R            ,                ,               ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 1,  47.00,      0.4700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                       ,C                 ,                    ,A                     ,F                        ,             ,                    ,?              ,                               ,              ,1               ,               ,F                        ,                ,             ,                ,               ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 1,  88.00,      0.8800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                      ,C                 ,C                   ,C                     ,C                        ,R            ,                    ,R              ,                               ,              ,C               ,               ,F                        ,                ,             ,                ,               ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 1, 115.00,      1.1500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                      ,A                 ,A                   ,A                     ,C                        ,1            ,                    ,               ,                               ,              ,A               ,1              ,F                        ,                ,             ,                ,               ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 874,A,  1,R, 2,  16.00,      1.6600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                      ,A                 ,C                   ,C                     ,C                        ,F            ,3                   ,F              ,VR                             ,R             ,VA              ,               ,                         ,                ,             ,                ,               ,from ODP Leg 144 SR; Ch 9; Table 3; p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
