Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Laeviheterohelix turgida,Whiteinellid taxa,Rotalipora sp.,Praeglobotruncana stephani,Marginotruncanid taxa,Hedbergella planispira,Dicarinellid taxa,Globigerinelloides ultramicrus,Globigerinelloides bentonensis,Favusella washitensis,Whiteinella paradubia,Whiteinella baltica,Whiteinella archaeocretacea,Whiteinella aprica,Heterohelix reussi,Heterohelix moremani,Helvetoglobotruncana helvetica,Globigerinelloides bollii,Marginotruncana sigali,Marginotruncana schneegansi,Marginotruncana renzi,Hedbergella flandrini,Dicarinella primitiva,Dicarinella imbricata,Dicarinella hagni,Dicarinella concavata,Whiteinella sp.,Whiteinella praehelvetica,Marginotruncana sp.,Marginotruncana pseudolinneiana,Heterohelix sp.,Heterohelix globulosa,Hedbergella delrioensis,Guembelitria cretacea,Falsotruncana maslakovae,Dicarinella sp.,Dicarinella canaliculata,Praeglobotruncana gibba,Marginotruncana marginata,Hedbergella sp.,Pseudoguembelina costellifera,Laeviheterohelix pulchra,Contusotruncana fornicata,Clavihedbergella simplex,Marginotruncana sinuosa,Heterohelix carinata,Globigerinelloides prairiehillensis,Globigerinelloides messinae,Heterohelix striata,Hedbergella holmdelensis,Marginotruncana coronata,Globigerinelloides caseyi,Sigalia decoratissima carpatica,Globigerinoides asper,Dicarinella asymetrica,Ventilabrella eggeri,Heterohelix sphenoides,Globigerinelloides subcarinatus,Hedbergella monmouthensis,Globotruncana lapparenti,Sigalia deflaensis rugocostata,Globotruncana sp.,Globotruncanita stuartiformis,Globotruncana orientalis,Globotruncana mariei,Globotruncana linneiana,Globotruncana arca,Globotruncana bulloides,Globotruncana rosetta,Pseudotextularia elegans,Globigerinelloides alvarezi,Archaeoglobigerina blowi,Contusotruncana plummerae,Contusotruncana patelliformis,Archaeoglobigerina sp.,Globotruncanella minuta,Globotruncana rugosa,Biglobigerinella multispina,Archaeoglobigerina cretacea,Radotruncana calcarata,Heterohelix navarroensis,Pseudoguembelina costulata,Globotruncana ventricosa,Rugoglobigerina sp.,Globotruncanita stuarti,Globotruncana falsostuarti,Ventilabrella multicamerata,Heterohelix punctulata,Rugoglobigerina rugosa,Globotruncanita sp.,Globotruncana aegyptiaca,Rugoglobigerina macrocephala,Pseudoguembelina palpebra,Planoglobulina riograndensis,Heterohelix planata,Rugoglobigerina rugosa/hexacamerata,Rugoglobigerina reicheli,Rugoglobigerina pennyi,Rugoglobigerina hexacamerata,Planoglobulina carseyae,Gansserina gansseri,Abathomphalus intermedius,Globotruncanita pettersi,Pseudoguembelina excolata,Kuglerina rotundata,Gansserina wiedenmayeri,Globotruncana esnehensis,Pseudotextularia nuttalli,Gublerina acuta,Globotruncanita conica,Globotruncana insignis,Pseudoguembelina hariaensis,Kefiana sp.,Gublerina cuvillieri,Globotruncanita angulata,Rugoglobigerina milamensis,Globotruncanella petaloidea,Contusotruncana plicata,Globotruncana dupeublei,Pseudotextularia intermedia,Pseudoguembelina kempensis,Plummerita hantkeninoides,Planoglobulina acervulinoides,Planoglobulina sp.,Contusotruncana contusa,Racemiguembelina fructicosa,Abathomphalus mayaroensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E,  8,R, 2,  50.00,    178.7900,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,                              ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,R              ,R                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,                        ,                         ,                        ,                       ,                    ,                                   ,                           ,VR                 ,                        ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,                               ,                         ,                        ,                              ,                 ,                             ,                        ,                    ,                       ,                  ,                       ,                     ,C                       ,                           ,                        ,                         ,                             ,                      ,                       ,                    ,                           ,                           ,                      ,                        ,VR                        ,                        ,                   ,                       ,                          ,                           ,                      ,                      ,                   ,                        ,                            ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,                       ,                   ,                         ,                        ,VR                       ,                   ,                       ,                        ,                         ,               ,                      ,                      ,                           ,VR         ,                    ,                        ,                          ,                           ,                       ,                       ,                           ,                          ,                         ,                             ,                  ,                       ,                           ,                         ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E,  8,R, 2,  97.00,    179.2600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,                              ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,C              ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,cf/VR                   ,                         ,                        ,                       ,                    ,                                   ,                           ,R                  ,                        ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,                               ,                         ,                        ,                              ,                 ,R                            ,VR                      ,VR                  ,                       ,                  ,                       ,C                    ,C                       ,                           ,VR                      ,                         ,                             ,                      ,                       ,                    ,                           ,VR                         ,                      ,                        ,C                         ,                        ,                   ,                       ,                          ,                           ,                      ,                      ,                   ,VR                      ,                            ,                         ,                            ,                   ,R                                  ,                        ,                      ,VR                          ,                       ,                   ,VR                       ,VR                      ,                         ,                   ,                       ,                        ,                         ,               ,                      ,                      ,                           ,VR         ,                    ,VR                      ,                          ,                           ,                       ,C                      ,VR                         ,                          ,                         ,R                            ,                  ,VR                     ,                           ,C                        ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E,  9,R, 1,   3.00,    186.5300,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,                              ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,C              ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,cf/VR                   ,                         ,                        ,                       ,                    ,                                   ,C                          ,C                  ,R                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,R                              ,VR                       ,                        ,                              ,                 ,R                            ,cf/VR                   ,C                   ,                       ,                  ,                       ,R                    ,C                       ,                           ,VR                      ,                         ,                             ,                      ,                       ,                    ,                           ,                           ,                      ,cf/R                    ,C                         ,cf/R                    ,                   ,                       ,                          ,                           ,VR                    ,                      ,                   ,                        ,                            ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,R                      ,C                  ,VR                       ,                        ,                         ,                   ,                       ,                        ,                         ,               ,                      ,                      ,                           ,           ,                    ,                        ,                          ,                           ,                       ,cf/VR                  ,VR                         ,                          ,                         ,VR                           ,                  ,VR                     ,                           ,R                        ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E,  9,R, 1,  51.00,    187.0100,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,                              ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,               ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,VR                      ,                         ,                        ,                       ,                    ,                                   ,VR                         ,cf/VR              ,                        ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,VR                             ,VR                       ,                        ,                              ,C                ,cf/VR                        ,                        ,R                   ,                       ,                  ,                       ,R                    ,C                       ,                           ,                        ,                         ,                             ,                      ,                       ,                    ,                           ,                           ,                      ,                        ,C                         ,                        ,                   ,                       ,                          ,                           ,R                     ,                      ,                   ,                        ,                            ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,                       ,VR                 ,                         ,                        ,                         ,                   ,                       ,                        ,                         ,               ,                      ,                      ,                           ,           ,                    ,                        ,                          ,                           ,                       ,                       ,                           ,                          ,                         ,                             ,                  ,                       ,                           ,C                        ,from Leg 160SR Ch 30 Table 3
