Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Chiasmolithus solitus,Tribrachiatus orthostylus,Transversopontis pulcher,Toweius callosus,Imperiaster obscurus,Discoaster kuepperi,Chiasmolithus eograndis,Neococcolithes dubius,Discoaster lodoensis,Chiasmolithus expansus,Reticulofenestra samodurovii,Reticulofenestra daviesii,Markalius inversus,Discoaster spp.,Discoaster distinctus,Zygrhablithus bijugatus,Markalius apertus,Nannotetrina cristata,Coccolithus formosus,Discoaster barbadiensis,Reticulofenestra umbilica,Reticulofenestra reticulata,Reticulofenestra hillae,Reticulofenestra bisecta,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Discoaster deflandrei,Chiasmolithus altus,Sphenolithus moriformis,Pontosphaera multipora,Helicosphaera carteri,Sphenolithus conicus,Discoaster variabilis,Sphenolithus heteromorphus,Calcidiscus premacintyrei,Coccolithus miopelagicus,Discoaster intercalaris,Calcidiscus macintyrei,Lithostromation perdurum,Calcidiscus leptoporus,Reticulofenestra gelida,Reticulofenestra pseudoumbilicus,Reticulofenestra producta,Reticulofenestra perplexa,Amaurolithus delicatus,Discoaster surculus,Discoaster quinqueramus,Discoaster druggii,Discoaster brouweri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,152, 918,D,  8,R,CC,   9.00,    359.5900,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,152, 918,D, 13,R, 1,  93.00,    404.8300,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,152, 918,D, 13,R, 1, 145.00,    405.3500,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,R                    ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 14,R, 1, 109.00,    413.8900,Wei      ,Nannofossils                                 ,F              ,P                 ,F                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,R                      ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
