Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xanthiopyxis ovalis,Stephanopyxis turris turris,Rocella praenitida,Melosira architecturalis,Hemiaulus polycystinorum,Cavitatus jouseanus,Triceratium inconspicuum var. trilobata,Rocella vigilans,Pyxilla reticulata,Pterotheca aculeifera,Paralia sulcata,Hemiaulus sp.,Cestodiscus sp.,Stephanopyxis hyalomarginata,Sceptroneis tenue,Rhaphoneis amphiceros,Diploneis sp.,Cestodiscus convexus,Stephanopyxis spinossima,Rocella gelida  var. schraderi,Rocella gelida,Hyalodiscus sp.,Azpeitia oligocenica,Rhizosolenia hebetata f. hiemalis,Coscinodiscus descrescens,Hemiaulus claviger,Grammatophora sp.,Triceratium favus,Stephanopyxis marginata,Bogorovia veniamini,Actinocyclus ellipticus,Coscinodiscus rhombicus,Actinocyclus ehrenbergii,Thalassiosira eccentrica,Rossiella symmetrica,Craspedodiscus sp.,Actinoptychus senarius,Thalassiothrix longissima,Stephanopyxis grossecellulata,Cestodiscus novozaelandicus,Nitzschia challengeri,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Denticulopsis sp.,Denticulopsis dimorpha,Actinocyclus ingens,Nitzschia fossilis,Coscinodiscus radiatus,Thalassiosira miocenica,Thalassiosira leptopus,Simonseniella barboi,Nitzschia reinholdii,Nitzschia marina,Azpeitia nodulifera,Aulacosira granulata,Asterolampra marylandica,Thalassiosira lineata,Chaetoceros sp.,Actinocyclus curvatulus,Nitzschia barronii,Hemidiscus cuneiformis,Thalassionema bacillaris,Thalassiosira oestrupii,Nitzschia ritscherii,Nitzschia kerguelenis,Azpeitia africana,Thalassiosira lentiginosa,Thalassiosira elliptipora,Rhaphoneis surirelloides,Pseudoeunotia doliolus,Nitzschia panduriformis,Eucampia antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  2,X,CC,  14.00,     25.1800,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,               ,             ,               ,                            ,                 ,                     ,T            ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,R                        ,                             ,                           ,R                    ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,R                     ,                    ,R                   ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,C                    ,                 ,R                        ,                         ,T                       ,R                     ,T                      ,R                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  3,H,CC,   9.00,     37.1000,diatoms  ,Diatoms                                      ,               ,                  ,T                  ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,T              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,R                       ,                    ,                  ,                      ,F                        ,                             ,                           ,                     ,                                       ,R                          ,                 ,                      ,R                  ,                  ,                      ,                       ,                      ,                    ,R                   ,R               ,R                  ,                    ,                        ,                     ,               ,R                      ,                  ,                      ,R                       ,                       ,R                   ,F                    ,T                ,T                        ,T                        ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  4,H,CC,   0.00,     46.2900,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,R            ,               ,                            ,                 ,                     ,T            ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,R                        ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,R                  ,                  ,                      ,                       ,                      ,                    ,R                   ,R               ,                   ,R                   ,                        ,                     ,R              ,                       ,R                 ,                      ,                        ,                       ,R                   ,T                    ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  5,H,CC,  20.00,     56.0900,diatoms  ,Diatoms                                      ,               ,                  ,T                  ,T                          ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,               ,R            ,T              ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,R                       ,                    ,                  ,                      ,R                        ,                             ,                           ,                     ,T                                      ,                           ,                 ,                      ,                   ,T                 ,                      ,                       ,                      ,                    ,F                   ,R               ,F                  ,                    ,                        ,                     ,T              ,R                      ,                  ,T                     ,                        ,T                      ,R                   ,T                    ,T                ,                         ,                         ,                        ,                      ,                       ,                   ,       
