Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rugoglobigerina rugosa,Hedbergella holmdelensis,Subbotina simplissima,Guembelitria cretacea,Globoconusa daubjergensis,Globigerina fringa,Globanomalina compressa,Subbotina triloculinoides,Globorotaloides turgida,Globigerinatheka index,Acarinina primitiva,Subbotina linaperta,Porticulasphaera semiinvoluta,Catapsydrax dissimilis,Sphaeroidinellopsis disjuncta,Globorotalia miotumida,Globoquadrina dehiscens,Orbulina universa,Globorotalia sphericomiozea,Globorotalia puncticulata,Globigerinoides conglobatus,Sphaeroidinellopsis paenedehiscens,Globorotalia pliozea,Globorotalia crassaconica,Neogloboquadrina pachyderma,Globorotalia puncticuloides,Globorotalia inflata triangula,Globorotalia inflata,Globigerinita glutinata,Globigerina falconensis,Globigerina bulloides,Globorotalia crassaformis dextral,Globigerinoides ruber,Globorotalia tosaensis,Globorotalia crassacarina,Sphaeroidinella dehiscens,Neogloboquadrina dutertrei,Globorotalia crassula,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia scitula,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  5,H, 5,  88.00,     53.0800,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,P                ,                           ,                         ,P                          ,                                  ,                    ,                         ,F                          ,                           ,                              ,A                   ,                       ,F                      ,                     ,                                 ,                     ,P                     ,                         ,                         ,R                         ,R                    ,P                  ,R                            ,P                   ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  6,H, 3,  67.00,     59.3700,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,P                ,                           ,                         ,P                          ,                                  ,                    ,                         ,F                          ,R                          ,                              ,A                   ,                       ,R                      ,                     ,                                 ,                     ,                      ,R                        ,P                        ,P                         ,R                    ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  7,H, 4,  98.00,     70.6800,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,P                ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,P                          ,                              ,A                   ,                       ,R                      ,P                    ,                                 ,P                    ,P                     ,P                        ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  8,H, 5,  10.00,     80.8000,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,R                ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,R                          ,F                             ,A                   ,                       ,R                      ,                     ,P                                ,R                    ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
