Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudorbitoides trechmanni,Rotaliid taxa,Asterorbis rooki,Vaughanina cubensis,Miliolids species,Vidalina sp. cf. V. hispanica,Nonionid taxa,Lagenid taxa,Discorbid taxa,Textulariid taxa,Sulcoperculina vermunti,Sulcoperculina sp.,Sulcoperculina obesa,Sulcoperculina globosa,Pseudocyclammina sp.,Marssonella oxycona,Planorbulina sp.,Orbitoides sp.,Foraminifers (encrusting),Sulcoperculina dickersoni,Foraminifers (small),Nubecularia sp.,Montsechiana sp.,Istriloculina sp.,Omphalocyclus macroporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 877,A,  1,R, 1,   1.00,      0.0100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                          ,R            ,C               ,                   ,R                ,                             ,             ,            ,R             ,                ,C                      ,C                 ,                    ,                      ,                    ,                   ,                ,              ,R                        ,                         ,                    ,               ,                ,                 ,                        ,from Leg 144 SR; Ch 9; Table 4; p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 877,A,  1,R, 1,   8.00,      0.0800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                          ,             ,F               ,                   ,                 ,                             ,             ,            ,              ,                ,F                      ,F                 ,                    ,                      ,                    ,                   ,                ,              ,                         ,                         ,                    ,               ,                ,                 ,                        ,from Leg 144 SR; Ch 9; Table 4; p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 877,A,  1,R, 1, 133.00,      1.3300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                          ,             ,C               ,                   ,R                ,                             ,             ,            ,F             ,                ,F                      ,C                 ,?                   ,F                     ,                    ,                   ,                ,              ,                         ,                         ,                    ,               ,                ,                 ,F                       ,from Leg 144 SR; Ch 9; Table 4; p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 877,A,  1,R, 2,  42.00,      1.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                          ,F            ,C               ,                   ,C                ,                             ,             ,            ,F             ,                ,C                      ,C                 ,?                   ,C                     ,R                   ,                   ,                ,              ,1                        ,                         ,                    ,F              ,1               ,                 ,                        ,from Leg 144 SR; Ch 9; Table 4; p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
