Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
126, 791,B,Initial Reports          ,     517.950,    0.275000,FO E. huxleyi
,,,,,,
126, 791,B,Initial Reports          ,     611.100,    0.410000,LO A. angelinum
,,,,,,
126, 791,B,Initial Reports          ,     659.250,    0.460000,LO P. lacunosa
,,,,,,
126, 791,B,Initial Reports          ,     750.000,    0.730000,Bruhnes/Matuyama magnetochron boundary
,,,,,,
126, 791,B,Initial Reports          ,     778.000,    0.830000,Reticulofenestra sp. A
,,,,,,
126, 791,B,Initial Reports          ,     800.050,    0.910000,top of Jaramillo magnetochron
,,,,,,
126, 791,B,Initial Reports          ,     824.200,    0.980000,bottom of Jaramillo magnetochron
,,,,,,
