Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria britannica,Watznaueria barnesae,Parhabdolithus infinitus,Microstaurus chiastius,Micrantholithus obtusus,Micrantholithus hoschulzii,Lithraphidites carniolensis carniolensis,Hayesites bulbus,Haqius circumradiatus,Diazomatolithus lehmanii,Braarudosphaera regularis,Assipetra infracretacea,Watznaueria supracretacea,Watznaueria biporta,Rucinolithus irregularis,Rhagodiscus asper,Parhabdolithus embergeri,Nannoconus truitti,Manivitella pemmatoidea,Hayesites albiensis,Eprolithus floralis,Braarudosphaera batilliformis,Tranolithus phacelosus,Stradneria crenulata,Retemediaformis sp. 1,Retecapsa angustiforata,Reinhardtites anthophorus,Quadrum gartneri,Micula decussata,Marthasterites furcatus,Eiffellithus eximius,Chiastozygus litterarius,Aspidolithus parcus parcus,Aspidolithus parcus constrictus,Tetrapodorhabdus decorus,Ceratolithoides aculeus,Micula prinsii,Micula murus,Lithraphidites quadratus,Ceratolithoides kamptneri,Lithraphidites kennethii,Cylindralithus oweinae,Arkhangelskiella cymbiformis,Toweius africanus,Thoracosphaera spp.,Placozygus sigmoides,Neochiastozygus saepes,Ericsonia subpertusa,Ericsonia robusta,Ericsonia cava,Cruciplacolithus tenuis,Cruciplacolithus primus (small),Cruciplacolithus primus (large),Cruciplacolithus primus,Cruciplacolithus edwardsii,Chiasmolithus edwardsii,Chiasmolithus danicus,Reticulofenestra umbilica,Ericsonia formosa,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Chiasmolithus grandis,Chiasmolithus gigas,Braarudosphaera bigelowii,Zygrhablithus bijugatus,Sphenolithus predistentus,Sphenolithus furcatolithoides labradorensis,Markalius inversus,Discoaster barbadiensis,Rhabdosphaera tenuis,Campylosphaera dela,Pemma papillatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,B,1,H,CC,6.00,8.8800,Mita     ,Nannofossils                                 ,               ,                  ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,C                        ,R                ,                     ,R                      ,C                    ,C                    ,                   ,C                        ,C                      ,                         ,C                                          ,R                 ,                       ,                    ,                   ,R               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,B,2,H,CC,23.00,21.4900,Mita     ,Nannofossils                                 ,T              ,                  ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,R                ,                     ,R                      ,R                    ,R                    ,                   ,C                        ,                       ,                         ,                                           ,                  ,R                      ,R                   ,R                  ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,B,3,H,CC,27.00,30.9300,Mita     ,Nannofossils                                 ,               ,                  ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,R                        ,R                ,R                    ,R                      ,R                    ,R                    ,R                  ,R                        ,R                      ,R                        ,R                                          ,R                 ,R                      ,                    ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,B,4,H,CC,20.00,40.2200,Mita     ,Nannofossils                                 ,               ,                  ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,R                        ,C                ,R                    ,R                      ,R                    ,C                    ,R                  ,R                        ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,       
