Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nodosariidae (taxa)	Fontbotia wuellerstorfi	Eggerella bradyi	Stilostomella lepidula	Quinqueloculina venusta	Pyrgo spp.	Pullenia bulloides	Oridorsalis spp.	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina zealandica	Gyroidina lamarckiana	Globocassidulina subglobosa	Epistominella exigua	Ehrenbergina trigona	Cibicidoides kullenbergi	Bolivina pseudopunctata	Valvulineria sp.	Triloculina tricarinata	Trifarina angulosa	Sphaeroidina bulloides	Pullenia salisburyi	Pleurostomella acuta	Laticarinina pauperata	Gyroidina soldanii	Eponides tumidulus	Bulimina alazanensis	Bolivina silvestri	Astrononion gallowayi	Karreriella bradyi	Hyperammina sp	Fursenkoina spp.	Quinqueloculina oblonga	Pullenia quinqueloba	Bolivina decussata	Astrononion sp.	Sigmoilina schlumbergeri	Uvigerina proboscidea	Stainforthia complanata	Eponides tenera	Species 2	Species 1	Cibicidoides robertsonianus	Cibicidoides cicatricosus	Haplophragmoides sp.	Cassidulina sp.	Rectuvigerina sp.	Comment



  SR	                 	                 	                  	              	145	 887	A	 12	H	 1	   5.00	    101.7500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	8                      	6               	1                     	                       	4         	23                	41              	42                    	                    	28                	               	1                   	1                    	5                          	13                  	1                   	5                       	1                      	                	                       	                  	                      	                   	                    	6                     	                  	                  	                    	                  	                     	                  	              	                	                       	                    	1                 	               	                        	2                    	                       	               	         	         	                           	                         	                    	               	3                	Total count = 192; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 1	  26.00	    101.9600	Ishman   	Benthic Foraminifers                         	               	M                 	12                 	                       	8               	1                     	                       	1         	19                	18              	20                    	                    	16                	               	1                   	                     	7                          	15                  	2                   	12                      	                       	                	                       	                  	2                     	2                  	1                   	2                     	                  	                  	                    	1                 	                     	                  	              	                	                       	                    	1                 	               	                        	                     	                       	               	         	         	                           	2                        	                    	               	                 	Total count = 143; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 1	  43.00	    102.1300	Ishman   	Benthic Foraminifers                         	               	M                 	7                  	1                      	6               	3                     	                       	1         	36                	4               	26                    	5                   	34                	               	3                   	9                    	2                          	13                  	                    	18                      	2                      	                	                       	                  	                      	                   	                    	7                     	                  	                  	                    	1                 	                     	                  	              	                	                       	2                   	                  	               	                        	1                    	                       	               	         	         	                           	                         	                    	1              	                 	Total count = 182; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 1	 127.00	    102.9700	Ishman   	Benthic Foraminifers                         	               	M                 	5                  	6                      	                	3                     	                       	1         	22                	49              	23                    	                    	17                	               	                    	5                    	1                          	20                  	                    	12                      	1                      	                	1                      	2                 	2                     	9                  	                    	2                     	                  	                  	1                   	                  	                     	                  	              	                	                       	2                   	1                 	               	                        	4                    	                       	               	         	         	                           	2                        	                    	1              	                 	Total count = 192; from Leg 145 SR; Ch 8; Table 6; p 148-149
