Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sp. cf. Blefuscuiana aptica	Globigerinelloides cf. bentonensis	Globigerinelloides cf. aptiense	Globigerinelloides aptiense	Hedbergella sp. cf. H. planispira	Hedbergella cf. punctata	Hedbergella trocoidea	Clavihedbergella sp.	Hedbergella planispira	Hedbergella yezoana	Hedbergella simplicissima	Planomalina buxtorfi	Schackoina cenomana	Praeglobotruncana delrioensis	Planomalina praebuxtorfi	Rotalipora ticinensis	Rotalipora appenninica	Comment



  SR	Albian           	                 	                  	              	123	 766	A	 16	R	 3	  46.00	    146.3600	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	A                       	                     	                    	                      	A                  	                         	                    	C                  	A                            	C                       	A                    	A                     	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 16	R	 5	  60.00	    149.5000	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	A                       	                     	                    	                      	                   	C                        	                    	                   	R                            	C                       	R                    	R                     	Hedbergella cf. punctata identified as ?; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 16	R	CC	   9.00	    152.1800	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	C                       	                     	                    	                      	                   	C                        	                    	R                  	A                            	A                       	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	 2	 125.00	    155.2500	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	A                       	                     	C                   	                      	A                  	                         	C                   	                   	                             	                        	                     	                      	Tritaxia gautina identified as ?; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	 3	  36.00	    155.8600	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	C                       	                     	R                   	                      	C                  	R                        	C                   	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	 5	  29.00	    158.7900	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	A                       	                     	R                   	                      	A                  	R                        	                    	                   	                             	                        	                     	                      	Hedbergella cf. punctata identified as ?; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	CC	   6.00	    162.2200	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	A                       	                     	C                   	                      	A                  	                         	                    	                   	                             	                        	                     	                      	uncertain identity of Gregelis sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

