Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sigali	Blefuscuiana daminiae	Praehedbergella ruka contritus	Hedbergella kuznetsovae	Globigerinelloides ferreolensis	Blefuscuiana rudis sensu stricto	Blefuscuiana hispaniae	Praehedbergella tuschepsensis grigelisi	Praehedbergella tatianae	Leupoldina cabri	Guembelitriella graysonensis	Globigerinelloides barri	Globigerinelloides algerianus	Blefuscuiana aptiana orientalis	Hedbergella infracretacea	Blefuscuiana excelsa cumulus	Blefuscuiana convexa	Praehedbergella tuschepsensis perforare	Hedbergella trocoidea	Hedbergella bizonae	Globigerinelloides aptiense	Blefuscuiana infracretacea occidentalis	Blefuscuiana albiana	Hedbergella delrioensis	Hedbergella gorbachikae	Hedbergella rischi	Hedbergella planispira	Favusella hiltermanni	Rotalipora appenninica	Whiteinella baltica	Hedbergella loetterlei	Globigerinelloides bentonensis	Archaeoglobigerina blowi	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncana linneiana	Contusotruncana fornicata	Marginotruncana undulata	Marginotruncana sinuosa	Marginotruncana pseudolinneiana	Globotruncana lapparenti	Pseudotextularia brownei	Pseudoguembelina costulata	Laeviheterohelix pulchra	Heterohelix globulosa	Globigerinelloides messinae	Globigerinelloides alvarezi	Globotruncana ventricosa	Globotruncana arca	Contusotruncana plummerae	Pseudotextularia elegans	Pseudoguembelina excolata	Globotruncanella havanensis	Rugoglobigerina pennyi	Globotruncanita stuarti	Globotruncanita conica	Contusotruncana contusa	Rugoglobigerina rugosa	Rugotruncana subpennyi	Rugoglobigerina hexacamerata	Laeviheterohelix glabrans	Rugotruncana subcircumnodifer	Pseudoguembelina palpebra	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Globotruncana aegyptiaca	Gansserina gansseri	Rugoglobigerina macrocephala	Globotruncanella citae	Woodringina hornerstownensis	Ventilabrella multicamerata	Abathomphalus intermedius	Praemurica pseudoinconstans	Parasubbotina pseudobulloides	Globoconusa daubjergensis	Globanomalina archeocompressa	Eoglobigerina eobulloides	Subbotina velascoensis	Subbotina triloculinoides	Subbotina cancellata	Parasubbotina varianta	Morozovella angulata	Acarinina nitida	Igorina albeari	Morozovella velascoensis	Morozovella conicotruncata	Globanomalina pseudomenardii	Morozovella occlusa	Acarinina subsphaerica	Morozovella pasionensis	Morozovella aequa	Globanomalina chapmani	Globanomalina australiformis	Morozovella subbotinae	Morozovella marginodentata	Morozovella edgari	Acarinina soldadoensis	Acarinina quetra	Subbotina eocaena	Pseudohastigerina micra	Planorotalites pseudoscitulus	Planorotalites palmerae	Igorina broedermanni	Acarinina primitiva	Acarinina bullbrooki	Morozovella aragonensis	Globigerinatheka senni	Truncorotaloides rohri	Morozovella spinulosa	Hantkenina bolivariana	Acarinina spinuloinflata	Acarinina pentacamerata	Turborotalia pomeroli	Turborotalia cerroazulensis	Subbotina praeturritilina	Subbotina frontosa	Globigerinatheka mexicana	Globigerinatheka subconglobata	Globigerina corpulenta	Chiloguembelina cubensis	Acarinina matthewsae	Turborotalia possagnoensis	Morozovella lehneri	Globigerinatheka kugleri	Subbotina hagni	Subbotina cryptomphala	Hantkenina alabamensis	Globigerinatheka index	Globigerinatheka beckmanni	Turborotalia increbescens	Turborotalia cunialensis	Turborotalia ampliapertura	Globoquadrina tripartita	Globigerina praebulloides	Turborotalia pseudoampliapertura	Globigerina officinalis	Globigerina euapertura	Catapsydrax dissimilis	Hantkenina primitiva	Globigerina ouachitaensis	Globigerina yeguaensis	Globigerina venezuelana	Globigerina tapuriensis	Globigerina pseudovenezuelana	Pseudohastigerina naguewichiensis	Globigerina cryptomphala	Globigerina sellii	Subbotina gortanii	Subbotina angiporoides	Paragloborotalia opima nana	Paragloborotalia opima opima	Globigerina ciperoensis	Globigerina angulisuturalis	Globoquadrina praedehiscens	Zeaglobigerina woodi	Sphaeroidinellopsis disjuncta	Globoquadrina dehiscens	Globoquadrina binaiensis	Globigerinoides trilobus	Globigerinoides immaturus	Globigerina angustiumbilicata	Fohsella peripheroronda	Fohsella birnageae	Dentoglobigerina altispira	Neogloboquadrina continuosa	Praeorbulina sicana	Globigerinoides sacculifer	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides bisphericus	Jenkinsella mayeri	Fohsella fohsi fohsi	Orbulina suturalis	Zeaglobigerina druryi	Fohsella lobata	Fohsella robusta	Globorotalia praemenardii	Comment



  IR	                 	                 	                  	              	192	1183	A	  2	R	CC	  21.00	    330.7900	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	A                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	F                   	R                            	D                      	                        	R                       	                         	                             	                       	                  	A                         	                           	                   	R                         	R                            	R                       	                           	F                 	                    	R                 	R                    	               	cP              	A                        	Zone 10 - 11.8-11.9

  IR	                 	                 	                  	              	192	1183	A	  3	R	CC	  22.00	    340.8200	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	A                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	R                   	R                            	D                      	                        	                        	                         	                             	                       	                  	A                         	R                          	                   	R                         	R                            	R                       	                           	A                 	R                   	R                 	R                    	F              	F               	R                        	Zone M9b - 11.9-12.3

  IR	                 	                 	                  	              	192	1183	A	  4	R	CC	  21.00	    354.0900	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	F                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	R                   	R                            	D                      	                        	F                       	                         	                             	                       	                  	F                         	R                          	                   	R                         	F                            	R                       	                           	A                 	R                   	R                 	R                    	A              	A               	                         	Zone M9b - 11.9-12.3

  IR	                 	                 	                  	              	192	1183	A	  5	R	CC	  20.00	    365.4100	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	A                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	R                   	R                            	D                      	                        	R                       	                         	                             	                       	                  	A                         	F                          	                   	R                         	R                            	R                       	                           	A                 	F                   	R                 	R                    	F              	R               	                         	Zone M9b - 11.9-12.3
