Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Pulleniatina praecursor	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotaloides hexagona	Globorotalia scitula	Globorotalia margaritae	Globorotalia limbata	Globorotalia crassaformis crassaformis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus extremus	Globigerinoides conglobatus	Globigerinita glutinata	Globigerina falconensis	Globigerina decoraperta	Globigerina bulloides	Orbulina universa	Globorotalia puncticulata	Globigerinoides ruber (white)	Globigerinella aequilateralis	Neogloboquadrina dutertrei	Globorotalia crassaformis viola	Globorotalia tumida	Globorotalia miocenica	Neogloboquadrina pseudopima	Globorotalia exilis	Globigerinoides tenellus	Globigerina apertura	Globorotalia crassula	Sphaeroidinella dehiscens	Globorotalia menardii	Globorotalia crassaformis hessi	Globigerinoides obliquus obliquus	Globigerinoides sp. cf. G. fistulosus	Pulleniatina obliquiloculata	Pulleniatina primalis	Globorotalia inflata	Globorotalia truncatulinoides	Globorotalia triangula	Globigerina quinqueloba	Beella digitata	Globorotalia tosaensis	Globigerinella calida	Globigerinoides ruber (pink)	Candeina nitida	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  1	H	CC	  15.00	      3.1500	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	C                                    	                         	                                      	                        	R                   	                       	                    	R                                     	                       	F                       	R                         	                                 	                           	R                      	                       	                       	R                    	R                	                         	C                            	R                            	F                         	                               	                   	                      	                           	                   	                        	                    	R                    	                         	                     	                               	                                 	P                                    	                            	                     	C                   	F                            	                      	                       	R              	                      	                     	R                           	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  2	H	CC	   9.00	     13.0800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	C                                    	                         	                                      	                        	R                   	                       	                    	                                      	                       	F                       	R                         	                                 	                           	F                      	R                      	                       	R                    	R                	                         	C                            	R                            	                          	                               	                   	                      	                           	                   	                        	                    	                     	                         	R                    	R                              	                                 	                                     	R                           	                     	F                   	R                            	                      	                       	               	                      	                     	R                           	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  3	H	CC	  11.00	     22.1100	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	C                                    	                         	                                      	                        	                    	                       	                    	                                      	                       	R                       	R                         	                                 	                           	R                      	R                      	                       	                     	R                	                         	F                            	                             	C                         	                               	                   	                      	                           	                   	R                       	                    	                     	                         	R                    	R                              	                                 	                                     	R                           	                     	F                   	R                            	                      	                       	               	                      	                     	R                           	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  4	H	CC	   9.00	     31.7000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	C                                    	                         	                                      	R                       	R                   	                       	                    	                                      	                       	F                       	R                         	                                 	                           	R                      	                       	                       	                     	R                	                         	F                            	                             	C                         	                               	                   	                      	                           	                   	R                       	                    	                     	                         	R                    	                               	                                 	P                                    	R                           	                     	R                   	R                            	                      	                       	               	                      	                     	                            	R              	large number of reworked species from ODP Leg 108 SR Chapter 5 Table 10 p 84
