Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment



  IR	Holocene         	                 	Z                 	              	155	 942	A	  1	H	 1	   0.00	      0.0000	Showers  	Planktonic Foraminifers                      	A              	G                 	F                           	C                         	-                   	-                           	C                  	-                            	-                     	F                    	-                   	-                     	R                     	-                              	-                              	-                                     	C                                	F                                  	C                            	R                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 942	A	  1	H	CC	  12.00	      3.6800	Showers  	Planktonic Foraminifers                      	F              	M                 	C                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	F                            	R                           	R                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 942	A	  2	H	CC	  47.00	     12.7200	Showers  	Planktonic Foraminifers                      	A              	G                 	-                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	C                            	F                           	R                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 942	A	  3	H	CC	  18.00	     22.9400	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	-                           	R                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 942	A	  4	H	CC	  15.00	     32.7700	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	-                            	R                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	X                 	              	155	 942	A	  5	H	CC	  35.00	     41.8700	Showers  	Planktonic Foraminifers                      	A              	G                 	F                           	C                         	-                   	F                           	A                  	R                            	-                     	R                    	R                   	F                     	-                     	-                              	-                              	-                                     	C                                	F                                  	F                            	R                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

