Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data
375-U1519C-2R-CC-PAL-FORAM,0,5,111.69,111.74,VG,,,,,,,,,X,,,,,,,,,,,,,,
375-U1519C-3R-CC-PAL-FORAM,0,5,116.08,116.13,VG,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-4R-CC-PAL-FORAM,0,10,131.1,131.2,VG,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-5R-CC-PAL-FORAM,0,5,135.93,135.98,VG,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-6R-CC-PAL-FORAM,0,5,144.3,144.35,VG,,,,,,,,,R,,,,,C,,,,,,,,,
375-U1519C-9R-CC-PAL-FORAM,0,10,256.76,256.86,VG-G,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-10R-CC-PAL-FORAM,0,10,267.12,267.22,VG-M,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-11R-CC-PAL-FORAM,0,10,272.46,272.56,VG-M,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-12R-CC-PAL-FORAM,0,10,284.7,284.8,VG-M,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-14R-CC-PAL-FORAM,0,15,522.39,522.54,G,,,,,,,,,,,,,,,,,R,,,,,,
375-U1519C-15R-CC-PAL-FORAM,0,9,536.32,536.41,G-M,,,,,,,X,,,,,,,,X,X,X,,,,,,
375-U1519C-16R-CC-PAL-FORAM,0,11,546.86,546.97,G,,,,,,,,,,,,R,,,R,,R,,,,,,
375-U1519C-17R-CC-PAL-FORAM,0,10,553.37,553.47,G,,,,,,,,,,,,,,,,F,,,,,,,
375-U1519C-18R-CC-PAL-FORAM,0,10,565.93,566.03,G,,,,,,,,,,,,,,,X,,X,,,,,,
375-U1519C-19R-CC-PAL-FORAM,0,10,574.93,575.03,G-M,,,,,,,X,,,,,,,,,X,,,,,,,
375-U1519C-20R-CC-PAL-FORAM,0,10,580.38,580.48,G,,,,,,R,,,,,,,,,F,,,,,,,,
375-U1519C-21R-CC-PAL-FORAM,0,12,591.56,591.68,G,,,,,,,,,,,,,X,,,F,,,,,,,
375-U1519C-22R-CC-PAL-FORAM,0,10,602.98,603.08,G-M,,,,,,R,,,,,,,,,,,R,,,,,,
375-U1519C-24R-CC-PAL-FORAM,0,5,618.8,618.85,G,,,,,,,,,,,,,,,,,,,,,,,
375-U1519C-26R-CC-PAL-FORAM,0,5,635.6,635.65,G-P,,,,,,X,,,,,,,,,,,,,,,,,
