Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella roberti,Ticinella raynaudi,Ticinella primula,Clavihedbergella subcretacea,Globigerinelloides bentonensis,Clavihedbergella moremani,Ticinella madecassiana,Clavihedbergella simplex,Hedbergella planispira,Biticinella breggiensis,Heterohelix moremani,Costellagerina libyca,Hedbergella delrioensis,Guembelitria cenomana,Whiteinella baltica,Rotalipora brotzeni,Globigerinelloides caseyi,Schackoina cenomana,Rotalipora gandolfii,Whiteinella archaeocretacea,Heterohelix reussi,Heterohelix globulosa,Whiteinella inornata,Whiteinella brittonensis,Marginotruncana pseudolinneiana,Rugoglobigerina rugosa,Globigerinelloides prairiehillensis,Gansserina gansseri,Subbotina velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina nitida,Subbotina triangularis,Morozovella velascoensis,Igorina albeari,Subbotina triloculinoides,Morozovella subbotinae,Acarinina coalingensis,Subbotina patagonica,Morozovella allisonensis,Acarinina esnaensis,Acarinina sibaiyaensis,Acarinina wilcoxensis,Morozovella acutispira,Igorina broedermanni,Pseudohastigerina wilcoxensis,Morozovella marginodentata,Morozovella gracilis,Chiloguembelina wilcoxensis,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella formosa,Globigerina lozanoi,Chiloguembelina midwayensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  1,R,CC,   9.00,    129.8400,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,                      ,                        ,               ,                         ,P                     ,P                     ,P                   ,                        ,                   ,                      ,P                    ,                      ,                    ,                             ,                          ,P                   ,                           ,P                         ,P                      ,P                  ,P                  ,P                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  2,R,CC,  13.00,    139.2100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,                      ,                        ,               ,                         ,P                     ,                      ,                    ,                        ,                   ,                      ,P                    ,                      ,                    ,                             ,P                         ,P                   ,P                          ,P                         ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  3,R, 6, 128.00,    147.7800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,                      ,                        ,               ,                         ,P                     ,                      ,                    ,                        ,                   ,                      ,P                    ,                      ,                    ,                             ,                          ,                    ,                           ,P                         ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  4,R,CC,  19.00,    157.5100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,                      ,                        ,               ,                         ,P                     ,                      ,P                   ,                        ,                   ,                      ,P                    ,                      ,P                   ,                             ,                          ,P                   ,P                          ,P                         ,                       ,                   ,                   ,                           ,       
