Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
190,1176,A,Initial Reports          ,      11.940,    0.085000,FAD Emiliania huxleyi acme
,,,,,,
190,1176,A,Initial Reports          ,      59.100,    0.140000,LAD Helicosphaera inversa
,,,,,,
190,1176,A,Initial Reports          ,      85.640,    0.260000,FAD Emiliania huxleyi
,,,,,,
190,1176,A,Initial Reports          ,      89.110,    0.460000,LAD Pseudoemiliania lacunosa
,,,,,,
190,1176,A,Initial Reports          ,     109.100,    0.460000,LAD Pseudoemiliania lacunosa
,,,,,,
190,1176,A,Initial Reports          ,     200.640,    0.800000,LAD Reticulofenestra asanoi
,,,,,,
190,1176,A,Initial Reports          ,     238.590,    1.060000,FAD Reticulofenestra asanoi
,,,,,,
190,1176,A,Initial Reports          ,     291.630,    1.800000,FAD Gephyrocapsa oceanica
,,,,,,
190,1176,A,Initial Reports          ,     407.200,    1.950000,LAD Discoaster brouweri
,,,,,,
190,1176,A,Initial Reports          ,     425.820,    3.800000,LAD Reticulofenestra pseudoumbilicus (>7microns)
,,,,,,
