Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinellopsis seminulina	Menardella limbata	Globoturborotalita woodi	Globoturborotalita nepenthes	Globigerinoides obliquus	Globigerinoides extremus	Jenkinsella mayeri	Globoconella puncticulata	Globoturborotalita rubescens	Dentoglobigerina altispira	Sphaeroidinellopsis paenedehiscens	Globigerina falconensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Hirsutella margaritae	Globoquadrina venezuelana	Neogloboquadrina pachyderma	Menardella multicamerata	Hirsutella hirsuta	Globoturborotalita decoraperta	Globorotalia plesiotumida	Globigerina bulloides	Menardella miocenica	Menardella exilis	Globoconella inflata	Globoturborotalita apertura	Globoquadrina baroemoenensis	Truncorotalia tosaensis	Truncorotalia crassaformis hessi	Comment



  IR	                 	                 	                  	              	172	1062	B	 18	X	 1	  70.00	    157.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	no marker spp.

  IR	                 	                 	                  	              	172	1062	B	 18	X	 2	  70.00	    158.9000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	no markers

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 18	X	 3	  70.00	    160.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	                          	+                                 	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	+                	                    	                           	                            	                       	                                	       

  IR	                 	Late Pliocene    	                  	N21           	172	1062	B	 18	X	CC	   0.00	    161.1200	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	pyrite sample dissolved

  IR	                 	                 	                  	              	172	1062	B	 19	X	 1	  70.00	    162.8000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	glauconite no marker species

  IR	                 	Middle Pliocene  	N20               	N21           	172	1062	B	 19	X	 2	  70.00	    164.3000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                              	                  	F                       	                            	R                       	R                       	                  	R                        	                            	                          	                                  	F                      	R                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	F                   	R                	                    	R                          	                            	                       	R                               	>2.41 Ma

