Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia menardii	Globorotalia crassaformis	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella siphonifera	Globorotalia scitula	Globigerinoides quadrilobatus	Zeaglobigerina rubescens	Globorotalia ungulata	Globorotalia crassula	Candeina nitida	Globigerinoides trilobus	Globigerinoides ruber (pink)	Neogloboquadrina humerosa	Globigerina bulloides	Globorotalia tosaensis	Hastigerina pelagica	Globorotalia crassaformis hessi	Bolliella calida	Bolliella adamsi	Beella digitata	Comment
																																														
																																														
IR	Pleistocene	Holocene		N23	180	1111	A	2	R	CC	6.00	10.1600	Perembo	Planktonic Foraminifers	A	M	R	A	F	A	R		F		A	A	A				A	A	F	F	A						A		A	A	F	
																																														
IR	Pleistocene	Holocene		N23	180	1111	A	3	R	CC	14.00	19.8400	Perembo	Planktonic Foraminifers	A	M		A	A	A	F	F	A	F	A	A	A		A		A	A	F	F	A						A	R	A	R	F	
																																														
IR					180	1111	A	4	R	CC	18.00	29.3800	Perembo	Planktonic Foraminifers	F	P		F	R	F			R	R		F	F				F															
																																														
IR	Pleistocene	Holocene			180	1111	A	6	R	CC	8.00	48.4800	Perembo	Planktonic Foraminifers	F	M	R	F				R		R		F	F				F				R	F	F			R						
																																														
IR		Pleistocene		N22	180	1111	A	7	R	CC	16.00	58.2600	Perembo	Planktonic Foraminifers	A	M	R	A	A	A	F	F	A	F		F	F		A		A		R	A	A	F				R						
																																														
IR		Pleistocene			180	1111	A	8	R	CC	18.00	71.8500	Perembo	Planktonic Foraminifers	C	M	R	F	F	F			R	R	R	F			A		F	A	F	F	A					R						
																																														
IR		Pleistocene		N22	180	1111	A	11	R	CC	16.00	97.3300	Resig	Planktonic Foraminifers	A	G		A	R	A		R	R	F	R	A	F	A	F	R	A	A			R		A		F							
																																														
IR		Pleistocene		N22	180	1111	A	12	R	CC	1.00	106.4100	Resig	Planktonic Foraminifers	A	G		F		A		R	R	R		A	F		R		F	A				A	A									
																																														
IR		Pliocene			180	1111	A	13	R	1	0.00	116.1000	Resig	Planktonic Foraminifers	F	G	R	F	R	R	F		F			R					R							R								
																																														
IR		Pleistocene		N22	180	1111	A	13	R	1	91.00	117.0100	Perembo	Planktonic Foraminifers	A	G	R	A	F	A	A	A	A	A	F	A	F		A		A	R	A		A		R									
																																														
IR		Pleistocene		N22	180	1111	A	13	R	CC	12.00	118.2300	Resig	Planktonic Foraminifers	A	M		A		A	F	F	F	F	A	A	A		F		A	F				A	F	A								
																																														
IR		Pleistocene		N22	180	1111	A	14	R	CC	5.00	129.8600	Resig	Planktonic Foraminifers	A	G		R	R	A			F			A	F	A	A	F	A	A				A	A									
																																														
IR		Pleistocene		N22	180	1111	A	15	R	1	51.00	135.9100	Perembo	Planktonic Foraminifers	A	M		A	F	A	A	A	A	A	F	A	A		A		A	A	A	F	A											
																																														
IR		Pleistocene		N22	180	1111	A	15	R	CC	11.00	136.4700	Resig	Planktonic Foraminifers	A	M		F	R	A	R	F	F	F	A	A	A	A	F	R	A															
																																														
IR		Pleistocene		N22	180	1111	A	16	R	1	56.00	145.5600	Resig	Planktonic Foraminifers	A	M	R	F	R	A	R	F	F	F	A	A	F	A	F																	
																																														
