Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus boliviensis,Dictyocha spp. (tilt; etc.),Dictyocha pulchella,Dictyocha perlaevis,Dictyocha perfecta,Dictyocha longa var. paxilla,Dictyocha longa,Dictyocha fibula s. ampl.,Dictyocha brevispina,Dictyocha angulata,Distephanus crux s. ampl.,Dictyocha sp. A,Distephanus quinquangellus,Dictyocha sp. cf. D. concavata,Dictyocha vexativa,Dictyocha stapedia stapedia,Dictyocha stapedia aspinosa,Dictyocha sp.cf. D. concinna,Dictyocha calida calida,Dictyocha aegea,Dictyocha delicata var. bisecta,Dictyocha arbutusensis,Dictyocha ornata africana,Dictyocha flexatella,Dictyocha sp. aff. D. longa,Dictyocha sp. cf. D. calida calida,Distephanus sp. A,Dictyocha calida ampliata,Octactis pulchra,Distephanus boliviensis s. ampl.,Dictyocha longispina,Dictyocha subaculeata,Dictyocha species diversae (asperoid),Dictyocha aculeata aculeata s. ampl.,Bachmannocena quadrangula,Dictyocha lingii,Dictyocha aculeata aculeata,Bachmannocena sp. aff. B. circulus (polar),Dictyocha sp cf. D. hessii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. aculeata       ,              ,108, 662,A,  3,H, 2,  70.00,     14.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,7                          ,                   ,                   ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,71                         ,2                          ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,2               ,                                ,                    ,                     ,                                     ,3                                   ,                         ,                ,15                         ,                                          ,                          ,data shown as % Total specimens= 100 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. aculeata       ,              ,108, 662,A,  3,H, 5,  70.00,     19.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,6                          ,                   ,                   ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,67                         ,1                          ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,2                    ,                                     ,                                    ,                         ,                ,24                         ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. aculeata       ,              ,108, 662,A,  4,H, 2,  70.00,     24.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,9                          ,                   ,                   ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,48                         ,3                          ,                            ,T                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,T               ,                                ,1                   ,                     ,                                     ,6                                   ,                         ,                ,33                         ,                                          ,                          ,data shown as % Total specimens= 221 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  5,H, 2,  69.00,     33.8900,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                            ,                       ,2                          ,                   ,                   ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,34                         ,1                          ,                            ,17                     ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,1                ,10                       ,T               ,                                ,                    ,                     ,                                     ,                                    ,4                        ,2               ,26                         ,                                          ,1                         ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
