Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes group,Zeaglobigerina decoraperta,Sphaeroidinellopsis spp.,Neogloboquadrina acostaensis (dextral),Globorotalia scitula,Globigerinoides trilobus,Globigerinoides obliquus,Globigerinita juvenilis,Globigerinita glutinata,Globigerina falconensis,Globigerina bulloides,Turborotalita quinqueloba,Orbulina universa,Neogloboquadrina acostaensis (sinistral),Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerinella obesa,Zeaglobigerina nepenthes,Globigerinita uvula,Globigerinella siphonifera,Globigerina bulbosa,Globigerinoides ruber,Globigerinoides gomitulus,Neogloboquadrina pachyderma (sinistral),Globigerinoides elongatus,Neogloboquadrina pachyderma (dextral),Tenuitella anfracta,Beella digitata,Zeaglobigerina rubescens,Hastigerina pelagica,Globorotalia margaritae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL2              ,              ,160, 969,B, 11,H, 1,  31.00,     88.7100,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,3                   ,1                             ,1                         ,                        ,1                                     ,                    ,                        ,3                       ,3                      ,                       ,4                      ,                     ,+                        ,1                ,                                        ,                          ,                             ,                    ,                        ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =9. Total specimens=17. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL2              ,              ,160, 969,B, 11,H, 1, 100.00,     89.4000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,10                  ,19                            ,15                        ,                        ,33                                    ,                    ,7                       ,69                      ,22                     ,28                     ,63                     ,6                    ,4                        ,10               ,                                        ,4                         ,5                            ,1                   ,1                       ,2                  ,1                         ,1                  ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,5                      ,Species abundance =20 . Total specimens=306 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 2,  30.00,     90.2000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,9                   ,5                             ,9                         ,                        ,33                                    ,1                   ,1                       ,60                      ,28                     ,27                     ,91                     ,1                    ,7                        ,42               ,2                                       ,1                         ,                             ,+                   ,                        ,+                  ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =18. Total specimens=317 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 2, 100.00,     90.9000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,27                  ,16                            ,11                        ,1                       ,91                                    ,+                   ,2                       ,21                      ,27                     ,39                     ,41                     ,                     ,5                        ,22               ,                                        ,                          ,1                            ,                    ,                        ,+                  ,                          ,5                  ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,1                      ,Species abundance =17 . Total specimens=310 . from Leg 160SR Ch 2 Table 7
