Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra minutula,Reticulofenestra minuta,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Coccolithus pelagicus,Reticulofenestra productella,Gephyrocapsa oceanica,Syracosphaera pulchra,Pontosphaera spp.,Emiliania huxleyi,Rhabdosphaera clavigera,Calcidiscus leptoporus,Syracosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1023,A,  1,H, 1,  20.00,      0.2000,Su       ,Nannofossils                                 ,A              ,G                 ,                         ,                       ,                        ,                         ,31.7%                 ,                         ,.9%                  ,                            ,                     ,2.8%                 ,.9%              ,58.8%            ,1.8%                   ,2.8%                  ,                  ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1023,A,  1,H, 2,  50.00,      2.0000,Su       ,Nannofossils                                 ,T              ,M                 ,                         ,                       ,                        ,                         ,17.8%                 ,                         ,7.1%                 ,                            ,                     ,                     ,                 ,74.9%            ,                       ,                      ,                  ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1023,A,  1,H, 4,  50.00,      5.0000,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,                       ,                        ,.9%                      ,13.0%                 ,                         ,29.9%                ,                            ,                     ,3.7%                 ,                 ,52.3%            ,                       ,                      ,                  ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1023,A,  1,H, 5,  70.00,      6.7000,Su       ,Nannofossils                                 ,F              ,M                 ,                         ,                       ,                        ,                         ,30.3%                 ,                         ,12.5%                ,                            ,                     ,.8%                  ,                 ,56.2%            ,                       ,                      ,                  ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1023,A,  1,H, 6,  20.00,      7.7000,Su       ,Nannofossils                                 ,R              ,P-M               ,                         ,                       ,                        ,.9%                      ,42.9%                 ,                         ,14.9%                ,                            ,                     ,                     ,                 ,39.2%            ,                       ,                      ,                  ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1023,A,  2,H, 1,  90.00,     10.2000,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,                       ,                        ,                         ,40.6%                 ,                         ,18.7%                ,                            ,                     ,                     ,                 ,40.6%            ,                       ,                      ,                  ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
