Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina nepenthes,Sphaeroidinellopsis kochi,Paragloborotalia mayeri,Jenkinsella siakensis,Sphaeroidinellopsis seminulina,Globorotalia merotumida,Globigerinoides obliquus,Dentoglobigerina altispira,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globigerinoides extremus,Globorotalia cibaoensis,Globorotalia margaritae,Globigerinoides conglobatus,Pulleniatina primalis,Globorotalia tumida,Pulleniatina (S),Pulleniatina (D),Globorotalia tosaensis,Globorotalia multicamerata,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides ruber,Globigerinoides ruber (pink),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,C,  1,H,CC,   3.00,      9.2600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                         ,                       ,                     ,                              ,                       ,                        ,                          ,                            ,                         ,                        ,                       ,                       ,                           ,                     ,                   ,                ,                ,                      ,                          ,                          ,                             ,                     ,A                           ,>0.12 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,C,  2,H,CC,  18.00,     19.3300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                         ,                       ,                     ,                              ,                       ,                        ,                          ,                            ,                         ,                        ,                       ,                       ,                           ,                     ,                   ,                ,                ,                      ,                          ,                          ,                             ,                     ,A                           ,0.12~0.40 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,C,  3,H,CC,  18.00,     28.8600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                         ,                       ,                     ,                              ,                       ,                        ,                          ,                            ,                         ,                        ,                       ,                       ,                           ,                     ,                   ,                ,                ,                      ,                          ,                          ,R                            ,A                    ,                            ,>0.40 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1143,C,  4,H,CC,  23.00,     37.8800,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                         ,                       ,                     ,                              ,                       ,                        ,                          ,                            ,                         ,                        ,                       ,                       ,                           ,                     ,                   ,                ,                ,                      ,                          ,                          ,R                            ,                     ,                            ,>0.6 (0.8) Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
