Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies/neoabies,Reticulofenestra umbilica,Reticulofenestra spp. (small - medium),Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster loeblichii,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster brouweri,Discoaster neohamatus,Calcidiscus leptoporus,Catinaster coalitus,Discoaster pentaradiatus,Coronocyclus nitescens,Pontosphaera spp.,Discoaster hamatus,Sphenolithus spp.,Discoaster quinqueramus,Discoaster berggrenii,Umbilicosphaera sibogae,Reticulofenestra minutula,Reticulofenestra minuta,Discoaster surculus,Discoaster intercalaris,Dictyococcites productus,Discoaster pansus,Discoaster blackstockae,Triquetrorhabdulus rugosus,Discoaster sanmiguelensis,Amaurolithus primus,Triquetrorhabdulus striatus,Amaurolithus delicatus,Discoaster challengeri,Discoaster neorectus,Rhabdosphaera clavigera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 31,X,CC,  26.00,    286.1100,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,F                               ,C                    ,A                    ,R                    ,                     ,F                    ,R                     ,F                  ,                     ,C                     ,                   ,F                       ,                      ,                 ,                  ,                 ,C                      ,F                    ,C                      ,C                        ,A                      ,F                  ,R                      ,C                       ,                 ,                       ,F                         ,                         ,R                  ,                           ,                      ,                      ,R                   ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 32,X,CC,  20.00,    294.5300,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,F                               ,C                    ,A                    ,                     ,                     ,R                    ,                      ,F                  ,                     ,C                     ,                   ,R                       ,                      ,                 ,                  ,                 ,C                      ,C                    ,C                      ,A                        ,A                      ,F                  ,                       ,A                       ,                 ,R                      ,F                         ,                         ,R                  ,                           ,                      ,                      ,R                   ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 33,X,CC,  51.00,    302.6600,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,C                               ,C                    ,A                    ,                     ,                     ,F                    ,R                     ,F                  ,                     ,C                     ,                   ,R                       ,                      ,                 ,                  ,                 ,C                      ,F                    ,F                      ,C                        ,A                      ,F                  ,R                      ,A                       ,F                ,R                      ,F                         ,                         ,R                  ,                           ,                      ,R                     ,R                   ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 34,X,CC,  39.00,    311.8400,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,F                               ,C                    ,A                    ,R                    ,                     ,F                    ,R                     ,F                  ,                     ,F                     ,                   ,                        ,                      ,                 ,                  ,                 ,C                      ,F                    ,C                      ,C                        ,A                      ,F                  ,                       ,A                       ,R                ,R                      ,R                         ,                         ,R                  ,R                          ,                      ,R                     ,                    ,                       ,       
