Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Reticulofenestra samodurovii,Ericsonia formosa,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus cf. abisectus,Cyclicargolithus abisectus,Coccolithus pelagicus,Zygrhablithus bijugatus,Sphenolithus pseudoradians,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra sp.,Helicosphaera euphratis,Discoaster spp.,Discoaster deflandrei,Cyclicargolithus spp.,Coccoliths spp.,Reticulofenestra umbilicus (>14um),Helicosphaera spp.,Helicosphaera compacta,Ericsonia subditicha,Discoaster tanii ornatus,Discoaster barbadiensis,Clausicoccus fenestratus,Chiasmolithus spp.,Bramletteius serraculoides,Reticulofenestra daviesii,Sphenolithus conicus,Coronocyclus nitescens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  4,H, 1,  37.00,     26.5700,cur      ,Nannofossils                                 ,T              ,P                 ,                         ,                            ,                 ,                       ,                           ,R                             ,                          ,                     ,                       ,                          ,                       ,                      ,                        ,R                   ,                       ,               ,                     ,                     ,R              ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  4,H, 2,  78.50,     28.4850,cur      ,Nannofossils                                 ,F              ,P                 ,                         ,                            ,                 ,                       ,                           ,                              ,                          ,R                    ,                       ,                          ,F                      ,                      ,                        ,                    ,                       ,R              ,D                    ,                     ,               ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  4,H, 3,  18.50,     29.3850,cur      ,Nannofossils                                 ,T              ,M                 ,                         ,                            ,                 ,                       ,                           ,R                             ,                          ,                     ,                       ,                          ,                       ,                      ,                        ,                    ,                       ,               ,C                    ,R                    ,               ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Oligocene        ,Oligocene        ,NP25              ,NP25          ,195,1201,B,  4,H, 3,  50.00,     29.7000,cur      ,Nannofossils                                 ,A              ,M                 ,                         ,                            ,                 ,F                      ,                           ,                              ,                          ,                     ,                       ,                          ,C                      ,                      ,R                       ,R                   ,                       ,               ,                     ,A                    ,R              ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,F                     ,       
