Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma	Globorotalia tosaensis	Globorotalia puncticuloides	Globorotalia inflata	Globorotalia crassaformis	Globigerinita glutinata	Globigerina spp.	Globigerina quinqueloba	Globigerina bulloides	Globorotalia scitula	Globigerinita uvula	Globorotalia truncatulinoides	Globorotalia hirsuta	Orbulina universa	Globorotalia crassula	Globigerina falconensis	Comment



  IR	                 	                 	                  	              	181	1122	A	  1	H	CC	   8.00	      9.2200	forams   	Planktonic Foraminifers                      	C              	G                 	A                          	                      	                           	F                   	                         	                       	F               	R                      	A                    	P                   	                   	R                            	                    	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	  2	H	CC	   8.00	     18.8600	forams   	Planktonic Foraminifers                      	C              	G                 	A                          	                      	                           	F                   	                         	                       	R               	R                      	A                    	                    	                   	P                            	                    	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	  3	H	CC	   9.00	     28.5200	forams   	Planktonic Foraminifers                      	C              	VG                	A                          	                      	                           	F                   	                         	                       	F               	F                      	A                    	P                   	                   	P                            	                    	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	  4	H	CC	   5.00	     38.1200	forams   	Planktonic Foraminifers                      	C              	VG                	A                          	                      	                           	F                   	                         	                       	F               	F                      	A                    	P                   	                   	R                            	                    	P                	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	  5	H	CC	  10.00	     46.5700	forams   	Planktonic Foraminifers                      	F              	VG                	A                          	                      	                           	F                   	                         	                       	F               	F                      	A                    	P                   	                   	                             	                    	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	  7	H	CC	   0.00	     65.8000	forams   	Planktonic Foraminifers                      	A              	VG                	A                          	                      	                           	A                   	                         	                       	F               	F                      	A                    	P                   	                   	R                            	P                   	P                	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	  9	X	CC	   0.00	     76.4600	forams   	Planktonic Foraminifers                      	F              	VG                	A                          	                      	                           	R                   	                         	P                      	F               	F                      	F                    	P                   	                   	R                            	                    	P                	P                    	P                      	       

  IR	                 	                 	                  	              	181	1122	A	 10	X	CC	  10.00	     85.7900	forams   	Planktonic Foraminifers                      	C              	G                 	F                          	                      	                           	R                   	                         	                       	F               	R                      	F                    	                    	                   	                             	                    	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	 11	X	CC	   0.00	     96.7700	forams   	Planktonic Foraminifers                      	F              	G                 	F                          	                      	                           	R                   	P                        	                       	F               	R                      	R                    	                    	                   	P                            	P                   	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	 12	X	CC	  10.00	    109.6400	forams   	Planktonic Foraminifers                      	R              	G                 	A                          	                      	                           	R                   	                         	                       	F               	R                      	R                    	P                   	P                  	                             	                    	                 	                     	                       	       

  IR	                 	                 	                  	              	181	1122	A	 13	X	CC	   5.00	    119.9700	forams   	Planktonic Foraminifers                      	C              	G                 	R                          	R                     	R                          	R                   	P                        	P                      	F               	R                      	R                    	                    	                   	                             	                    	                 	                     	                       	       

