Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus aff. ciperoensis,Holococcolith type A,Helicosphaera intermedia,Helicosphaera euphratis,Ericsonia obruta,Discoaster tanii,Discoaster nodifer,Discoaster deflandrei,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Sphenolithus pseudoradians,Pedinocyclus larvalis,Ilselithina fusa,Helicosphaera wilcoxonii,Helicosphaera perch-nielseniae,Discoaster adamanteus,Cyclicargolithus abisectus,Cruciplacolithus tarquinius,Calcidiscus kingii,Umbilicosphaera sp. 1,Triquetrorhabdulus carinatus,Syracosphaera sp. 1,Scapholithus fossilis,Pontosphaera latoculata,Helicosphaera recta,Helicosphaera obliqua,Coccolithus fuscus,Coccolithus eopelagicus,Braarudosphaera bigelowii,Crassidiscus backmanii,Coccolithus miopelagicus,Catinaster umbrellus,Triquetrorhabdulus milowii,Sphenolithus dissimilis,Pontosphaera segmenta,Thoracosphaera spp.,Sphenolithus umbrellus,Sphenolithus conicus,Sphenolith (unspecified taxon or taxa),Reticulofenestra daviesii,Discoaster woodringii,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Pontosphaera spp.,Helicosphaera carteri,Triquetrorhabdulus serratus,Coccolithus radiatus,Scyphosphaera spp.,Dictyococcites spp.,Sphenolithus delphix,Sphenolithus capricornutus,Reticulofenestrid taxa,Pyrocyclus spp.,Hayella aperta,Sphenolithus calyculus,Helicosphaera mediterranea,Discoaster extensus-dilatus group,Umbilicosphaera spp.,Helicosphaera ampliaperta,Calcidiscus leptoporus,Discoaster variabilis,Discoaster aff. druggii,Discoaster druggii,Tetralithoides spp.,Syracosphaera spp.,Triquetrorhabdulus protodecimae,Sphenolithus pseudoheteromorphus,Discoaster moorei,Sphenolithus belemnos,Geminilithella rotula,Sphenolithus multispinatus,Sphenolithus heteromorphus,Triquetrorhabdulus backmanii,Solidopons petrae,Triquetrorhabdulus curvus,Discoaster formosus,Discoaster exilis,Sphenolithus milanettii,Discoaster signus-tuberi,Discoaster brouweri,Discoaster challengeri,Discoaster pseudovariabilis,Calcidiscus premacintyrei,Rhabdosphaera spp.,Discoaster musicus,Discoaster bollii,Triquetrorhabdulus rugosus/rioensis,Reticulofenestra pseudoumbilicus,Discoaster aff. calcaris,Discoaster aff. brouweri,Discoaster undefined 6-ray b.,Discoaster undefined 6-ray,Discoaster aulakos,Holococcoliths spp.,Calcidiscus macintyrei,Discoaster kugleri,Catinaster coalitus,Discoaster pansus,Discoaster undefined 5-ray,Discoaster prepentaradiatus,Discoaster intercalaris,Discoaster calcaris,Discoaster asymmetricus,Discoaster perclarus,Discoaster pentaradiatus,Discoaster hamatus,Catinaster calyculus,Discoaster sp. 1,Discoaster bellus,Discoaster neohamatus,Discoaster bellus-hamatus intergraded,Discoaster surculus,Minylitha convallis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN8               ,              ,115, 714,A,  4,H, 2,  30.00,     22.4800,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                      ,                        ,                             ,                    ,                        ,                       ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,F                    ,                          ,                     ,                ,                        ,                              ,                     ,                          ,                           ,                  ,                     ,                            ,                   ,                     ,                       ,                   ,                     ,                  ,                       ,                         ,                      ,                        ,                    ,                          ,                       ,                     ,                   ,                      ,                    ,A                                     ,                         ,                     ,                                         ,                                         ,                        ,                 ,C                    ,                           ,                    ,                  ,C                  ,                    ,                          ,C                     ,               ,              ,                      ,                          ,                                 ,                    ,                         ,F                     ,F                    ,                       ,                  ,                   ,                  ,                               ,                                ,                 ,                     ,                     ,                          ,                          ,                            ,                 ,                         ,                   ,                 ,                       ,                        ,C                  ,                      ,                           ,                         ,                  ,                  ,                 ,                                   ,C                               ,                        ,                        ,                             ,F                         ,                  ,C                  ,                      ,                  ,                   ,R                ,                          ,F                          ,F                      ,                   ,                       ,                    ,                        ,                  ,                    ,R               ,                 ,C                    ,                                     ,F                  ,C                  ,from 115 SR. Chapter 15. Table 25. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN8               ,              ,115, 714,A,  4,H, 2, 140.00,     23.5800,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                      ,                        ,                             ,                    ,                        ,                       ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,R                    ,                          ,                     ,                ,                        ,                              ,                     ,                          ,                           ,                  ,                     ,                            ,                   ,                     ,                       ,                   ,                     ,                  ,                       ,                         ,                      ,                        ,                    ,                          ,                       ,                     ,                   ,                      ,                    ,A                                     ,                         ,                     ,                                         ,                                         ,                        ,                 ,C                    ,                           ,                    ,                  ,F                  ,                    ,                          ,C                     ,               ,              ,                      ,                          ,                                 ,                    ,                         ,C                     ,                     ,                       ,                  ,                   ,                  ,                               ,                                ,                 ,                     ,                     ,                          ,                          ,                            ,                 ,                         ,                   ,                 ,                       ,                        ,C                  ,                      ,                           ,                         ,                  ,                  ,                 ,                                   ,C                               ,                        ,                        ,                             ,F                         ,                  ,F                  ,R                     ,                  ,                   ,                 ,                          ,C                          ,R                      ,                   ,R                      ,                    ,R                       ,                  ,                    ,R               ,                 ,C                    ,                                     ,R                  ,C                  ,from 115 SR. Chapter 15. Table 25. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN8               ,              ,115, 714,A,  4,H, 3,  30.00,     23.9300,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                      ,                        ,                             ,                    ,                        ,                       ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,F                    ,                          ,                     ,                ,                        ,                              ,                     ,                          ,                           ,                  ,                     ,                            ,                   ,                     ,                       ,                   ,                     ,                  ,                       ,                         ,                      ,                        ,                    ,                          ,                       ,                     ,                   ,                      ,                    ,A                                     ,                         ,                     ,                                         ,                                         ,                        ,                 ,C                    ,                           ,                    ,                  ,C                  ,                    ,                          ,C                     ,               ,              ,                      ,                          ,                                 ,                    ,                         ,                      ,                     ,                       ,                  ,                   ,                  ,                               ,                                ,                 ,                     ,                     ,                          ,                          ,                            ,                 ,                         ,                   ,                 ,                       ,                        ,C                  ,                      ,                           ,                         ,                  ,                  ,                 ,                                   ,C                               ,                        ,                        ,                             ,F                         ,                  ,C                  ,F                     ,                  ,                   ,                 ,                          ,C                          ,R                      ,                   ,R                      ,                    ,R                       ,                  ,                    ,R               ,                 ,C                    ,                                     ,R                  ,C                  ,from 115 SR. Chapter 15. Table 25. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN8               ,              ,115, 714,A,  4,H, 3, 140.00,     25.0300,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                         ,                       ,                      ,                        ,                             ,                    ,                        ,                       ,                ,                ,                  ,                     ,                        ,                       ,                           ,                      ,R                    ,                          ,                     ,                ,                        ,                              ,                     ,                          ,                           ,                  ,                     ,                            ,                   ,                     ,                       ,                   ,                     ,                  ,                       ,                         ,                      ,                        ,                    ,                          ,                       ,                     ,                   ,                      ,                    ,A                                     ,                         ,                     ,                                         ,                                         ,                        ,                 ,F                    ,                           ,                    ,                  ,C                  ,                    ,                          ,C                     ,               ,              ,                      ,                          ,                                 ,                    ,                         ,R                     ,?                    ,                       ,                  ,                   ,                  ,                               ,                                ,                 ,                     ,                     ,                          ,                          ,                            ,                 ,                         ,                   ,                 ,                       ,                        ,?                  ,                      ,                           ,                         ,                  ,                  ,                 ,                                   ,C                               ,                        ,                        ,                             ,C                         ,                  ,                   ,                      ,                  ,                   ,                 ,                          ,?                          ,?                      ,                   ,                       ,                    ,?                       ,                  ,                    ,                ,                 ,?                    ,                                     ,?                  ,C                  ,from 115 SR. Chapter 15. Table 25. microfiche in back pocket.
