Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Eucyrtidium cienkowskii,Eucyrtidium biconicum,Dictyophimus splendens,Cyrtocapsella japonica,Theocorys redondoensis,Stylacontarium acquilonium,Cannartus sp. C,Stichocorys peregrina,Stichocorys delmontensis,Lychnocanoma grande,Stichocorys spp. group,Desmospyris spongiosa,Cycladophora pliocenica,Spongoplegma antarcticum,Stylatractus universus,Pseudocubus vema,Antarctissa strelkovi,Antarctissa denticulata,Spongoplegma medianum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  1,H,CC,   9.00,      4.2100,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,                     ,                      ,T                     ,                      ,R                         ,               ,T                    ,                        ,                   ,                      ,                     ,                       ,R                       ,                      ,                ,F                    ,F                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  2,H,CC,  15.00,     13.7900,rads     ,Radiolarians                                 ,C              ,G                 ,R                      ,                     ,                      ,                      ,                      ,T                         ,               ,                     ,                        ,                   ,                      ,                     ,R                      ,R                       ,                      ,                ,T                    ,T                      ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  3,H,CC,  14.00,     23.1700,rads     ,Radiolarians                                 ,C              ,G                 ,R                      ,                     ,                      ,                      ,                      ,R                         ,               ,                     ,                        ,                   ,T                     ,                     ,C                      ,F                       ,                      ,                ,F                    ,F                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  4,H,CC,  13.00,     32.1900,rads     ,Radiolarians                                 ,C              ,G                 ,F                      ,F                    ,                      ,                      ,                      ,                          ,               ,                     ,                        ,                   ,                      ,F                    ,C                      ,C                       ,T                     ,F               ,                     ,                       ,                     ,3/4 LO P vema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  5,H,CC,   4.00,     42.0300,rads     ,Radiolarians                                 ,C              ,G                 ,T                      ,C                    ,                      ,                      ,                      ,T                         ,               ,                     ,                        ,                   ,T                     ,R                    ,                       ,R                       ,                      ,                ,                     ,                       ,                     ,4/5 FO P vema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  6,H,CC,  13.00,     52.0400,rads     ,Radiolarians                                 ,F              ,M                 ,                       ,F                    ,                      ,                      ,                      ,R                         ,               ,T                    ,                        ,                   ,R                     ,                     ,T                      ,                        ,                      ,                ,                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  7,H,CC,  15.00,     60.7400,rads     ,Radiolarians                                 ,C              ,G                 ,C                      ,R                    ,                      ,T                     ,                      ,R                         ,               ,R                    ,T                       ,T                  ,R                     ,R                    ,T                      ,                        ,                      ,                ,                     ,                       ,                     ,6/7 LO L grande
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  8,H,CC,  14.00,     70.7500,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,R                    ,                      ,                      ,                      ,T                         ,               ,A                    ,                        ,F                  ,A                     ,                     ,                       ,                        ,                      ,                ,                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  9,H,CC,   8.00,     80.2300,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,F                    ,                      ,                      ,                      ,R                         ,               ,A                    ,F                       ,F                  ,                      ,                     ,                       ,                        ,                      ,                ,                     ,                       ,                     ,8/9 LCO S delomontensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B, 10,H,CC,  14.00,     89.7700,rads     ,Radiolarians                                 ,C              ,G                 ,R                      ,R                    ,                      ,T                     ,T                     ,R                         ,F              ,                     ,                        ,                   ,                      ,                     ,                       ,                        ,                      ,                ,                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B, 11,H,CC,  13.00,     97.9300,rads     ,Radiolarians                                 ,C              ,G                 ,R                      ,C                    ,                      ,F                     ,                      ,                          ,               ,                     ,                        ,                   ,                      ,                     ,                       ,                        ,                      ,                ,                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B, 12,H,CC,  11.00,    109.0600,rads     ,Radiolarians                                 ,C              ,G                 ,R                      ,R                    ,R                     ,A                     ,                      ,                          ,               ,                     ,                        ,                   ,                      ,                     ,                       ,                        ,                      ,                ,                     ,                       ,                     ,RD C japonica
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
