Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Denticulopsis lauta,Denticulopsis hyalina,Coscinodiscus marginatus,Thalassiothrix spp.,Denticulopsis hustedtii,Crucidenticula nicobarica,Coscinodiscus nodulifer,Actinocyclus tsugaruensis,Thalassiosira yabei,Denticulopsis punctata,Denticulopsis praedimorpha,Thalassiothrix longissima,Thalassionema schraderi,Thalassionema nitzschioides,Thalassionema hirosakiensis,Denticulopsis dimorpha,Neodenticula seminae,Pinn* spp.,Sponge spicules,Neodenticula cf. N. seminae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  1,H,CC,  22.00,      8.9200,Maruyama ,Diatoms                                      ,T              ,P                 ,                   ,                     ,                        ,                   ,                       ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,T                          ,rare fragmental diatoms.from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  4,H,CC,  16.00,     37.7600,Maruyama ,Diatoms                                      ,B              ,                  ,                   ,                     ,                        ,                   ,                       ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,          ,T              ,                           ,trace fragmental diatoms.from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  5,H,CC,  22.00,     47.4400,Maruyama ,Diatoms                                      ,R              ,P                 ,                   ,                     ,                        ,                   ,                       ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,          ,R              ,T                          ,rare fragmental diatoms.from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  6,H,CC,  19.00,     56.9000,Maruyama ,Diatoms                                      ,F              ,P                 ,                   ,                     ,                        ,                   ,rT                     ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,T         ,               ,                           ,common fragmental diatoms.from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  8,H,CC,   8.00,     75.8900,Maruyama ,Diatoms                                      ,R              ,P                 ,                   ,                     ,                        ,                   ,                       ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,T                          ,                           ,                      ,T                   ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
