file,path,empty_rows_columns,remove_identical_rows,remove_identical_columns,add_expedition_section_cols,rename_label_id,add_sample_name
349_macroscopic_U1431D.csv,Lithology_CSV/349_macroscopic_U1431D.csv,False,False,True,True,False,False
346_description_U1429B.csv,Lithology_CSV/346_description_U1429B.csv,False,False,False,True,False,False
353_macroscopic_U1443D.csv,Lithology_CSV/353_macroscopic_U1443D.csv,False,False,False,True,False,False
320 Core Description_U1332C.csv,Lithology_CSV/320 Core Description_U1332C.csv,True,False,False,False,True,False
339_sediment_U1386C.csv,Lithology_CSV/339_sediment_U1386C.csv,False,False,False,False,False,False
375_U1526A_macroscopic.csv,Lithology_CSV/375_U1526A_macroscopic.csv,False,False,False,True,False,False
366_macroscopic_U1496B.csv,Lithology_CSV/366_macroscopic_U1496B.csv,False,False,False,True,False,False
376_macroscopic_U1528D_2.csv,Lithology_CSV/376_macroscopic_U1528D_2.csv,False,False,False,True,False,False
361_macroscopic_U1479A.csv,Lithology_CSV/361_macroscopic_U1479A.csv,False,False,False,False,False,True
369_U1513B_macroscopic_mgt.csv,Lithology_CSV/369_U1513B_macroscopic_mgt.csv,False,False,False,True,False,False
361_macroscopic_U1474F.csv,Lithology_CSV/361_macroscopic_U1474F.csv,False,False,False,False,False,True
323 Core Description Template_U1341C.csv,Lithology_CSV/323 Core Description Template_U1341C.csv,False,False,False,False,False,False
361_macroscopic_U1475B.csv,Lithology_CSV/361_macroscopic_U1475B.csv,False,False,False,False,False,True
356-U1461A_macroscopic.csv,Lithology_CSV/356-U1461A_macroscopic.csv,False,False,False,True,False,False
361_macroscopic_U1475F.csv,Lithology_CSV/361_macroscopic_U1475F.csv,False,False,False,False,False,True
361_macroscopic_U1474B.csv,Lithology_CSV/361_macroscopic_U1474B.csv,False,False,False,False,False,True
366_macroscopic_U1497B.csv,Lithology_CSV/366_macroscopic_U1497B.csv,False,False,False,True,False,False
361_macroscopic_U1479E.csv,Lithology_CSV/361_macroscopic_U1479E.csv,False,False,False,False,False,True
361_macroscopic_U1478A.csv,Lithology_CSV/361_macroscopic_U1478A.csv,False,False,False,False,False,True
346_description_U1424A.csv,Lithology_CSV/346_description_U1424A.csv,False,False,False,True,False,False
320 Core Description_U1333C.csv,Lithology_CSV/320 Core Description_U1333C.csv,True,False,False,False,True,False
339_sediment_U1387C.csv,Lithology_CSV/339_sediment_U1387C.csv,False,False,False,False,False,False
375_U1518F_macroscopic.csv,Lithology_CSV/375_U1518F_macroscopic.csv,False,False,False,True,False,False
346_description_U1425E.csv,Lithology_CSV/346_description_U1425E.csv,False,False,False,True,False,False
346_description_U1428B.csv,Lithology_CSV/346_description_U1428B.csv,False,False,False,True,False,False
339_sediment_U1391C.csv,Lithology_CSV/339_sediment_U1391C.csv,False,False,False,False,False,False
344_sediment_U1412D.csv,Lithology_CSV/344_sediment_U1412D.csv,False,False,False,False,True,False
354_macroscopic_U1455C.csv,Lithology_CSV/354_macroscopic_U1455C.csv,False,False,False,True,False,False
341_core_description_U1419C.csv,Lithology_CSV/341_core_description_U1419C.csv,False,False,False,True,False,False
352_U1439A_macroscopic.csv,Lithology_CSV/352_U1439A_macroscopic.csv,False,False,False,True,False,False
342_sediment_U1408C.csv,Lithology_CSV/342_sediment_U1408C.csv,True,False,False,False,True,False
342_sediment_U1408B.csv,Lithology_CSV/342_sediment_U1408B.csv,False,False,False,False,True,False
342_sediment_U1404A.csv,Lithology_CSV/342_sediment_U1404A.csv,False,False,False,False,True,False
X363-U1489B-macroscopic.csv,Lithology_CSV/X363-U1489B-macroscopic.csv,False,False,False,True,False,False
