Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys sp. P,Lipmanella redondoensis,Cornutella profunda,Botryostrobus aquilonaris,Axoprunum acquilonius,Stichocorys delmontensis,Sphaeropyle robusta,Botryostrobus auritus/australis,Stylosphaera angelina,Diplocyclas cornutoides,Lychnocanium nipponicum,Lithocarpium titan,Androcyclas heteroporos,Cyrtocapsella tetrapera,Diplocyclas davisiana,Eucyrtidium cienkowskii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 882,A,  9,H,CC,  12.00,     85.0900,Shilov   ,Radiolarians                                 ,A              ,G                 ,                 ,                       ,                   ,R                        ,C                    ,                        ,R                  ,R                              ,C                    ,A                      ,                       ,                  ,                       ,rR                     ,A                    ,R                      ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 882,A, 10,H,CC,  16.00,     94.6800,Shilov   ,Radiolarians                                 ,F              ,M                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,R                              ,                     ,F                      ,                       ,                  ,                       ,                       ,F                    ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 11,H,CC,  19.00,    104.1200,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,R                  ,                         ,                     ,                        ,                   ,R                              ,                     ,                       ,                       ,                  ,                       ,rR                     ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 12,H,CC,  23.00,    113.7900,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,                               ,R                    ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 13,H,CC,  14.00,    123.0500,Shilov   ,Radiolarians                                 ,F              ,G                 ,                 ,                       ,                   ,                         ,F                    ,                        ,                   ,                               ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
