Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Thecosphaera sp.	Stylodictya sp.	Stylacontarium bispiculum	Spongodiscus sp.	Larcopyle sp.	Druppatractus sp.	Cyrtocapsella tetrapera	Cyrtocapsella sp.	Cenosphaera sp. (small)	Cenosphaera sp. (large)	Carpocanistrum sp.	Calocyclas sp. A	Cenosphaera sp.	Stylatractus sp.	Spongoplegma antarcticum	Siphonosphaera sp.	Siphocampe sp.	Peripyramis sp.	Lychnocanoma sp.	Lychnocanoma elongata	Lychnocanoma conica	Lophocyrtis sp.	Lamprocyrtis maritalis	Hexacontium sp.	Heliodiscus asteriscus	Eucyrtidium punctatum	Cyrtocapsella cornuta	Thecosphaera miocenica	Siphocampe grantmackiei	Pylospira sp.	Lychnocanoma sp. B	Hexalonche philosophica?	Actinomma sp.	Stylacontarium acquilonium	Stichocorys sp.	Stichocorys delmontensis	Eucyrtidium teuscheri teuscheri	Eucyrtidium inflatum	Cyrtocapsella japonica	Ceratocyrtis sp.	Axoprunum angelinum	Nassellaria Form B	Druppatractus irregularis	Diartus sp.	Thecosphaera sp. (small)	Stylatractus universus	Cycladophora sp.	Thecosphaera sp. (large)	Lithopera? Form A	Gondwanaria sp.	Euchitonia sp.	Dendrospyris megalocephalis	Prunopyle sp.	Phormospyris stabilis stabilis	Lithopera neotera	Eucyrtidium sp.	Eucyrtidium cienkowskii	Eucyrtidium calvertense	Cyrtocapsella elongata	Cycladophora humerus	Cycladophora bicornis amphora	Lithelius minor	Theocorythium vetulum	Actinomma sp. B	Triceraspyris coronata	Dictyophimus sp.	Actinomma sp. C	Triceraspyris sp.	Carpocanopsis bramlettei	Theocorythium sp.	Tetrapyle octacantha	Prunopyle titan	Periphaena sp.	Helotholus praevema	Diartus sp. C	Carpocanopsis sp.	Botryostrobus sp.	Pterocanium trilobum	Actinomma sp. A	Stichocorys peregrina	Anthocyrtidium sp.	Comment
																																																																																																		
																																																																																																		
IR					181	1120	B	1	H	CC	11.00	3.3100	rads	Radiolarians	B						T																																																																													
																																																																																																		
IR					181	1120	B	3	H	CC	20.00	17.6500	rads	Radiolarians	C	G		T		F	R									T										T								R	A		F																												F										R							R	T	
																																																																																																		
IR					181	1120	B	4	H	CC	26.00	31.4600	rads	Radiolarians	C	VG		R	A								R			R				T															C		R									R		T	R											R					R										R					T	A			
																																																																																																		
IR					181	1120	B	5	H	CC	22.00	41.3900	rads	Radiolarians	C	G	A	T	F	A	R														T						C							R								R				F													C	F			C			A				F		R	T	R	R	R	R	A	R					
																																																																																																		
IR					181	1120	B	6	H	CC	37.00	51.0300	rads	Radiolarians	C	G		T	F	R	R	R								R					T						R			C											C																						T			A	R			T	F													
																																																																																																		
IR					181	1120	B	7	H	CC	18.00	59.4100	rads	Radiolarians	C	G		R	R		R	R					R			T				T	R					T	R			A		R			A						A										R				R	T		T	T	R			R		R	A	R	T	R															
																																																																																																		
IR					181	1120	B	8	H	CC	10.00	68.2800	rads	Radiolarians	C	G	R	R	C	R	F	C					F			C					F				R		C			R											A										R		R			F			R				F		C	A																		
																																																																																																		
IR					181	1120	B	9	X	CC	8.00	70.7700	rads	Radiolarians	C	G		F	C	F		R					R			R				R										A		T			R						A										A		T			F			R	F				R																				
																																																																																																		
IR					181	1120	B	10	X	CC	12.00	77.3600	rads	Radiolarians	C	M		C	R	A	C	C					T			F					R					F	R										R				C						A			A			C		R	F	F	R	F	C	R	R	F																					
																																																																																																		
IR					181	1120	B	11	X	CC	18.00	86.5500	rads	Radiolarians	C	G			F	F	F	R	A				R			F														A					R						R				R	C				A	R	R	A	T																														
																																																																																																		
IR					181	1120	B	12	X	CC	8.00	99.1000	rads	Radiolarians	F	G	C		R				R																					A														F					R																																			
																																																																																																		
IR					181	1120	B	13	X	CC	24.00	103.5100	rads	Radiolarians	F	G			F	F	F	F	T							R											T			C														F	F	R	R	T																																				
																																																																																																		
IR					181	1120	B	14	X	3	60.00	114.6000	rads	Radiolarians	F	M	R	R		F	R	R	C																	T						R												R		F																																						
																																																																																																		
IR					181	1120	B	14	X	3	84.00	114.8400	rads	Radiolarians	R	M	R		T				T																										R								T		T	R																																						
																																																																																																		
IR					181	1120	B	14	X	CC	6.00	117.4600	rads	Radiolarians	F	M			R			F	R							R																												R																																								
																																																																																																		
IR					181	1120	B	15	X	CC	18.00	126.7800	rads	Radiolarians	R	M			R		R	R	F							R																R																																																				
																																																																																																		
IR					181	1120	B	16	X	CC	13.00	138.7300	rads	Radiolarians	C	G		R	A		R	F	A				R			T			R	R						R			R	A		R	R			R	R	R	R	R	R	R	R																																									
																																																																																																		
IR					181	1120	B	17	X	CC	19.00	148.0900	rads	Radiolarians	C	G		R	A			C	C				R					T		R		T	F	R	F	R		C		A	R	F	R	T	F																																																	
																																																																																																		
IR					181	1120	B	18	X	CC	13.00	158.5300	rads	Radiolarians	C	G			A		R	C	C				T		A	R	R	C	T	R	R	R	R	T	R	R	T	A	A																																																							
																																																																																																		
IR					181	1120	B	19	X	CC	38.00	166.8800	rads	Radiolarians	T	G						R							R																																																																					
																																																																																																		
IR					181	1120	B	21	X	CC	20.00	184.4500	rads	Radiolarians	R	P	R	R	R	R	R	R	R	T	A	A	T	T																																																																						
																																																																																																		
