Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina bulloides	Turborotalita humilis	Tenuitella parkerae	Neogloboquadrina pachyderma (sin.)	Neogloboquadrina pachyderma (dex.)	Globigerinita uvula	Globigerinita minuta	Globigerinita glutinata	Globigerina umbilicata	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globigerina clarkei	Neogloboquadrina dutertrei	Globigerina spp.	Comment



  SR	                 	                 	                  	              	127	 794	A	  1	H	 1	   2.00	      0.0200	Brunner  	Planktonic Foraminifers                      	B              	                  	0                    	0                    	0                  	0                                 	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 1	  62.00	      0.6200	Brunner  	Planktonic Foraminifers                      	B              	                  	0                    	0                    	0                  	0                                 	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 1	  93.00	      0.9300	Brunner  	Planktonic Foraminifers                      	               	                  	74                   	0                    	0                  	24                                	0                                 	0                  	0                   	0                      	0                     	2                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 1	 135.00	      1.3500	Brunner  	Planktonic Foraminifers                      	B              	                  	0                    	0                    	0                  	0                                 	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 2	  21.00	      1.7100	Brunner  	Planktonic Foraminifers                      	               	                  	100                  	0                    	0                  	0                                 	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 2	  65.00	      2.1500	Brunner  	Planktonic Foraminifers                      	               	                  	0                    	0                    	0                  	100                               	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 2	  93.00	      2.4300	Brunner  	Planktonic Foraminifers                      	B              	                  	0                    	0                    	0                  	0                                 	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

  SR	                 	                 	                  	              	127	 794	A	  1	H	 2	 133.00	      2.8300	Brunner  	Planktonic Foraminifers                      	B              	                  	0                    	0                    	0                  	0                                 	0                                 	0                  	0                   	0                      	0                     	0                      	                                       	                                     	                   	                          	                	from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215

