Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster tamalis	Discoaster surculus	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus macintyrei (>11 um)	Pseudoemiliania lacunosa	Calcidiscus leptoporus	Helicosphaera carteri	Discoaster pentaradiatus	Ceratolithus spp.	Discoaster triradiatus	Discoaster asymmetricus	Helicosphaera sellii	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Gephyrocapsa sp. 3	Ceratolithus telesmus	Comment



  IR	                 	                 	CN14b             	CN15          	167	1016	D	  1	H	CC	  10.00	      7.9400	Fornaciari	Nannofossils                                 	F/C            	G                 	                  	                   	                   	C                    	                               	                        	                      	R                    	                        	                 	                      	                       	                    	                          	A                   	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1016	D	  2	H	CC	  15.00	     17.8500	Fornaciari	Nannofossils                                 	A              	G                 	                  	                   	                   	F                    	                               	                        	R                     	F                    	                        	                 	                      	                       	                    	C                         	A                   	F                 	F                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14a             	              	167	1016	D	  3	H	CC	  24.00	     26.3600	Fornaciari	Nannofossils                                 	C              	M                 	                  	                   	                   	+                    	                               	+                       	R                     	                     	                        	                 	                      	                       	                    	+                         	A                   	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	                  	              	167	1016	D	  4	H	CC	  25.00	     36.9400	Fornaciari	Nannofossils                                 	RR             	P                 	                  	                   	                   	                     	                               	+                       	+                     	                     	                        	                 	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	                  	              	167	1016	D	  5	H	CC	  30.00	     45.8200	Fornaciari	Nannofossils                                 	R              	P                 	                  	                   	                   	+                    	                               	+                       	+                     	                     	                        	                 	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN13b             	              	167	1016	D	  6	H	CC	  30.00	     55.7700	Fornaciari	Nannofossils                                 	C              	P/M               	                  	                   	                   	                     	                               	C                       	R                     	                     	                        	                 	                      	                       	                    	F                         	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN13a             	              	167	1016	D	  8	H	CC	  11.00	     74.7300	Fornaciari	Nannofossils                                 	A              	G                 	                  	                   	                   	                     	C                              	C                       	+                     	C                    	                        	                 	                      	                       	+                   	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN13a             	              	167	1016	D	  9	H	CC	  20.00	     84.1200	Fornaciari	Nannofossils                                 	C              	P/M               	                  	                   	                   	C                    	+                              	C                       	R                     	                     	                        	                 	                      	                       	                    	                          	                    	                  	                     	questionable zonal assignment. from IR. Ch 10. Table 5.

  IR	                 	                 	CN13a             	              	167	1016	D	 10	H	CC	  20.00	     93.9400	Fornaciari	Nannofossils                                 	C              	G                 	                  	                   	                   	C                    	F                              	+                       	F                     	                     	                        	                 	                      	                       	F                   	                          	                    	                  	                     	questionable zonal assignment. from IR. Ch 10. Table 5.

  IR	                 	                 	CN12b             	              	167	1016	D	 11	H	CC	  11.00	    103.1600	Fornaciari	Nannofossils                                 	A              	P/M               	                  	F                  	R                  	C                    	C                              	+                       	                      	                     	                        	                 	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12b             	              	167	1016	D	 12	H	CC	  22.00	    112.2400	Fornaciari	Nannofossils                                 	A              	M/G               	                  	C                  	F                  	                     	+                              	                        	                      	                     	R                       	                 	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	D	 13	H	CC	  17.00	    122.4600	Fornaciari	Nannofossils                                 	A              	G                 	F/C               	C                  	                   	C                    	                               	+                       	                      	F                    	F/C                     	R                	F                     	+                      	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	D	 14	H	CC	  27.00	    131.7000	Fornaciari	Nannofossils                                 	A              	G                 	C                 	+                  	                   	                     	C                              	F                       	F                     	F                    	C                       	R                	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	D	 15	H	CC	  27.00	    141.6100	Fornaciari	Nannofossils                                 	A              	G                 	                  	C                  	R                  	+                    	+                              	+                       	F                     	                     	                        	                 	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

  IR	                 	                 	CN12a             	              	167	1016	D	 16	H	CC	  21.00	    150.9300	Fornaciari	Nannofossils                                 	F              	P                 	R/F               	+                  	+                  	F                    	+                              	                        	                      	                     	                        	                 	                      	                       	                    	                          	                    	                  	                     	from IR. Ch 10. Table 5.

